Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2020;0,15;0,14;1;2;15;19;3;4;4
30/12/2020;0,17;0,18;1;4;19;25;2;2;4
29/12/2020;0,18;0,19;;;;;3;2;3
28/12/2020;0,18;0,18;;;;;3;2;3
27/12/2020;0,16;0,17;0;0;5;5;5;3;3
26/12/2020;0,2;0,18;1;2;23;26;4;3;4
25/12/2020;0,16;0,16;1;0;5;6;5;3;3
24/12/2020;0,17;0,17;1;1;12;14;6;3;6
23/12/2020;0,16;0,16;2;3;14;18;5;4;5
22/12/2020;0,19;0,2;2;8;17;29;5;3;5
21/12/2020;0,2;0,2;2;3;12;17;3;2;5
20/12/2020;0,19;0,21;2;2;14;16;3;3;4
19/12/2020;0,21;0,19;2;3;20;24;5;5;5
18/12/2020;0,19;0,2;1;2;11;14;3;3;4
17/12/2020;0,22;0,22;1;16;33;57;7;6;5
16/12/2020;0,18;0,16;2;5;24;32;7;4;4
15/12/2020;0,15;0,16;1;7;24;35;4;4;5
14/12/2020;0,14;0,14;1;4;19;25;6;4;4
13/12/2020;0,17;0,2;1;1;8;9;3;2;5
12/12/2020;0,2;0,18;1;1;17;19;11;5;6
11/12/2020;0,22;0,24;3;3;15;19;14;7;7
10/12/2020;0,2;0,2;2;3;20;24;16;5;6
09/12/2020;0,24;0,24;1;12;28;46;8;5;8
08/12/2020;0,22;0,2;1;0;10;11;3;2;7
07/12/2020;0,17;0,18;2;1;11;12;4;3;6
06/12/2020;0,21;0,22;2;0;8;8;2;2;6
05/12/2020;0,2;0,2;1;0;9;9;2;2;6
04/12/2020;0,21;0,2;3;4;17;22;5;4;8
03/12/2020;0,2;0,26;3;4;19;24;8;4;6
02/12/2020;0,38;0,32;4;27;41;82;17;9;10
01/12/2020;0,27;0,3;6;20;26;56;22;13;9
30/11/2020;0,36;0,35;4;64;44;141;38;19;18
29/11/2020;0,2;0,19;5;5;27;34;11;9;17
28/11/2020;0,3;0,31;5;14;32;54;22;14;11
27/11/2020;0,28;0,26;6;23;47;82;25;11;10
26/11/2020;0,19;0,2;7;3;18;22;13;8;6
25/11/2020;0,23;0,23;6;7;32;43;20;13;8
24/11/2020;0,23;0,25;5;8;33;45;19;13;12
23/11/2020;0,35;0,34;4;43;43;108;26;15;14
22/11/2020;0,25;0,24;5;7;26;36;15;11;11
21/11/2020;0,27;0,28;3;12;28;45;18;12;7
20/11/2020;0,26;0,24;3;25;37;75;23;10;9
19/11/2020;0,21;0,23;6;11;26;42;17;8;7
18/11/2020;0,22;0,18;4;19;29;58;21;9;9
17/11/2020;0,22;0,24;2;19;34;62;14;9;8
16/11/2020;0,22;0,2;1;14;34;55;23;7;8
15/11/2020;0,15;0,15;4;1;6;7;5;3;6
14/11/2020;0,15;0,16;4;1;8;9;8;6;7
13/11/2020;0,2;0,2;3;7;24;35;9;8;7
12/11/2020;0,23;0,22;3;17;32;57;17;9;8
11/11/2020;0,19;0,21;3;5;18;25;6;5;7
10/11/2020;0,32;0,31;4;27;37;78;22;11;8
09/11/2020;0,17;0,15;4;5;22;30;10;5;6
08/11/2020;0,13;0,13;3;1;6;7;3;3;5
07/11/2020;0,16;0,16;3;2;10;13;16;6;5
06/11/2020;0,16;0,18;6;2;8;10;37;12;5
05/11/2020;0,25;0,25;3;26;30;69;24;11;6
04/11/2020;0,21;0,21;1;10;28;42;14;7;6
03/11/2020;0,2;0,2;1;7;23;33;13;6;8
02/11/2020;0,18;0,17;2;4;10;16;9;5;5
01/11/2020;0,13;0,13;4;1;2;4;3;3;6
31/10/2020;0,18;0,22;5;2;11;14;11;8;7
30/10/2020;0,41;0,4;6;54;34;117;56;25;8
29/10/2020;0,27;0,25;2;26;39;78;39;18;10
28/10/2020;0,25;0,23;2;16;33;58;19;7;8
27/10/2020;0,16;0,16;1;3;10;14;6;2;6
26/10/2020;0,17;0,17;2;4;15;21;8;4;7
25/10/2020;0,17;0,16;3;1;10;12;5;3;5
