Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2020;1;13;15;11;7
30/12/2020;2;19;21;8;1
29/12/2020;1;11;13;6;1
28/12/2020;1;8;10;7;2
27/12/2020;1;7;9;9;3
26/12/2020;2;18;20;10;4
25/12/2020;1;4;6;11;2
24/12/2020;2;13;16;12;3
23/12/2020;1;11;13;10;3
22/12/2020;5;15;23;10;4
21/12/2020;2;13;16;8;3
20/12/2020;2;13;17;10;5
19/12/2020;2;16;19;8;5
18/12/2020;1;12;14;8;3
17/12/2020;18;34;61;15;7
16/12/2020;1;14;16;9;3
15/12/2020;8;18;30;10;4
14/12/2020;6;16;26;10;3
13/12/2020;1;8;10;8;3
12/12/2020;1;14;16;15;5
11/12/2020;4;16;21;17;6
10/12/2020;2;18;20;20;6
09/12/2020;17;31;56;13;7
08/12/2020;1;8;9;8;2
07/12/2020;1;13;15;9;3
06/12/2020;1;9;10;5;2
05/12/2020;1;9;10;6;2
04/12/2020;2;17;20;10;2
03/12/2020;5;20;28;14;5
02/12/2020;22;31;65;19;9
01/12/2020;21;20;53;28;18
30/11/2020;58;33;122;39;23
29/11/2020;7;24;34;16;11
28/11/2020;11;21;38;21;15
27/11/2020;14;29;50;20;10
26/11/2020;1;6;8;16;9
25/11/2020;2;14;17;26;17
24/11/2020;9;28;41;28;16
23/11/2020;45;32;101;30;19
22/11/2020;8;20;32;22;13
21/11/2020;10;19;35;20;13
20/11/2020;19;28;56;22;10
19/11/2020;10;21;35;19;9
18/11/2020;16;27;51;22;11
17/11/2020;12;29;47;24;12
16/11/2020;11;26;42;22;7
15/11/2020;1;4;6;8;3
14/11/2020;1;7;8;14;8
13/11/2020;2;17;20;15;9
12/11/2020;11;28;45;22;11
11/11/2020;7;16;27;16;7
10/11/2020;19;30;59;21;11
09/11/2020;4;22;28;17;6
08/11/2020;1;4;6;8;2
07/11/2020;1;9;11;19;7
06/11/2020;1;4;6;45;13
05/11/2020;15;22;44;23;11
04/11/2020;5;23;31;23;9
03/11/2020;3;25;29;16;5
02/11/2020;1;9;11;15;4
01/11/2020;1;6;8;11;6
31/10/2020;4;17;22;19;8
30/10/2020;36;29;85;39;19
29/10/2020;22;37;70;34;17
28/10/2020;12;30;48;21;6
27/10/2020;2;12;14;12;3
26/10/2020;3;25;30;20;5
25/10/2020;1;12;15;12;4
24/10/2020;4;13;19;15;6
23/10/2020;9;25;39;19;5
22/10/2020;8;26;38;16;5
21/10/2020;2;14;17;12;4
20/10/2020;2;11;13;25;11
19/10/2020;2;16;19;25;9
18/10/2020;10;26;41;23;14
17/10/2020;11;25;41;21;12
16/10/2020;25;34;72;23;12
15/10/2020;13;34;53;17;8
14/10/2020;8;23;34;16;4
13/10/2020;3;16;21;17;4
12/10/2020;2;8;12;14;3
11/10/2020;3;7;11;13;2
10/10/2020;4;11;17;14;5
09/10/2020;12;23;41;25;9
08/10/2020;11;25;42;24;9
07/10/2020;3;15;19;14;4
06/10/2020;11;21;38;23;9
05/10/2020;3;18;22;17;6
04/10/2020;1;8;9;9;3
03/10/2020;1;9;11;13;5
02/10/2020;1;9;11;10;2
01/10/2020;3;17;21;18;6
30/09/2020;16;23;47;30;15
29/09/2020;15;25;48;22;9
28/09/2020;7;21;32;18;4
27/09/2020;2;7;9;14;4
26/09/2020;1;9;10;10;4
25/09/2020;2;9;12;15;4
24/09/2020;2;12;15;16;4
23/09/2020;5;20;27;23;10
22/09/2020;9;19;33;22;10
21/09/2020;7;17;28;17;7
20/09/2020;3;12;15;14;7
19/09/2020;1;13;15;11;4
18/09/2020;1;12;14;18;8
17/09/2020;10;29;44;41;23
16/09/2020;9;21;35;38;20
15/09/2020;3;21;26;33;17
14/09/2020;1;9;11;27;12
13/09/2020;2;20;24;28;14
12/09/2020;5;15;23;21;10
11/09/2020;8;18;31;24;10
10/09/2020;9;24;37;27;13
09/09/2020;11;34;50;30;15
08/09/2020;10;20;35;20;9
07/09/2020;3;16;21;13;3
06/09/2020;1;3;5;13;5
05/09/2020;1;4;6;18;7
04/09/2020;9;26;39;32;19
03/09/2020;7;33;43;24;11
02/09/2020;9;18;31;20;11
01/09/2020;10;21;36;19;8
31/08/2020;7;19;30;15;6
30/08/2020;1;10;12;11;3
29/08/2020;1;6;9;11;2
28/08/2020;1;11;13;13;4
27/08/2020;5;10;18;17;8
26/08/2020;5;13;20;15;7
25/08/2020;5;14;21;19;8
24/08/2020;4;11;18;14;6
23/08/2020;1;8;9;13;6
22/08/2020;1;7;9;15;6
21/08/2020;0;9;9;17;7
20/08/2020;2;13;16;21;6
19/08/2020;2;19;22;17;6
18/08/2020;4;15;21;13;5
17/08/2020;4;21;26;18;7
16/08/2020;0;9;10;12;4
15/08/2020;0;6;6;14;6
14/08/2020;4;9;15;15;6
13/08/2020;3;10;15;14;4
12/08/2020;2;14;17;20;10
11/08/2020;2;19;21;26;13
10/08/2020;0;7;7;19;9
09/08/2020;0;6;7;22;12
08/08/2020;1;9;10;22;10
07/08/2020;0;12;13;28;13
06/08/2020;2;24;28;30;17
05/08/2020;4;14;20;17;10
04/08/2020;2;11;14;10;4
03/08/2020;4;10;17;12;5
02/08/2020;0;6;6;10;3
01/08/2020;0;7;7;17;8
31/07/2020;0;7;8;26;13
30/07/2020;5;13;20;31;17
29/07/2020;0;9;10;17;6
28/07/2020;3;10;15;15;7
27/07/2020;3;11;15;18;10
26/07/2020;1;10;12;13;8
25/07/2020;1;11;13;16;9
24/07/2020;3;15;19;24;13
23/07/2020;1;10;12;26;12
22/07/2020;2;12;16;33;17
21/07/2020;4;10;16;26;10
20/07/2020;2;9;12;;8
19/07/2020;1;9;10;22;13
18/07/2020;1;9;11;18;11
17/07/2020;1;9;10;;7
16/07/2020;3;11;15;;6
15/07/2020;2;11;13;;9
14/07/2020;4;12;18;;7
13/07/2020;3;13;18;;10
12/07/2020;0;10;10;25;10
11/07/2020;1;9;11;17;7
10/07/2020;1;11;13;15;5
09/07/2020;4;13;20;24;9
08/07/2020;6;16;25;29;12
07/07/2020;3;11;16;23;8
06/07/2020;0;6;7;16;4
05/07/2020;1;11;12;16;9
04/07/2020;3;15;20;15;5
03/07/2020;4;12;19;13;5
02/07/2020;1;9;10;14;3
01/07/2020;3;13;18;17;8
30/06/2020;7;14;25;20;7
29/06/2020;0;9;9;10;3
28/06/2020;0;3;3;10;5
27/06/2020;2;11;14;15;8
26/06/2020;0;10;10;17;7
25/06/2020;1;12;13;32;15
24/06/2020;2;18;22;57;37
23/06/2020;6;25;34;52;34
22/06/2020;7;13;23;18;8
21/06/2020;2;9;12;11;6
20/06/2020;3;13;17;14;7
19/06/2020;5;13;21;15;6
18/06/2020;2;13;16;13;5
17/06/2020;4;12;19;15;4
16/06/2020;4;16;21;13;6
15/06/2020;2;14;17;18;7
14/06/2020;1;8;9;18;7
13/06/2020;3;19;23;16;8
12/06/2020;1;12;13;12;4
11/06/2020;4;19;25;17;7
10/06/2020;3;12;17;17;8
09/06/2020
08/06/2020
07/06/2020
06/06/2020;0;5;5;9;3
05/06/2020;1;10;10;20;6
04/06/2020;1;11;12;18;7
03/06/2020;0;8;8;24;14
02/06/2020;1;12;13;35;21
01/06/2020;1;9;10;27;16
31/05/2020;0;10;10;28;19
30/05/2020;1;17;19;28;18
29/05/2020;4;24;30;33;18
28/05/2020;2;17;19;24;15
27/05/2020;6;21;30;28;14
26/05/2020;3;14;19;23;9
25/05/2020;3;11;16;21;8
24/05/2020;0;7;8;15;5
23/05/2020;0;5;5;10;3
22/05/2020;3;9;13;18;10
21/05/2020;2;19;21;32;18
20/05/2020;4;23;30;25;15
19/05/2020;3;22;27;25;11
18/05/2020;3;16;20;25;10
17/05/2020;0;7;7;19;8
16/05/2020;1;9;10;27;9
15/05/2020;0;11;11;24;9
14/05/2020;1;8;9;13;4
13/05/2020;1;11;14;14;5
12/05/2020;1;8;9;20;4
11/05/2020;4;9;15;15;4
10/05/2020;0;5;5;11;4
09/05/2020;0;8;8;20;9
08/05/2020;1;12;13;26;12
