Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2024;0,43;0,63;1;11;9;32;30;7;6;2;6;0,86
30/12/2024;0,31;0,52;2;9;7;29;30;6;4;2;5;0,69
29/12/2024;0,26;0,55;1;9;8;30;30;9;7;2;6;0,7
28/12/2024;0,32;0,73;1;8;6;39;44;9;7;2;6;0,74
27/12/2024;0,19;1,71;0;4;3;46;39;4;4;2;6;0,55
26/12/2024;0,29;0,68;4;23;18;22;;14;10;2;19;0,86
25/12/2024;0,23;0,37;0;6;6;47;49;7;5;2;5;0,53
24/12/2024;0,21;0,29;0;4;4;66;70;4;3;2;5;0,43
23/12/2024;0,23;0,42;1;8;6;83;84;15;8;2;37;0,74
22/12/2024;0,16;0,33;0;2;2;77;75;9;5;2;6;0,29
21/12/2024;0,18;0,82;0;3;3;63;61;4;2;2;5;0,45
20/12/2024;0,17;0,96;1;5;4;64;67;6;3;2;5;0,73
19/12/2024;0,24;0,38;1;6;5;70;67;23;9;2;5;0,51
18/12/2024;0,19;0,32;0;2;2;64;67;66;22;2;5;0,37
17/12/2024;0,21;0,25;0;2;2;69;66;5;2;2;5;0,32
16/12/2024;0,2;0,6;0;7;6;53;48;5;3;2;5;0,49
15/12/2024;0,28;0,39;0;5;5;50;54;7;4;2;5;0,57
14/12/2024;0,3;0,31;0;4;3;52;50;4;3;2;4;0,41
13/12/2024;0,35;0,55;1;6;5;43;37;5;4;2;4;0,63
12/12/2024;0,52;1,38;3;20;15;26;30;10;6;2;5;1,54
11/12/2024;0,51;0,89;2;13;11;28;28;7;5;2;6;0,94
10/12/2024;0,52;0,91;1;12;10;43;47;6;4;2;10;1,12
09/12/2024;0,53;1,25;1;9;8;58;60;11;5;2;9;1,7
08/12/2024;0,21;0,31;0;4;3;79;81;15;8;2;9;0,4
07/12/2024;0,18;0,24;0;2;2;70;64;10;5;2;5;0,29
06/12/2024;0,18;0,36;0;5;4;50;48;5;3;2;4;0,46
05/12/2024;0,19;0,36;1;5;4;41;41;5;3;2;4;0,47
04/12/2024;0,27;0,96;1;9;7;43;42;7;4;2;4;0,77
03/12/2024;0,23;0,78;1;11;10;44;46;8;4;2;4;0,85
02/12/2024;0,19;0,34;1;7;6;41;38;14;7;2;4;0,7
01/12/2024;0,45;0,45;0;8;8;49;54;41;16;1;6;0,61
30/11/2024;0,19;0,4;0;6;6;51;46;25;11;1;4;0,53
29/11/2024;0,23;0,62;1;9;8;54;60;28;11;1;4;0,91
28/11/2024;0,19;0,41;1;7;6;60;58;5;3;1;4;0,44
27/11/2024;0,19;0,31;0;2;2;60;60;5;3;1;4;0,37
26/11/2024;0,19;0,41;0;5;4;53;43;6;4;1;4;0,44
25/11/2024;0,22;0,54;1;9;7;53;60;13;6;1;4;0,68
24/11/2024;0,15;0,19;0;2;2;61;59;10;4;1;4;0,24
23/11/2024;0,15;0,26;0;3;3;61;59;6;3;1;4;0,35
22/11/2024;0,19;0,42;1;8;7;59;67;10;5;1;4;0,44
21/11/2024;0,15;0,27;0;3;3;62;57;5;2;1;4;0,39
20/11/2024;0,14;0,72;0;5;4;68;67;6;2;1;4;0,57
19/11/2024;0,29;0,95;2;11;8;30;23;18;10;1;4;1,15
18/11/2024;0,38;1,57;7;29;18;9;12;24;14;2;5;1,7
17/11/2024;0,28;0,43;1;10;8;25;28;21;11;2;5;0,72
16/11/2024;0,23;0,35;0;3;3;46;47;23;10;2;3;0,4
15/11/2024;0,3;1,51;4;16;9;;;16;9;2;4;1,26
14/11/2024;0,47;2,16;5;18;10;;;14;9;2;4;1,97
13/11/2024;0,24;0,81;1;10;8;40;44;7;4;2;4;0,81
12/11/2024;0,42;0,83;1;8;7;58;57;8;4;2;10;1,17
11/11/2024;0,43;0,78;1;13;11;58;58;8;4;2;11;1,32
10/11/2024;0,24;0,46;1;9;8;43;40;7;4;2;4;0,68
09/11/2024;0,16;0,41;1;7;6;53;55;9;4;2;3;0,59
08/11/2024;0,16;0,39;0;5;4;50;51;13;7;2;3;0,48
07/11/2024;0,18;0,59;0;6;6;45;40;14;8;2;3;0,69
06/11/2024;0,42;1,94;6;27;18;25;25;20;9;2;5;2,22
05/11/2024;0,35;1;1;12;10;47;52;15;7;2;4;1,68
04/11/2024;0,16;0,42;0;4;4;59;61;14;7;2;3;0,41
03/11/2024;0,18;0,37;0;6;5;54;49;14;7;2;4;0,48
02/11/2024;0,45;0,97;1;12;10;36;36;26;13;2;6;1,46
01/11/2024;0,14;0,51;0;5;5;56;55;17;7;2;3;0,59
31/10/2024;0,27;1,06;4;17;11;29;27;35;13;2;4;1,29
30/10/2024;0,29;0,8;4;18;12;28;27;20;10;2;3;1,3
29/10/2024;0,26;0,97;2;14;10;24;23;11;6;2;3;1,14
28/10/2024;0,28;0,9;2;12;9;22;24;11;5;2;3;1,18
27/10/2024;0,19;0,23;0;3;3;47;52;5;2;2;3;0,49
26/10/2024;0,2;0,28;0;4;3;40;39;5;2;2;2;0,4
25/10/2024;0,16;0,44;0;5;4;54;59;6;2;2;2;0,66
24/10/2024;0,17;0,44;0;4;4;62;58;8;4;2;3;0,55
23/10/2024;0,18;0,89;1;8;6;39;;8;4;2;3;0,86
22/10/2024;0,17;0,75;1;8;7;39;46;9;4;2;4;0,73
21/10/2024;0,21;0,61;0;5;4;63;59;8;4;1;3;0,48
20/10/2024;0,28;0,5;0;3;3;52;54;8;4;1;2;0,6
19/10/2024;0,21;0,48;0;5;4;57;56;6;3;1;3;0,66
18/10/2024;0,14;0,72;0;5;5;64;68;8;4;1;2;0,66
17/10/2024;0,15;0,35;1;6;5;61;56;7;3;1;2;0,46
16/10/2024;0,23;0,77;1;6;5;51;54;8;3;1;2;0,96
15/10/2024;0,19;1,05;0;5;4;55;49;32;11;1;3;0,8
14/10/2024;0,41;2,32;3;21;16;31;32;14;7;1;5;2,24
13/10/2024;0,18;0,53;0;5;5;48;50;6;4;1;2;0,62
12/10/2024;0,17;0,48;0;4;4;55;59;5;3;1;2;0,58
11/10/2024;0,15;0,86;2;9;6;53;48;7;3;1;2;1,05
10/10/2024;0,13;0,41;1;5;4;65;71;8;4;0;2;0,58
09/10/2024;0,11;0,25;0;2;2;73;73;7;2;0;2;0,36
08/10/2024;0,18;0,64;0;2;2;69;65;4;2;0;2;0,34
07/10/2024;0,19;0,57;1;7;6;48;45;9;4;1;3;0,69
06/10/2024;0,26;0,64;0;6;5;36;34;28;11;1;2;0,76
05/10/2024;0,27;0,74;1;11;9;33;33;11;6;1;3;1,03
04/10/2024;0,2;0,76;1;11;9;38;41;10;5;1;3;0,83
03/10/2024;0,2;0,71;1;7;5;52;59;7;3;0;4;0,93
02/10/2024;0,25;0,99;2;16;13;58;;5;2;0;7;1,19
01/10/2024;0,17;1,07;1;8;6;42;36;8;4;0;2;1,19
30/09/2024;0,22;0,86;2;13;9;41;45;11;6;1;5;1,27
29/09/2024;0,14;0,4;0;4;4;56;53;6;2;0;2;0,39
28/09/2024;0,19;0,44;0;4;3;49;57;8;4;0;3;0,55
27/09/2024;0,13;0,23;0;3;2;72;73;7;3;0;1;0,28
26/09/2024;0,19;0,66;1;6;5;69;63;7;3;0;1;0,86
25/09/2024;0,19;0,41;0;3;2;54;53;7;3;0;1;0,63
24/09/2024;0,24;0,93;1;7;6;64;68;14;9;1;3;1,18
23/09/2024;0,21;0,41;1;5;4;74;72;19;12;1;1;0,6
22/09/2024;0,2;0,33;0;4;3;64;65;19;12;1;1;0,37
21/09/2024;0,33;0,59;0;5;4;61;64;16;12;0;1;0,67
20/09/2024;0,23;0,66;1;7;6;63;56;18;12;0;2;0,82
19/09/2024;0,3;0,68;1;10;8;49;47;17;11;0;3;0,89
18/09/2024;0,29;1,22;2;12;9;44;48;21;12;0;5;1,27
17/09/2024;0,27;0,93;1;10;8;58;56;13;7;0;6;1,37
16/09/2024;0,25;0,87;1;8;6;60;56;9;5;0;2;1,16
15/09/2024;0,24;0,67;1;8;6;47;46;7;3;0;3;0,96
14/09/2024;0,25;0,59;1;8;7;44;44;7;3;0;6;0,86
13/09/2024;0,28;0,6;1;7;6;52;54;9;4;1;7;1
12/09/2024;0,47;0,75;1;7;5;56;59;6;3;1;1;2,14
11/09/2024;0,15;0,56;0;4;3;61;62;9;5;0;1;0,59
10/09/2024;0,17;1,17;1;6;5;60;59;11;5;0;1;0,76
09/09/2024;0,15;0,71;0;4;4;66;66;10;5;0;4;0,57
08/09/2024;0,17;0,36;0;3;3;61;60;6;3;0;6;0,58
07/09/2024;0,25;0,56;0;5;4;59;59;7;3;0;6;0,73
06/09/2024;0,29;0,66;1;7;5;56;57;7;3;0;9;0,68
05/09/2024;0,2;0,55;1;4;3;56;59;7;3;0;6;0,4
04/09/2024;0,2;0,39;0;4;3;65;65;9;4;0;6;0,68
03/09/2024;0,23;0,65;0;4;4;65;65;8;3;0;6;0,55
02/09/2024;0,33;0,73;1;9;6;41;39;14;8;0;7;0,85
01/09/2024;0,27;0,97;1;6;5;51;52;13;7;0;7;1,16
31/08/2024;0,19;0,74;3;12;7;42;42;17;10;0;5;0,7
30/08/2024;0,3;1,14;1;9;7;45;45;13;7;0;7;1,13
29/08/2024;0,21;1,06;1;8;6;41;43;11;6;0;6;1,2
28/08/2024;0,35;1,4;1;8;6;57;55;13;9;0;8;1,91
27/08/2024;0,78;1,29;2;16;12;55;53;16;8;1;9;1,47
26/08/2024;0,27;0,78;1;10;8;52;52;10;5;0;16;0,86
25/08/2024;0,23;0,45;1;6;5;54;57;9;4;0;12;0,59
24/08/2024;0,39;0,78;1;8;6;49;42;10;5;1;10;1
23/08/2024;0,24;0,93;1;9;7;44;45;11;7;1;13;1,36
22/08/2024;0,27;0,69;1;7;5;45;45;12;6;0;8;1,06
21/08/2024;0,25;0,93;1;8;7;50;53;13;6;0;11;0,81
20/08/2024;0,37;1,04;1;8;6;52;51;16;11;1;7;1,26
19/08/2024;0,2;0,59;1;7;5;50;48;12;7;0;12;0,67
18/08/2024;0,18;0,67;0;4;4;41;39;8;3;0;6;0,72
17/08/2024;0,26;0,68;1;6;4;38;42;6;3;0;6;0,91
16/08/2024;0,2;0,74;1;9;7;51;49;9;5;1;11;0,93
15/08/2024;0,2;0,61;1;5;4;49;52;10;5;0;7;0,77
14/08/2024;0,11;0,36;1;5;4;48;;9;3;0;5;0,41
13/08/2024;0,18;0,75;1;6;4;35;35;11;6;0;5;0,84
12/08/2024;0,24;0,89;1;6;5;58;67;15;9;0;5;0,93
11/08/2024;0,49;1,4;1;7;6;69;60;24;12;0;5;1,37
10/08/2024;0,21;0,93;1;8;6;38;39;14;9;0;5;0,89
09/08/2024;0,22;0,9;2;10;7;42;;10;5;1;11;0,94
08/08/2024;0,19;0,94;1;8;6;43;40;13;6;1;6;0,9
07/08/2024;0,23;1,8;1;7;5;35;36;10;5;1;5;1,47
06/08/2024;0,21;1,11;1;8;7;41;39;10;7;1;5;1,26
05/08/2024;0,19;0,75;1;6;5;36;38;11;7;1;5;0,77
04/08/2024;0,17;0,64;1;6;5;49;48;10;6;1;7;0,82
03/08/2024;0,22;0,7;1;7;6;45;46;9;5;1;9;0,88
02/08/2024;0,2;1,06;1;5;4;50;51;10;5;1;5;1
01/08/2024;0,23;1,25;1;6;5;59;;16;11;1;4;1,22
31/07/2024;0,35;1,1;1;7;6;69;70;26;17;1;5;1,26
30/07/2024;0,4;1,5;2;14;11;53;;33;19;1;5;1,76
29/07/2024;0,38;1,28;2;12;9;33;;28;21;2;5;1,57
28/07/2024;0,29;0,84;1;8;6;28;29;15;9;3;5;0,87
27/07/2024;0,17;0,67;1;6;4;33;35;7;4;2;7;0,72
26/07/2024;0,19;0,83;1;7;6;36;37;8;5;1;8;0,89
25/07/2024;0,19;0,77;1;6;5;39;40;7;4;1;7;0,81
24/07/2024;0,37;1,06;1;9;7;38;41;11;8;1;9;1,17
23/07/2024;0,22;0,99;3;13;9;44;;12;7;2;7;1,28
22/07/2024;0,22;0,88;2;11;8;50;53;10;5;2;10;0,81
21/07/2024;0,1;0,37;0;2;2;66;67;12;6;1;6;0,34
20/07/2024;0,24;0,97;1;6;5;56;56;14;11;2;8;1,12
19/07/2024;0,25;1,21;1;9;7;50;50;15;11;2;9;1,36
18/07/2024;0,3;1,36;1;6;5;46;46;18;10;2;6;1,71
17/07/2024;0,15;0,88;2;11;8;47;48;13;7;2;6;0,94
16/07/2024;0,17;1,01;1;7;5;46;45;9;5;2;9;0,89
15/07/2024;0,19;0,9;1;8;7;49;48;13;7;2;8;1,1
14/07/2024;0,22;1,09;1;7;6;46;48;13;8;2;9;1,11
13/07/2024;0,23;0,69;1;7;6;52;49;10;5;2;13;0,86
12/07/2024;0,15;0,33;1;5;4;55;58;9;4;1;5;1,14
11/07/2024;0,37;1,84;2;12;8;43;38;13;8;2;8;2,15
10/07/2024;0,33;1,39;2;12;8;43;40;12;7;2;12;1,57
09/07/2024;0,2;0,85;1;9;7;43;45;12;6;2;8;1,01
08/07/2024;0,26;0,87;2;13;9;46;45;12;6;2;12;1,13
07/07/2024;0,17;0,71;1;6;5;47;49;10;4;1;8;0,86
06/07/2024;0,15;0,49;0;4;3;55;53;9;5;1;5;0,6
05/07/2024;0,2;0,94;2;10;7;40;41;13;7;1;8;1,18
04/07/2024;0,23;0,87;1;7;5;48;49;8;5;1;6;1,07
03/07/2024;0,18;0,72;1;6;4;56;56;10;6;2;7;0,94
02/07/2024;0,17;0,73;1;6;5;54;55;10;6;2;6;0,94
01/07/2024;0,24;0,69;1;5;4;45;45;7;3;2;5;0,87
30/06/2024;0,28;0,73;1;8;6;52;54;9;5;1;6;0,99
29/06/2024;0,11;0,51;0;4;4;60;60;10;5;1;4;0,5
28/06/2024;0,36;1,14;1;9;7;43;40;17;8;2;5;1,52
27/06/2024;0,22;0,78;1;9;7;47;50;24;13;2;4;0,9
26/06/2024;0,46;1,04;1;11;8;47;;17;10;1;6;1,28
25/06/2024;0,38;1,26;3;14;10;47;43;17;8;1;6;1,42
24/06/2024;0,23;0,91;2;10;7;37;37;11;6;1;6;0,99
23/06/2024;0,34;1,18;0;5;4;32;37;12;9;1;4;1,85
22/06/2024;0,11;0,48;0;4;4;48;51;11;6;1;4;0,49
21/06/2024;0,18;1,38;0;6;5;72;73;9;5;2;4;2,08
20/06/2024;0,15;0,91;1;8;7;60;54;11;6;2;5;0,78
19/06/2024;0,23;1,36;1;6;5;60;60;7;3;2;4;1,01
18/06/2024;0,31;1,69;2;10;8;40;44;12;6;1;5;2,3
17/06/2024;0,47;2,7;2;12;9;50;43;9;4;1;6;3,72
16/06/2024;0,18;0,66;1;7;6;49;53;9;5;1;8;0,71
15/06/2024;0,13;0,53;0;5;4;64;66;13;7;1;5;0,57
14/06/2024;0,13;0,7;1;8;7;54;;8;5;1;5;0,61
13/06/2024;0,17;0,82;1;8;7;60;59;10;5;1;4;1,01
12/06/2024;0,14;0,74;1;5;4;59;59;9;5;1;4;0,86
11/06/2024;0,12;0,61;1;6;5;56;57;8;4;1;4;0,61
10/06/2024;0,16;0,69;1;6;5;57;54;15;7;1;6;0,78
09/06/2024;0,1;0,38;0;4;4;61;65;11;5;1;4;0,38
08/06/2024;0,28;0,89;0;6;6;57;56;20;14;1;4;0,95
07/06/2024;0,26;1,63;2;13;9;53;54;21;13;1;9;1,55
06/06/2024;0,42;2,29;1;9;8;51;48;12;7;1;8;2,92
05/06/2024;0,42;2;3;15;11;49;51;16;10;1;7;2,45
04/06/2024;0,31;1,24;2;10;8;58;58;15;10;1;8;1,33
03/06/2024;0,29;0,95;1;9;7;52;55;12;9;2;8;1,12
02/06/2024;0,38;1,14;0;5;4;65;68;11;8;1;7;1,71
01/06/2024;0,32;0,99;0;5;4;65;62;9;5;1;4;1,42
31/05/2024;0,33;1,5;1;7;6;72;74;11;6;1;5;1,74
30/05/2024;0,2;0,76;1;8;6;54;51;8;5;1;4;0,81
29/05/2024;0,55;1,05;1;9;7;54;55;10;6;1;5;1,05
28/05/2024;0,44;1,18;3;15;11;58;57;11;5;2;5;1,41
27/05/2024;0,22;0,77;1;8;6;59;56;9;4;1;3;0,94
26/05/2024;0,32;0,9;0;6;6;55;59;8;5;1;4;1,02
25/05/2024;0,44;1,14;1;9;8;63;59;10;6;1;6;1,38
24/05/2024;0,27;0,99;1;9;7;59;59;10;5;2;10;1,11
23/05/2024;0,38;1,63;1;8;6;67;69;10;5;1;4;1,42
22/05/2024;0,18;0,65;1;7;6;58;58;9;4;1;4;0,8
21/05/2024;0,28;1,03;1;8;6;72;71;10;6;2;4;1,62
20/05/2024;0,15;0,57;1;5;4;65;67;8;4;1;3;0,63
19/05/2024;0,19;0,61;0;4;4;56;52;6;3;1;3;0,75
18/05/2024;0,22;0,71;1;6;5;50;52;8;5;1;8;0,82
17/05/2024;0,35;0,87;1;8;6;59;59;8;5;2;5;0,9
16/05/2024;0,15;0,67;0;5;4;59;62;5;2;3;3;0,48
15/05/2024;0,2;0,51;1;6;5;56;56;6;3;5;3;0,49
14/05/2024;0,16;2;1;5;4;56;59;6;3;3;3;0,6
13/05/2024;0,55;1,28;3;16;11;51;48;12;7;3;4;1,37
12/05/2024;0,2;0,76;0;5;5;66;67;13;9;2;3;0,65
11/05/2024;0,75;1,7;1;13;11;65;70;14;10;2;12;1,69
10/05/2024;1,09;1,93;2;15;13;68;63;15;9;2;7;2,11
09/05/2024;0,74;1,78;3;18;14;52;54;15;9;2;4;2,68
08/05/2024;0,23;0,74;3;17;13;61;66;10;6;2;4;1,09
07/05/2024;0,17;0,4;0;5;4;86;87;8;5;2;2;0,42
06/05/2024;0,15;0,54;1;5;4;81;79;7;3;2;2;0,44
05/05/2024;0,2;0,47;0;3;3;73;70;4;2;1;2;0,51
04/05/2024;0,16;0,32;0;3;3;68;69;4;2;2;2;0,34
03/05/2024;0,39;0,73;1;7;6;69;66;5;2;2;3;0,77
02/05/2024;0,31;0,58;1;6;5;72;76;5;3;2;3;0,65
01/05/2024;0,18;0,55;0;3;3;77;77;5;2;1;2;0,67
