Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2024;0,29;0,27;16;57;33;21;14;7
30/12/2024;0,23;0,24;16;54;30;13;7;3
29/12/2024;0,23;0,24;7;37;27;16;9;4
28/12/2024;0,24;0,22;8;38;27;16;7;5
27/12/2024;0,22;0,23;6;28;20;12;5;3
26/12/2024;0,28;0,28;8;35;24;15;6;2
25/12/2024;0,25;0,24;1;14;13;13;5;2
24/12/2024;0,22;0,2;2;24;22;12;4;5
23/12/2024;0,17;0,17;1;11;10;23;5;2
22/12/2024;0,17;0,17;1;10;9;17;4;4
21/12/2024;0,2;0,21;2;22;20;10;3;7
20/12/2024;0,21;0,2;2;31;29;12;4;6
19/12/2024;0,19;0,19;1;13;12;31;10;4
18/12/2024;0,2;0,2;1;9;8;63;19;5
17/12/2024;0,19;0,19;2;19;17;11;4;5
16/12/2024;0,21;0,22;6;38;29;13;5;7
15/12/2024;0,22;0,23;2;26;23;12;5;8
14/12/2024;0,25;0,25;4;33;27;13;5;9
13/12/2024;0,26;0,26;8;43;30;16;8;7
12/12/2024;0,3;0,3;28;81;38;22;9;8
11/12/2024;0,31;0,31;17;59;34;18;8;6
10/12/2024;0,25;0,24;4;33;27;12;5;5
09/12/2024;0,19;0,19;2;16;14;16;6;5
08/12/2024;0,15;0,15;0;6;5;21;5;4
07/12/2024;0,14;0,15;1;9;9;17;5;6
06/12/2024;0,2;0,2;2;21;19;13;5;5
05/12/2024;0,24;0,24;13;52;33;17;6;9
04/12/2024;0,22;0,23;8;46;34;17;7;7
03/12/2024;0,25;0,24;11;52;35;15;6;7
02/12/2024;0,24;0,25;17;57;31;30;10;8
01/12/2024;0,19;0,18;2;19;17;43;15;5
30/11/2024;0,22;0,24;7;33;24;32;12;9
29/11/2024;0,24;0,22;11;45;28;38;14;8
28/11/2024;0,23;0,23;5;38;31;15;6;9
27/11/2024;0,2;0,19;5;35;28;13;6;10
26/11/2024;0,23;0,23;8;42;30;18;8;11
25/11/2024;0,2;0,19;3;27;23;18;8;9
24/11/2024;0,15;0,15;1;8;8;12;5;4
23/11/2024;0,15;0,17;1;7;6;8;3;4
22/11/2024;0,2;0,18;4;29;23;17;5;8
21/11/2024;0,17;0,18;1;14;12;8;3;5
20/11/2024;0,18;0,17;1;17;16;13;5;9
19/11/2024;0,23;0,25;20;58;29;30;11;8
18/11/2024;0,28;0,27;24;67;31;28;11;5
17/11/2024;0,24;0,24;10;43;28;28;11;7
16/11/2024;0,2;0,18;4;23;17;27;8;5
15/11/2024;0,23;0,25;12;40;21;24;9;7
14/11/2024;0,27;0,26;17;53;28;21;11;8
13/11/2024;0,2;0,2;7;30;21;14;5;4
12/11/2024;0,16;0,16;1;16;14;15;5;4
11/11/2024;0,19;0,19;1;14;13;16;6;4
10/11/2024;0,2;0,2;3;25;21;13;4;6
09/11/2024;0,18;0,18;1;19;17;16;5;5
08/11/2024;0,17;0,16;2;18;15;21;8;4
07/11/2024;0,2;0,21;5;31;24;27;11;8
06/11/2024;0,26;0,26;17;65;40;35;15;7
05/11/2024;0,2;0,19;7;37;28;28;11;5
04/11/2024;0,2;0,2;4;34;28;26;9;5
03/11/2024;0,18;0,18;2;22;20;20;9;4
02/11/2024;0,21;0,21;6;31;23;32;15;8
01/11/2024;0,19;0,2;3;30;25;24;9;6
31/10/2024;0,26;0,26;22;66;33;36;13;6
30/10/2024;0,26;0,26;17;59;34;30;13;7
29/10/2024;0,26;0,26;15;54;31;26;11;8
28/10/2024;0,27;0,26;21;61;29;23;10;5
27/10/2024;0,21;0,2;2;21;19;8;3;6
26/10/2024;0,2;0,2;3;27;23;11;4;6
25/10/2024;0,17;0,16;2;27;24;14;7;7
24/10/2024;0,16;0,17;2;17;16;15;7;5
23/10/2024;0,21;0,21;9;44;30;21;9;5
22/10/2024;0,24;0,23;3;28;25;16;6;5
21/10/2024;0,19;0,2;4;25;20;19;9;5
20/10/2024;0,2;0,2;2;21;18;16;8;4
19/10/2024;0,21;0,19;2;21;19;14;6;5
18/10/2024;0,18;0,17;3;25;22;16;6;5
17/10/2024;0,15;0,15;1;17;15;14;5;5
16/10/2024;0,19;0,19;4;26;20;18;8;5
15/10/2024;0,18;0,2;2;23;20;36;12;5
14/10/2024;0,29;0,28;16;63;39;;20;7
13/10/2024;0,19;0,19;2;18;16;;9;5
12/10/2024;0,17;0,16;1;14;13;;5;4
11/10/2024;0,18;0,2;6;32;23;;7;6
10/10/2024;0,19;0,18;2;20;18;;5;5
09/10/2024;0,15;0,15;1;7;6;;4;4
08/10/2024;0,14;0,15;1;8;7;;3;3
07/10/2024;0,18;0,18;3;25;21;;7;4
06/10/2024;0,17;0,17;1;15;13;;14;4
05/10/2024;0,19;0,2;7;31;22;;7;8
04/10/2024;0,22;0,21;11;43;27;;9;5
03/10/2024;0,19;0,18;8;35;24;;6;4
02/10/2024;0,19;0,19;3;22;18;;4;3
01/10/2024;0,23;0,24;15;45;23;;10;6
30/09/2024;0,25;0,25;11;49;33;;10;8
29/09/2024;0,19;0,19;2;20;18;;5;5
28/09/2024;0,2;0,19;3;23;18;;6;6
27/09/2024;0,17;0,16;1;13;12;;5;7
