Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
17/06/2024;4;19;13;15;8
16/06/2024;1;11;10;12;7
15/06/2024;0;9;8;16;7
14/06/2024;3;18;14;15;8
13/06/2024;2;13;11;18;10
12/06/2024;6;22;13;14;9
11/06/2024;1;11;9;11;5
10/06/2024;4;13;7;15;7
09/06/2024;0;5;4;13;7
08/06/2024;0;9;8;24;16
07/06/2024;2;13;10;22;14
06/06/2024;4;15;9;15;9
05/06/2024;5;24;17;25;16
04/06/2024;3;18;13;19;12
03/06/2024;1;13;11;15;12
02/06/2024;0;5;5;12;10
01/06/2024;1;11;9;11;6
31/05/2024;3;17;12;15;5
30/05/2024;1;8;8;12;8
29/05/2024;6;22;13;17;11
28/05/2024;6;23;14;19;11
27/05/2024;1;12;11;9;4
26/05/2024;0;13;12;12;8
25/05/2024;1;16;13;14;11
24/05/2024;8;27;16;14;8
23/05/2024;3;16;11;11;6
22/05/2024;4;23;17;13;8
21/05/2024;2;15;11;14;7
20/05/2024;2;12;10;10;5
19/05/2024;0;4;4;5;4
18/05/2024;2;16;12;12;8
17/05/2024;2;19;17;11;7
16/05/2024;2;19;15;9;6
15/05/2024;5;32;24;11;7
14/05/2024;2;22;19;10;5
13/05/2024;4;26;19;17;11
12/05/2024;0;7;7;17;10
11/05/2024;2;20;18;22;18
10/05/2024;8;36;25;23;16
09/05/2024;8;38;26;18;12
08/05/2024;4;22;15;14;7
07/05/2024;1;11;10;12;5
06/05/2024;2;16;13;12;4
05/05/2024;0;5;5;4;3
04/05/2024;0;4;4;5;4
03/05/2024;4;22;16;9;7
02/05/2024;3;21;16;10;3
01/05/2024;0;7;7;7;4
30/04/2024;5;24;17;14;8
29/04/2024;10;34;19;12;6
28/04/2024;2;18;15;10;7
27/04/2024;0;12;12;7;6
26/04/2024;8;29;16;10;7
25/04/2024;4;31;25;12;8
24/04/2024;8;29;17;15;6
23/04/2024;1;24;22;13;5
22/04/2024;1;8;7;9;4
21/04/2024;1;9;8;10;6
20/04/2024;2;16;13;15;10
19/04/2024;6;25;17;11;8
18/04/2024;1;18;17;8;3
17/04/2024;1;12;11;7;3
16/04/2024;0;9;9;15;6
15/04/2024;1;8;7;9;4
14/04/2024;2;16;14;18;15
13/04/2024;4;30;24;25;21
12/04/2024;7;48;37;23;14
11/04/2024;4;26;19;15;8
10/04/2024;6;29;19;15;6
09/04/2024;1;13;12;13;5
08/04/2024;1;12;10;8;5
07/04/2024;1;19;17;18;12
06/04/2024;0;8;8;24;11
05/04/2024;0;9;9;9;6
04/04/2024;0;8;8;10;5
03/04/2024;2;14;12;6;3
02/04/2024;0;9;8;4;5
01/04/2024;0;7;7;4;3
31/03/2024;1;12;11;3;3
30/03/2024;0;10;9;3;3
29/03/2024;0;10;10;4;2
28/03/2024;0;5;5;4;3
27/03/2024;1;10;9;7;3
26/03/2024;1;16;15;5;3
25/03/2024;2;18;15;13;6
24/03/2024;1;13;12;9;5
23/03/2024;1;9;8;15;5
22/03/2024;8;28;17;29;24
21/03/2024;12;38;20;16;10
20/03/2024;2;13;10;13;9
19/03/2024;2;16;13;14;12
18/03/2024;5;26;18;13;8
17/03/2024;1;15;13;11;9
16/03/2024;5;26;18;11;8
15/03/2024;6;38;28;16;12
14/03/2024;5;38;31;25;12
13/03/2024;12;52;33;18;11
12/03/2024;6;37;28;10;9
11/03/2024;1;23;21;12;7
10/03/2024;0;7;7;4;3
09/03/2024;0;4;4;2;2
08/03/2024;0;7;7;3;2
07/03/2024;0;9;8;12;8
06/03/2024;12;52;33;20;14
05/03/2024;10;40;25;13;7
04/03/2024;2;27;24;10;5
03/03/2024;0;12;11;3;2
02/03/2024;0;11;11;3;4
01/03/2024;0;12;11;6;3
29/02/2024;3;26;22;9;8
28/02/2024;1;21;20;8;5
27/02/2024;1;5;4;12;6
26/02/2024;1;10;9;9;4
25/02/2024;0;6;6;8;5
24/02/2024;1;14;13;4;4
23/02/2024;1;13;12;7;4
22/02/2024;0;9;8;;
21/02/2024;15;57;34;;
20/02/2024;15;51;28;20;12
19/02/2024;1;11;10;6;4
18/02/2024;4;26;21;15;11
17/02/2024;8;36;23;15;12
16/02/2024;4;26;21;12;5
15/02/2024;1;11;10;13;6
14/02/2024;11;38;21;11;10
13/02/2024;10;43;27;14;9
12/02/2024;1;17;15;11;5
11/02/2024;0;5;5;5;2
10/02/2024;0;8;8;8;4
09/02/2024;1;10;9;4;5
08/02/2024;0;4;4;25;12
07/02/2024;16;43;19;30;22
06/02/2024;22;63;30;34;26
05/02/2024;17;45;19;29;24
04/02/2024;1;15;14;23;22
03/02/2024;3;21;18;12;11
02/02/2024;4;32;27;19;12
01/02/2024;27;70;30;37;23
31/01/2024;13;49;30;28;17
30/01/2024;5;29;22;22;12
29/01/2024;1;9;8;16;9
28/01/2024;0;8;7;12;9
27/01/2024;7;31;21;21;15
26/01/2024;34;80;28;37;25
25/01/2024;28;72;30;34;19
24/01/2024;35;83;29;25;15
23/01/2024;21;61;30;12;8
22/01/2024;1;14;12;7;3
21/01/2024;2;20;17;5;4
20/01/2024;5;29;22;10;9
19/01/2024;9;37;25;11;7
18/01/2024;1;10;9;8;3
17/01/2024;1;9;8;6;2
16/01/2024;29;71;28;15;10
15/01/2024;35;88;35;10;10
14/01/2024;7;32;22;10;7
13/01/2024;2;22;19;9;6
12/01/2024;19;58;29;21;18
11/01/2024;18;62;35;13;14
10/01/2024;27;70;30;27;20
09/01/2024;24;67;29;27;21
08/01/2024;15;58;35;11;8
07/01/2024;1;18;17;6;4
06/01/2024;0;8;8;5;2
05/01/2024;1;21;21;6;3
04/01/2024;2;19;16;10;6
03/01/2024;17;59;34;19;10
02/01/2024;0;5;5;6;4
01/01/2024;1;16;15;15;13
