Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2024;16;49;25;19;11
30/12/2024;20;55;24;13;7
29/12/2024;17;47;21;14;8
28/12/2024;10;35;20;12;7
27/12/2024;14;41;21;10;6
26/12/2024;3;18;14;8;5
25/12/2024;1;12;12;10;7
24/12/2024;1;22;21;9;4
23/12/2024;0;5;4;14;5
22/12/2024;0;8;7;11;3
21/12/2024;1;18;16;6;4
20/12/2024;6;42;32;10;5
19/12/2024;1;9;8;27;7
18/12/2024;0;7;7;60;16
17/12/2024;1;16;14;8;4
16/12/2024;7;34;24;10;5
15/12/2024;6;28;19;11;6
14/12/2024;5;30;22;11;7
13/12/2024;30;75;30;16;10
12/12/2024;39;91;33;21;10
11/12/2024;11;40;24;16;8
10/12/2024;5;27;20;7;3
09/12/2024;2;11;9;7;4
08/12/2024;;;;18;5
07/12/2024;;;;14;4
06/12/2024;1;15;14;6;3
05/12/2024;12;46;29;16;7
04/12/2024;10;43;28;14;7
03/12/2024;8;38;26;10;6
02/12/2024;21;58;27;23;9
01/12/2024;5;27;19;36;13
30/11/2024;6;30;20;26;10
29/11/2024;24;68;32;36;13
28/11/2024;10;44;29;12;5
27/11/2024;10;48;34;10;5
26/11/2024;16;61;37;14;5
25/11/2024;10;39;24;14;5
24/11/2024;0;4;4;9;4
23/11/2024;0;7;7;4;4
22/11/2024;5;30;23;14;6
21/11/2024;0;12;12;5;3
20/11/2024;1;17;17;8;2
19/11/2024;21;56;24;24;11
18/11/2024;18;51;25;17;11
17/11/2024;12;43;25;27;14
16/11/2024;4;23;18;24;9
15/11/2024;13;43;23;;11
14/11/2024;15;44;22;;7
13/11/2024;5;26;18;9;4
12/11/2024;1;11;10;11;4
11/11/2024;2;17;14;10;3
10/11/2024;2;22;19;11;6
09/11/2024;3;21;16;14;5
08/11/2024;2;19;17;16;7
07/11/2024;7;33;23;25;10
06/11/2024;19;58;29;26;11
05/11/2024;6;33;24;20;10
04/11/2024;7;29;18;20;9
03/11/2024;0;10;9;14;7
02/11/2024;4;23;17;26;13
01/11/2024;2;19;16;17;7
31/10/2024;17;50;24;41;14
30/10/2024;14;45;24;22;12
29/10/2024;12;39;22;16;9
28/10/2024;20;54;23;14;8
27/10/2024;4;20;14;6;3
26/10/2024;4;23;17;7;3
25/10/2024;2;25;22;14;7
24/10/2024;2;15;12;12;7
23/10/2024;6;28;19;11;5
22/10/2024;6;30;21;11;4
21/10/2024;1;11;11;13;5
20/10/2024;1;15;14;9;4
19/10/2024;1;16;15;10;6
18/10/2024;3;24;19;10;4
17/10/2024;1;17;16;8;3
16/10/2024;0;9;9;8;5
15/10/2024;0;8;8;31;9
14/10/2024;9;36;22;18;10
13/10/2024;0;11;11;7;5
12/10/2024;0;6;6;6;5
11/10/2024;6;26;17;11;5
10/10/2024;3;22;18;8;4
09/10/2024;0;6;6;8;3
08/10/2024;0;5;5;6;4
07/10/2024;1;16;14;11;5
06/10/2024;1;12;11;26;12
05/10/2024;3;22;18;11;9
04/10/2024;12;39;20;14;7
03/10/2024;9;32;18;11;6
02/10/2024;1;14;13;4;2
01/10/2024;13;34;15;15;7
30/09/2024;15;48;26;19;9
29/09/2024;2;21;18;9;5
28/09/2024;2;20;16;8;5
27/09/2024;1;16;15;9;3
26/09/2024;1;16;15;7;4
25/09/2024;2;12;10;8;4
24/09/2024;5;30;22;19;10
23/09/2024;4;26;20;21;10
22/09/2024;1;16;15;20;11
21/09/2024;2;18;15;13;11
20/09/2024;7;30;20;26;15
19/09/2024;10;33;18;22;11
18/09/2024;11;32;16;22;12
17/09/2024;13;35;16;20;10
16/09/2024;10;33;18;17;7
15/09/2024;4;19;13;9;5
14/09/2024;5;21;13;11;4
13/09/2024;5;22;15;9;4
12/09/2024;1;17;16;7;3
11/09/2024;2;17;14;13;5
10/09/2024;2;16;13;12;4
09/09/2024;7;27;17;15;6
08/09/2024;2;15;13;8;4
07/09/2024;2;16;12;8;6
06/09/2024;2;18;15;7;4
05/09/2024;1;13;12;6;3
04/09/2024;1;14;12;9;5
03/09/2024;1;13;12;10;5
02/09/2024;4;18;11;12;8
01/09/2024;1;10;8;11;8
31/08/2024;0;11;10;14;9
30/08/2024;2;13;10;12;8
29/08/2024;1;12;10;10;8
28/08/2024;2;13;9;15;8
27/08/2024;2;18;15;16;10
26/08/2024;3;18;13;10;4
25/08/2024;0;8;8;6;4
24/08/2024;1;13;11;12;8
23/08/2024;2;18;15;17;9
22/08/2024;3;18;13;13;7
21/08/2024;1;10;9;9;4
20/08/2024;3;16;11;18;11
19/08/2024;3;18;13;11;7
18/08/2024;0;6;6;5;2
17/08/2024;2;14;12;10;9
16/08/2024;2;18;15;12;7
15/08/2024;1;12;10;11;5
14/08/2024;0;8;7;10;3
13/08/2024;2;13;9;11;5
12/08/2024;0;9;8;17;11
11/08/2024;1;11;10;23;22
10/08/2024;2;15;12;15;13
09/08/2024;2;13;10;14;7
08/08/2024;2;13;10;19;8
07/08/2024;2;16;13;14;8
06/08/2024;1;12;10;15;9
05/08/2024;2;16;12;14;12
04/08/2024;1;13;11;14;9
03/08/2024;1;13;12;20;7
02/08/2024;3;16;11;10;8
01/08/2024;0;9;8;16;11
31/07/2024;1;10;8;21;20
30/07/2024;3;23;19;37;27
29/07/2024;1;11;9;34;25
28/07/2024;0;7;6;19;14
27/07/2024;2;10;7;17;8
26/07/2024;1;9;7;14;6
25/07/2024;0;4;3;13;5
24/07/2024;1;8;7;14;9
23/07/2024;;;;36;14
22/07/2024;;;;14;9
21/07/2024;0;6;6;18;5
20/07/2024;1;12;10;18;14
19/07/2024;2;14;10;19;13
18/07/2024;4;17;11;24;16
17/07/2024;4;16;10;19;11
16/07/2024;6;23;14;20;9
15/07/2024;4;17;12;16;9
14/07/2024;1;11;10;17;12
13/07/2024;1;9;8;18;7
12/07/2024;0;6;6;19;3
11/07/2024;3;16;11;32;15
10/07/2024;4;21;14;23;15
09/07/2024;3;20;16;20;10
08/07/2024;6;29;20;24;11
07/07/2024;2;13;10;15;6
06/07/2024;0;8;8;17;5
05/07/2024;2;13;10;16;8
04/07/2024;6;23;14;15;7
03/07/2024;2;15;12;18;8
02/07/2024;3;14;10;13;5
01/07/2024;5;19;12;13;5
30/06/2024;1;9;9;13;7
29/06/2024;0;9;9;15;4
28/06/2024;2;14;11;17;7
27/06/2024;1;13;11;22;10
26/06/2024;4;21;14;26;17
25/06/2024;6;28;19;24;13
24/06/2024;1;9;7;14;9
23/06/2024;0;8;8;11;9
22/06/2024;1;10;10;15;9
21/06/2024;1;10;10;13;6
20/06/2024;1;14;12;15;9
19/06/2024;4;16;10;14;7
18/06/2024;1;14;12;18;9
