Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2024;0,36;0,51;11;47;30;13;13;12;2;6;1,04
30/12/2024;0,34;0,52;12;46;29;13;14;9;2;3;1,06
29/12/2024;0,25;0,38;3;28;23;20;20;10;2;3;0,87
28/12/2024;0,24;0,34;5;26;19;34;39;8;1;5;0,74
27/12/2024;0,18;0,28;1;15;13;40;34;5;1;1;0,57
26/12/2024;0,24;0,43;5;30;23;19;24;9;1;4;0,82
25/12/2024;0,18;0,21;0;10;10;52;56;5;1;2;0,44
24/12/2024;0,22;0,26;0;8;8;69;72;4;1;11;0,45
23/12/2024;0,12;0,06;0;3;3;86;87;11;0;2;0,15
22/12/2024;0,16;0,13;0;7;6;75;73;8;1;19;0,25
21/12/2024;0,15;0,12;0;7;6;68;68;3;0;11;0,23
20/12/2024;0,16;0,17;1;10;9;68;70;5;0;4;0,31
19/12/2024;0,17;0,16;0;6;6;72;69;18;1;4;0,28
18/12/2024;0,13;0,11;0;4;4;66;68;43;1;1;0,18
17/12/2024;0,14;0,16;1;9;9;68;64;4;1;1;0,26
16/12/2024;0,21;0,38;3;28;24;37;33;6;0;2;0,61
15/12/2024;0,27;0,27;1;13;11;55;60;6;0;4;0,56
14/12/2024;0,24;0,16;0;6;6;56;53;3;0;3;0,36
13/12/2024;0,29;0,42;2;17;15;36;31;6;1;2;0,81
12/12/2024;0,51;1,25;23;72;38;14;16;13;1;3;2,06
11/12/2024;0,55;1,11;14;52;31;13;13;9;1;5;1,88
10/12/2024;0,33;0,4;2;24;21;35;42;5;1;3;0,73
09/12/2024;0,19;0,12;1;7;7;57;59;7;1;2;0,25
08/12/2024;0,18;0,14;0;2;2;76;78;14;0;4;0,28
07/12/2024;0,18;0,21;0;7;6;65;61;8;0;13;0,44
06/12/2024;0,14;0,18;0;10;10;49;46;5;0;6;0,31
05/12/2024;0,28;1,4;13;43;23;24;22;9;0;2;1,95
04/12/2024;0,24;0,71;4;31;26;37;39;7;0;2;1,48
03/12/2024;0,24;0,86;6;42;33;30;35;8;0;3;1,61
02/12/2024;0,19;0,33;4;21;15;44;41;10;0;3;0,84
01/12/2024;0,15;0,21;1;11;11;48;52;28;0;5;0,44
30/11/2024;0,23;0,45;5;24;17;38;30;21;0;4;0,89
29/11/2024;0,22;0,78;7;35;24;44;53;26;0;6;1,6
28/11/2024;0,31;1,11;8;46;33;32;24;11;0;4;1,53
27/11/2024;0,23;0,95;5;35;28;37;45;7;0;2;1,28
26/11/2024;0,26;1,07;17;51;26;29;21;9;0;4;1,37
25/11/2024;0,17;0,36;2;24;20;47;55;10;1;9;0,7
24/11/2024;0,11;0,1;0;4;4;61;61;7;2;3;0,2
23/11/2024;0,11;0,08;0;3;3;64;59;6;2;4;0,18
22/11/2024;0,21;0,41;6;30;21;50;57;10;2;22;0,67
21/11/2024;0,16;0,2;1;8;7;58;55;4;3;8;0,38
20/11/2024;0,17;0,26;1;13;12;58;56;5;2;25;0,47
19/11/2024;0,3;1,12;15;42;19;24;17;18;2;6;2,35
18/11/2024;0,44;1,59;22;68;35;6;9;20;2;4;2,57
17/11/2024;0,33;0,62;7;29;19;16;14;19;2;6;1,84
16/11/2024;0,21;0,32;2;14;11;38;43;17;2;3;0,55
15/11/2024;0,33;0,93;15;40;18;24;18;13;2;4;1,33
14/11/2024;0,35;1,23;16;49;26;14;19;11;1;4;1,84
13/11/2024;0,21;0,64;5;26;19;37;40;4;2;3;0,99
12/11/2024;0,15;0,27;0;7;7;63;63;6;3;3;0,31
11/11/2024;0,15;0,12;0;7;6;64;64;6;2;3;0,28
10/11/2024;0,2;0,31;2;20;17;37;30;10;1;7;0,65
09/11/2024;0,23;0,33;2;17;15;57;61;10;1;7;0,64
08/11/2024;0,31;1,32;1;12;11;46;47;15;2;4;1,79
07/11/2024;0,22;0,8;1;18;16;40;33;14;1;3;1,27
06/11/2024;0,31;1,85;15;60;37;16;16;21;1;5;2,58
05/11/2024;0,21;0,71;2;27;24;41;47;15;1;6;1,12
04/11/2024;0,15;0,34;1;13;12;59;62;14;1;3;0,62
03/11/2024;0,17;0,22;0;11;11;52;46;12;0;4;0,48
02/11/2024;0,39;0,42;4;26;21;25;24;23;0;12;0,87
01/11/2024;0,23;0,4;1;19;18;49;49;15;0;6;0,79
31/10/2024;0,43;1,24;19;62;33;19;17;28;1;12;2,17
30/10/2024;0,43;2,02;18;63;36;12;13;19;;4;3,18
29/10/2024;0,31;1,29;14;48;27;15;14;14;;4;1,82
28/10/2024;0,3;1,65;12;45;27;16;18;10;;4;1,8
27/10/2024;0,22;0,37;0;12;11;49;54;4;;4;0,69
26/10/2024;0,15;0,29;0;10;10;44;44;5;;5;0,59
25/10/2024;0,16;0,89;3;24;19;51;54;6;;4;1,47
24/10/2024;0,12;0,46;1;7;7;65;61;8;;2;0,47
23/10/2024;0,2;0,87;8;32;19;34;33;9;;3;1,55
22/10/2024;0,19;0,54;1;16;15;47;50;6;;3;0,84
21/10/2024;0,15;0,25;1;9;9;57;51;9;;6;0,47
20/10/2024;0,17;0,22;0;11;10;49;53;9;;4;0,45
19/10/2024;0,13;0,26;1;12;12;49;48;7;;3;0,47
18/10/2024;0,11;0,17;1;11;10;62;65;7;;6;0,32
17/10/2024;0,19;0,35;1;11;11;59;54;5;;9;0,6
16/10/2024;0,16;0,34;1;16;14;47;51;7;;3;0,63
15/10/2024;0,14;0,41;1;11;10;52;44;25;;3;0,65
14/10/2024;0,31;1,39;11;53;36;;;19;;7;2,07
13/10/2024;0,14;0,29;1;13;13;;;7;2;3;0,58
12/10/2024;0,12;0,19;0;7;7;;;5;3;3;0,34
11/10/2024;0,19;0,77;8;30;18;43;40;9;2;3;1,25
10/10/2024;0,11;0,24;1;10;10;65;69;8;0;6;0,38
09/10/2024;0,11;0,15;0;6;6;71;71;6;1;9;0,27
08/10/2024;0,12;0,16;0;4;3;69;;6;3;1;0,25
07/10/2024;0,1;0,28;1;12;11;51;49;7;5;1;0,4
06/10/2024;0,11;0,2;1;9;9;36;34;19;6;1;0,36
05/10/2024;0,27;0,6;5;24;17;28;27;11;6;4;1,34
04/10/2024;0,33;0,87;10;42;27;30;31;11;4;2;1,52
03/10/2024;0,22;0,58;1;16;15;56;63;6;3;1;1,01
02/10/2024;0,16;0,49;2;17;14;55;54;4;3;1;0,83
01/10/2024;0,21;1,26;9;30;16;36;31;10;3;2;1,8
30/09/2024;0,41;2,18;11;42;25;36;40;15;2;4;3,21
29/09/2024;0,15;0,24;0;11;10;54;48;6;1;3;0,57
28/09/2024;0,17;0,27;1;13;12;50;58;7;0;5;0,51
27/09/2024;0,13;0,22;1;9;8;69;70;6;1;19;0,34
26/09/2024;0,14;0,46;1;16;14;65;61;7;1;6;0,8
25/09/2024;0,12;0,26;0;6;5;54;52;8;3;2;0,4
24/09/2024;0,18;0,61;2;21;19;56;60;13;4;3;0,94
23/09/2024;0,17;0,25;1;13;11;77;78;14;3;3;0,45
22/09/2024;0,17;0,25;0;7;6;74;73;12;2;1;0,49
21/09/2024;0,21;0,39;1;11;10;61;60;11;3;1;0,61
20/09/2024;0,26;0,65;2;22;18;52;52;16;3;1;1,16
19/09/2024;0,29;0,88;6;25;17;49;48;17;3;2;1,25
18/09/2024;0,24;0,71;6;24;15;53;57;17;3;1;1,07
17/09/2024;0,24;0,53;1;14;13;69;69;12;4;3;0,67
16/09/2024;0,33;0,72;8;26;15;61;57;12;3;5;1,13
15/09/2024;0,3;0,42;2;18;14;46;45;12;3;6;0,79
14/09/2024;0,24;0,42;5;22;15;42;43;6;3;1;0,78
13/09/2024;0,16;0,25;0;9;8;61;61;6;3;2;0,39
12/09/2024;0,15;0,25;1;9;9;58;59;3;3;1;0,42
11/09/2024;0,18;0,23;1;9;8;61;64;7;3;9;0,45
10/09/2024;0,22;0,29;1;7;7;70;69;8;4;1;0,54
09/09/2024;0,28;0,66;3;19;14;61;62;7;4;6;2,06
08/09/2024;0,3;0,47;0;9;9;69;68;3;4;6;0,83
07/09/2024;0,18;0,3;0;10;9;65;62;3;4;5;0,56
06/09/2024;0,2;0,42;2;17;15;56;56;3;4;6;0,65
05/09/2024;0,21;0,32;1;11;10;57;61;3;3;5;0,48
04/09/2024;0,24;0,38;0;7;7;65;65;3;2;6;0,59
03/09/2024;0,26;0,34;0;6;5;69;68;2;2;4;0,54
02/09/2024;0,22;0,5;5;22;16;43;43;3;3;4;0,94
01/09/2024;0,23;0,47;2;13;11;56;53;3;2;4;0,78
31/08/2024;0,2;0,47;1;12;11;53;54;4;2;3;0,75
30/08/2024;0,23;0,57;2;18;14;46;47;3;2;3;1,06
29/08/2024;0,18;0,44;2;16;14;46;46;6;4;4;0,85
28/08/2024;0,23;0,51;1;12;11;59;59;14;5;5;0,85
27/08/2024;0,29;0,82;4;26;19;55;55;15;5;4;1,91
26/08/2024;0,2;0,53;3;18;14;52;53;14;4;4;0,95
25/08/2024;0,19;0,24;0;6;5;64;65;7;4;4;0,41
24/08/2024;0,27;0,48;1;13;11;48;44;9;5;9;0,82
23/08/2024;0,25;0,93;5;25;18;40;44;11;5;5;1,22
22/08/2024;0,48;1,96;4;23;17;45;44;12;5;5;2,86
21/08/2024;0,19;0,54;1;10;10;58;61;8;4;3;0,76
20/08/2024;0,2;0,55;4;19;13;51;52;13;4;8;0,9
19/08/2024;0,16;0,48;4;19;13;;;9;4;5;0,76
18/08/2024;0,12;0,23;0;5;5;;;4;3;3;0,33
17/08/2024;0,22;0,46;1;13;11;;;6;4;10;0,77
16/08/2024;0,19;0,47;2;19;16;;;8;4;13;0,74
15/08/2024;0,13;0,23;0;6;6;61;63;8;3;5;0,35
14/08/2024;0,18;0,29;1;7;7;55;53;5;3;5;0,5
13/08/2024;0,21;0,45;1;10;8;42;40;;4;3;0,81
12/08/2024;0,11;0,18;0;7;6;65;74;;3;3;0,3
11/08/2024;0,2;0,47;1;11;11;77;72;;4;3;0,82
10/08/2024;0,12;0,37;2;12;9;57;55;;3;3;0,59
09/08/2024;0,37;0,97;2;14;11;50;50;;3;3;1,33
08/08/2024;0,14;0,53;1;14;13;52;49;;3;2;0,63
07/08/2024;0,17;0,64;1;11;10;44;47;7;3;1;0,82
06/08/2024;0,15;0,54;1;10;9;53;52;8;3;2;0,61
05/08/2024;0,2;0,52;2;12;10;45;45;10;3;4;0,94
04/08/2024;0,13;0,33;1;11;9;53;53;8;2;2;0,55
03/08/2024;0,11;0,38;1;10;9;53;54;7;2;2;0,56
02/08/2024;0,25;0,33;0;6;5;63;66;8;2;1;0,64
01/08/2024;0,15;0,28;0;6;6;79;78;12;2;1;0,47
31/07/2024;0,18;0,43;1;12;10;69;69;21;2;1;0,67
30/07/2024;0,33;1,21;5;34;27;52;49;29;3;1;2,01
29/07/2024;0,21;0,42;2;16;13;51;49;25;2;1;0,83
28/07/2024;0,13;0,32;1;9;8;45;43;12;2;1;0,52
27/07/2024;0,12;0,38;1;8;8;39;40;5;2;1;0,57
26/07/2024;0,12;0,44;1;12;10;42;43;7;2;1;0,6
25/07/2024;0,08;0,25;0;5;4;46;45;5;2;1;0,32
24/07/2024;0,12;0,44;1;10;9;39;42;9;1;1;0,69
23/07/2024;0,21;0,76;7;28;17;49;48;12;0;3;1,05
22/07/2024;0,19;0,46;3;18;14;55;57;9;0;3;0,71
21/07/2024;0,18;0,23;0;7;6;65;63;10;1;14;0,37
20/07/2024;0,22;0,52;1;11;10;63;65;15;1;3;0,82
19/07/2024;0,15;0,53;3;16;13;55;54;18;1;2;0,71
18/07/2024;0,21;0,44;2;14;11;52;52;15;0;3;0,8
17/07/2024;;;5;23;15;49;49;14;0;2;
16/07/2024;0,18;0,75;1;12;11;48;47;9;0;3;1,23
15/07/2024;0,14;0,43;1;11;11;49;47;12;1;2;0,65
14/07/2024;0,22;0,44;1;14;13;45;49;12;1;7;0,72
13/07/2024;0,19;0,42;3;15;11;55;54;7;1;2;0,67
12/07/2024;0,18;0,35;0;9;8;59;59;7;0;2;0,52
11/07/2024;0,24;0,95;4;19;13;45;45;11;2;2;1,5
10/07/2024;0,22;1,11;4;21;15;42;38;10;3;2;1,4
