Date;CO (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
18/08/2014;0,31;5;16;37;19;8;6;
17/08/2014;0,19;5;7;23;15;7;7;
16/08/2014;0,25;4;10;25;;6;5;
15/08/2014;0,2;5;5;12;;4;5;
14/08/2014;0,32;5;13;24;16;6;5;
13/08/2014;0,21;5;6;17;13;5;6;
12/08/2014;0,29;5;13;29;16;7;4;
11/08/2014;0,23;6;8;19;14;5;2;
10/08/2014;0,56;8;8;16;14;8;2;
09/08/2014;0,56;7;8;18;21;7;2;
08/08/2014;0,32;6;16;21;19;8;3;
07/08/2014;0,38;6;16;27;22;11;3;
06/08/2014;0,29;5;20;30;;11;4;
05/08/2014;0,28;5;20;26;;9;4;
04/08/2014;0,25;5;11;29;12;;4;
03/08/2014;0,25;6;7;17;;6;2;
02/08/2014;0,28;6;8;24;18;10;3;
01/08/2014;0,5;7;10;23;18;8;2;
31/07/2014;0,28;7;12;20;16;9;3;
30/07/2014;0,31;6;21;28;18;7;4;
29/07/2014;0,22;5;8;20;12;5;2;
28/07/2014;0,26;5;14;31;23;12;11;
27/07/2014;0,29;5;7;21;27;16;6;
26/07/2014;0,31;6;6;18;;16;3;
25/07/2014;0,35;6;5;14;;13;2;
24/07/2014;0,25;6;11;24;20;14;8;
23/07/2014;0,27;5;15;29;24;11;6;
22/07/2014;0,25;4;17;24;18;8;6;
21/07/2014;0,26;5;8;17;15;6;6;
20/07/2014;0,23;6;7;13;17;5;6;
19/07/2014;0,33;6;9;23;;10;5;
18/07/2014;0,41;6;14;26;36;19;5;
17/07/2014;0,34;6;11;27;43;20;5;
16/07/2014;0,31;5;14;29;30;16;6;
15/07/2014;0,29;4;20;24;25;13;5;
14/07/2014;0,24;4;9;19;10;5;4;
13/07/2014;0,25;5;12;17;25;13;8;
12/07/2014;0,2;4;7;16;;6;5;
11/07/2014;0,18;4;9;17;14;;5;
10/07/2014;0,17;5;7;16;20;;4;
09/07/2014;0,17;6;7;11;14;;3;
08/07/2014;0,23;6;15;27;20;;4;
07/07/2014;0,24;6;19;26;20;9;4;
06/07/2014;0,29;6;8;20;19;9;5;
05/07/2014;0,34;6;12;27;31;20;5;
04/07/2014;0,27;6;8;23;25;17;4;
03/07/2014;0,24;6;19;30;21;10;4;
02/07/2014;0,21;6;14;34;20;10;4;
01/07/2014;0,29;6;15;29;19;11;4;
30/06/2014;0,21;6;17;29;21;9;6;
29/06/2014;0,19;6;7;15;14;6;6;
28/06/2014;0,28;6;10;18;13;7;4;
27/06/2014;0,31;6;19;27;22;11;4;
26/06/2014;0,2;6;7;19;;8;5;
25/06/2014;0,21;6;7;15;20;12;7;
24/06/2014;0,24;6;6;17;24;15;7;
23/06/2014;0,4;6;13;28;28;17;7;
22/06/2014;0,26;6;5;13;17;12;6;
21/06/2014;0,31;8;7;21;22;14;7;
20/06/2014;0,54;8;22;50;40;18;10;
19/06/2014;0,34;6;17;38;27;14;9;
18/06/2014;0,24;6;13;28;24;11;9;
17/06/2014;0,21;6;10;23;23;10;11;
16/06/2014;0,2;5;6;18;24;10;7;
15/06/2014;0,2;5;5;11;21;8;6;
14/06/2014;0,23;6;6;17;25;13;7;
13/06/2014;0,38;7;15;27;29;18;8;
12/06/2014;0,35;7;17;33;;15;10;
11/06/2014;0,23;7;13;23;23;9;8;
10/06/2014;0,23;6;10;22;15;6;7;
09/06/2014;0,34;6;14;26;20;10;7;
08/06/2014;0,29;8;7;21;19;9;10;
07/06/2014;0,27;9;7;30;21;8;9;
06/06/2014;0,28;16;36;45;43;18;12;
05/06/2014;0,28;6;14;40;26;10;9;
04/06/2014;0,23;7;8;26;21;9;7;
03/06/2014;0,27;8;21;32;24;15;9;
02/06/2014;0,22;4;12;26;21;13;9;
01/06/2014;0,21;3;5;14;;9;6;
31/05/2014;0,16;3;5;12;12;7;5;
30/05/2014;0,16;3;7;17;13;9;5;
29/05/2014;0,18;3;15;27;15;8;6;
28/05/2014;0,25;4;9;35;16;11;7;
27/05/2014;0,31;5;17;30;30;14;8;
26/05/2014;0,2;4;10;26;16;8;10;
25/05/2014;0,16;3;3;13;11;5;6;
24/05/2014;0,2;3;5;19;16;6;6;
23/05/2014;0,18;3;6;23;13;6;8;
22/05/2014;0,19;3;6;25;14;4;5;
21/05/2014;0,21;3;4;14;13;5;5;
20/05/2014;0,31;3;9;23;15;7;6;
19/05/2014;0,28;4;5;19;22;13;6;
18/05/2014;0,22;4;4;22;24;14;12;
17/05/2014;0,19;4;6;23;22;14;20;
16/05/2014;0,2;4;11;24;22;11;17;
15/05/2014;0,22;7;14;26;21;11;11;
14/05/2014;0,26;4;15;28;22;10;11;
13/05/2014;0,18;4;8;21;15;9;10;
12/05/2014;0,19;2;12;26;20;10;13;
11/05/2014;0,15;1;3;11;14;6;6;
10/05/2014;0,19;2;6;16;15;10;6;
09/05/2014;0,23;3;14;26;21;14;12;
08/05/2014;0,38;5;;;22;12;12;
07/05/2014;0,18;6;;;22;11;10;
06/05/2014;0,23;7;;;28;15;11;
05/05/2014;0,21;6;;;21;11;10;
04/05/2014;0,16;6;;;13;8;7;
03/05/2014;0,14;4;;;12;7;7;
