Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
24/08/2014;0,26;5;21;28;44;15;8;
23/08/2014;0,2;5;15;23;45;9;9;
22/08/2014;0,25;9;32;47;24;13;10;
21/08/2014;0,22;11;21;38;41;14;8;
20/08/2014;0,22;3;21;26;43;12;8;
19/08/2014;0,24;;;;41;15;8;
18/08/2014;0,25;;;;39;15;7;
17/08/2014;0,18;5;17;24;51;13;8;
16/08/2014;0,18;4;17;23;51;13;6;
15/08/2014;0,18;3;11;16;66;12;6;
14/08/2014;0,17;7;21;31;46;15;7;
13/08/2014;0,18;4;13;19;62;14;6;
12/08/2014;0,24;6;22;30;48;14;10;
11/08/2014;0,22;4;17;23;50;13;8;
10/08/2014;0,36;4;15;21;46;22;7;
09/08/2014;0,32;5;17;24;43;20;7;
08/08/2014;0,26;10;21;35;35;22;7;
07/08/2014;0,32;8;23;35;35;23;8;
06/08/2014;0,24;;;;43;21;9;
05/08/2014;0,24;;;;42;15;7;
04/08/2014;0,25;;;;44;12;5;
03/08/2014;0,23;66;15;115;45;14;11;
02/08/2014;0,24;61;19;112;47;14;10;
01/08/2014;0,45;57;20;107;50;15;10;
31/07/2014;0,24;55;17;101;50;14;10;
30/07/2014;0,25;82;22;148;43;16;10;
29/07/2014;0,2;52;17;96;55;;9;
28/07/2014;0,23;47;26;98;52;;9;
27/07/2014;0,24;44;16;83;81;27;11;
26/07/2014;0,26;51;16;93;81;21;8;
25/07/2014;0,26;28;15;58;81;23;7;
24/07/2014;0,23;15;19;41;70;22;7;
23/07/2014;0,23;24;20;58;61;21;6;
22/07/2014;0,23;30;16;62;40;15;5;
21/07/2014;0,26;16;13;38;44;15;6;
20/07/2014;0,19;14;13;33;49;12;5;
19/07/2014;0,29;12;21;39;40;24;7;
18/07/2014;0,32;15;22;45;50;31;9;
17/07/2014;0,31;15;26;49;60;31;9;
16/07/2014;0,27;19;25;54;46;26;9;
15/07/2014;0,27;26;23;62;37;17;9;
14/07/2014;0,22;20;17;48;36;11;9;
13/07/2014;0,24;19;19;47;39;22;11;
12/07/2014;0,22;14;16;37;43;13;9;
11/07/2014;0,25;8;17;30;37;28;9;
10/07/2014;0,21;3;14;18;53;27;7;
09/07/2014;0,21;3;14;19;55;29;6;
08/07/2014;0,26;6;23;33;35;19;8;
07/07/2014;0,19;9;20;33;42;17;6;
06/07/2014;0,23;3;20;25;39;20;5;
05/07/2014;0,3;6;23;32;41;32;5;
04/07/2014;0,28;2;21;24;72;30;4;
03/07/2014;0,25;10;26;41;43;28;5;
02/07/2014;0,23;6;27;36;35;20;5;
01/07/2014;0,25;8;24;36;39;25;8;
30/06/2014;0,27;10;23;38;43;28;12;
29/06/2014;0,17;4;13;18;49;20;9;
28/06/2014;0,21;4;17;23;53;16;8;
27/06/2014;0,22;12;24;42;53;21;8;
26/06/2014;0,25;4;19;25;61;27;6;
25/06/2014;0,26;5;16;24;86;38;9;
24/06/2014;0,28;7;18;29;85;28;9;
23/06/2014;0,3;9;25;39;62;25;9;
22/06/2014;0,26;7;14;24;85;23;8;
21/06/2014;0,29;8;22;34;73;33;7;
20/06/2014;0,32;16;44;68;63;35;10;
19/06/2014;0,25;12;27;46;69;21;8;
18/06/2014;0,23;10;21;36;66;20;6;
17/06/2014;0,26;10;23;38;69;21;7;
16/06/2014;0,2;8;16;27;80;22;5;
15/06/2014;0,21;7;10;20;82;18;5;
14/06/2014;0,23;8;15;27;91;24;6;
13/06/2014;0,33;13;30;49;60;31;5;
12/06/2014;0,3;15;31;53;56;36;11;
11/06/2014;0,23;14;24;45;48;27;6;
10/06/2014;0,22;9;17;31;56;16;6;
09/06/2014;0,26;14;24;45;59;26;10;
08/06/2014;0,25;9;22;36;61;24;15;
07/06/2014;0,22;9;23;36;64;19;12;
06/06/2014;0,28;23;41;76;49;40;10;
05/06/2014;0,31;15;39;61;40;33;18;
04/06/2014;0,2;7;22;33;58;23;10;
03/06/2014;0,27;17;29;54;52;23;11;
02/06/2014;0,22;10;21;36;68;21;8;
01/06/2014;0,2;7;14;24;78;15;7;
31/05/2014;0,21;7;13;23;73;13;6;
30/05/2014;0,24;8;17;29;61;25;7;
29/05/2014;0,25;12;25;44;46;15;9;
28/05/2014;0,29;8;32;44;47;16;10;
27/05/2014;0,26;13;26;45;59;17;13;
26/05/2014;0,19;10;22;37;58;12;12;
25/05/2014;0,19;7;14;24;70;11;10;
24/05/2014;0,19;8;16;28;65;14;8;
23/05/2014;0,21;8;18;31;72;15;10;
22/05/2014;0,24;8;23;35;64;13;8;
21/05/2014;0,18;;;;77;11;8;
20/05/2014;0,36;;;;68;16;9;
19/05/2014;0,26;3;24;28;85;22;10;
18/05/2014;0,25;4;28;34;75;21;16;
17/05/2014;0,22;5;25;32;68;20;13;
16/05/2014;0,25;8;28;40;64;20;10;
15/05/2014;0,24;10;23;38;65;15;8;
14/05/2014;0,22;8;22;35;54;14;9;
13/05/2014;0,21;5;21;29;61;18;9;
12/05/2014;0,23;10;28;43;41;19;10;
11/05/2014;0,2;2;13;16;67;18;9;
10/05/2014;0,22;6;19;28;39;18;8;
09/05/2014;0,24;10;28;43;41;22;13;
08/05/2014;0,24;13;28;47;49;21;11;
07/05/2014;0,28;5;26;32;59;23;11;
06/05/2014;0,28;7;39;50;48;31;13;
05/05/2014;0,31;6;32;41;65;27;14;
04/05/2014;0,22;4;20;26;60;12;9;
03/05/2014;0,18;3;16;20;74;13;8;
02/05/2014;0,21;3;16;20;73;12;9;
01/05/2014;0,16;3;12;16;66;8;7;
30/04/2014;0,19;4;20;26;54;13;8;
29/04/2014;0,22;12;33;51;33;15;9;
28/04/2014;0,32;6;31;40;47;10;8;
27/04/2014;0,22;3;11;15;83;21;10;
