Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
19/07/2014;3;16;21;42;18;6
18/07/2014;8;20;33;52;31;14
17/07/2014;5;21;29;68;31;
16/07/2014
15/07/2014
14/07/2014
13/07/2014
12/07/2014
11/07/2014
10/07/2014
09/07/2014
08/07/2014
07/07/2014
06/07/2014;5;19;27;37;18;10
05/07/2014;7;21;33;45;28;16
04/07/2014;4;19;27;70;27;11
03/07/2014;9;23;38;41;22;9
02/07/2014;10;28;44;29;20;8
01/07/2014;9;24;39;36;16;7
30/06/2014;10;23;39;49;21;7
29/06/2014;4;14;22;43;15;5
28/06/2014;4;15;22;51;17;6
27/06/2014;11;21;39;51;23;9
26/06/2014;5;20;29;54;18;8
25/06/2014;4;13;20;88;26;10
24/06/2014;4;14;21;83;37;13
23/06/2014;8;25;39;56;54;28
22/06/2014;3;8;15;86;26;11
21/06/2014;4;16;24;74;36;13
20/06/2014;9;37;52;67;40;24
19/06/2014;8;28;41;67;32;14
18/06/2014;12;28;48;54;30;10
17/06/2014;7;23;34;66;29;10
16/06/2014;4;14;22;79;26;7
15/06/2014;3;8;15;81;23;6
14/06/2014;4;10;17;96;29;10
13/06/2014;11;22;40;68;39;15
12/06/2014;9;29;44;57;36;12
11/06/2014;12;22;41;50;25;7
10/06/2014;5;17;26;51;16;4
09/06/2014;8;22;36;59;22;8
08/06/2014;5;18;27;67;20;7
07/06/2014;5;27;36;59;16;6
06/06/2014;9;27;43;65;48;10
05/06/2014;10;38;55;47;31;9
04/06/2014;5;24;33;54;22;5
03/06/2014;16;30;55;49;25;11
02/06/2014;11;24;42;60;22;10
01/06/2014;4;13;20;74;17;8
31/05/2014;3;11;18;74;13;5
30/05/2014;5;17;26;61;11;5
29/05/2014;12;24;44;48;15;6
28/05/2014;5;29;38;51;14;5
27/05/2014;9;25;40;60;20;6
26/05/2014;9;25;40;56;15;5
25/05/2014;4;14;20;69;13;4
24/05/2014;5;17;26;63;17;5
23/05/2014;5;18;27;72;13;4
22/05/2014;5;19;27;64;9;3
21/05/2014;4;11;18;87;14;5
20/05/2014;7;21;33;67;14;5
19/05/2014;5;16;24;90;29;10
18/05/2014;5;23;31;75;25;10
17/05/2014;8;27;41;61;23;10
16/05/2014;13;28;49;64;29;12
15/05/2014;16;29;55;58;21;8
14/05/2014;12;27;46;50;19;6
13/05/2014;10;27;43;51;15;5
12/05/2014;15;34;58;36;24;6
11/05/2014;4;13;21;63;16;3
10/05/2014;6;15;26;42;18;9
09/05/2014;13;28;49;40;24;10
08/05/2014;13;25;46;51;25;10
07/05/2014;7;26;38;55;25;9
06/05/2014;8;31;45;56;39;13
05/05/2014;14;33;56;67;35;11
04/05/2014;7;22;33;57;24;6
03/05/2014;5;17;26;68;19;4
02/05/2014;5;14;22;73;16;3
01/05/2014;5;13;21;66;18;3
30/04/2014;6;17;27;56;17;7
29/04/2014;14;25;47;37;21;
28/04/2014;6;25;35;47;14;
27/04/2014;3;8;14;86;26;15
26/04/2014;3;9;16;81;21;14
25/04/2014;4;18;26;80;21;12
24/04/2014;8;24;38;56;24;14
23/04/2014;5;22;32;57;24;14
22/04/2014;12;35;55;36;27;17
21/04/2014;5;20;28;43;23;12
20/04/2014;4;17;24;58;24;
19/04/2014;5;18;28;71;32;16
18/04/2014;5;23;32;66;35;19
17/04/2014;8;25;39;61;37;24
16/04/2014;15;42;66;49;41;26
15/04/2014;20;48;80;40;40;29
14/04/2014;12;37;57;52;38;19
13/04/2014;5;26;35;59;44;14
12/04/2014;4;23;30;71;39;11
11/04/2014;5;21;30;72;29;7
10/04/2014;23;44;81;37;45;15
09/04/2014;20;37;69;43;33;9
08/04/2014;5;20;29;65;11;3
07/04/2014;15;29;52;46;28;8
06/04/2014;5;22;32;45;13;4
05/04/2014;7;29;40;40;11;5
04/04/2014;13;36;56;57;23;7
03/04/2014;25;31;71;47;18;9
02/04/2014;4;20;28;68;17;6
01/04/2014;4;15;22;78;19;7
31/03/2014;5;25;33;62;10;5
30/03/2014;3;11;17;83;32;10
29/03/2014;3;10;17;94;16;6
28/03/2014;11;25;43;60;19;7
27/03/2014;8;28;42;57;13;6
26/03/2014;4;16;24;76;20;6
25/03/2014;4;20;28;74;19;7
24/03/2014;9;34;49;47;25;9
23/03/2014;6;23;33;65;13;5
22/03/2014;4;19;26;66;13;5
21/03/2014;12;34;54;50;37;15
20/03/2014;19;39;70;45;37;17
19/03/2014;7;37;49;42;19;9
18/03/2014;6;29;39;64;28;11
17/03/2014;23;45;81;39;40;18
16/03/2014;8;33;45;47;42;15
15/03/2014;14;35;57;59;58;27
14/03/2014;20;59;90;38;47;22
13/03/2014;8;53;67;55;46;22
12/03/2014;11;47;65;58;46;23
11/03/2014;20;38;69;62;43;19
10/03/2014;24;54;91;51;34;14
09/03/2014;5;16;24;95;13;6
08/03/2014;11;35;53;56;24;12
07/03/2014;31;43;91;28;34;13
06/03/2014;21;42;76;27;18;7
05/03/2014;5;19;28;63;16;3
04/03/2014;7;29;41;58;16;5
03/03/2014;5;19;28;73;17;4
02/03/2014;5;21;31;47;9;
01/03/2014;5;25;33;51;6;
28/02/2014;8;26;40;59;24;
27/02/2014;11;39;56;44;29;7
26/02/2014;13;43;64;44;16;6
25/02/2014;5;23;32;64;10;3
24/02/2014;8;27;40;61;18;6
23/02/2014;4;15;22;70;9;3
22/02/2014;6;30;40;49;15;7
21/02/2014;9;36;50;52;20;6
20/02/2014;12;37;57;39;22;6
19/02/2014;34;51;105;21;29;12
18/02/2014;45;55;125;22;35;14
17/02/2014;5;20;28;65;9;3
16/02/2014;10;36;52;30;25;9
15/02/2014;6;27;37;51;21;4
14/02/2014;4;13;21;60;11;2
13/02/2014;7;32;44;55;25;6
12/02/2014;6;28;39;52;13;4
11/02/2014;5;23;31;63;14;4
10/02/2014;5;26;35;65;15;4
09/02/2014;4;14;21;67;10;3
08/02/2014;6;27;36;56;17;5
07/02/2014;6;17;27;67;11;2
06/02/2014;4;12;21;68;9;2
05/02/2014;12;34;52;52;25;6
04/02/2014;4;15;23;66;9;3
03/02/2014;5;23;31;58;10;4
02/02/2014;6;26;37;43;14;6
01/02/2014
31/01/2014
30/01/2014;5;27;37;57;10;3
29/01/2014;12;36;56;40;15;6
28/01/2014;5;25;34;57;9;3
27/01/2014;5;26;35;65;17;5
26/01/2014;5;19;28;48;11;3
25/01/2014;4;16;24;57;7;1
24/01/2014;7;26;38;62;21;6
23/01/2014;14;39;62;49;26;10
22/01/2014;15;39;63;43;16;
21/01/2014;14;44;67;35;14;
20/01/2014;10;38;55;51;12;
19/01/2014;8;26;39;44;10;
18/01/2014;5;19;27;54;11;
17/01/2014;5;17;26;64;8;
16/01/2014;6;21;32;61;8;
15/01/2014;17;30;56;42;13;
14/01/2014;8;31;44;47;9;
13/01/2014;12;28;48;49;10;
12/01/2014;4;14;22;54;19;
11/01/2014;21;45;78;12;39;
10/01/2014;41;50;114;13;40;
09/01/2014;31;45;94;35;25;
08/01/2014;6;28;38;44;12;
07/01/2014;5;17;26;54;6;
06/01/2014;4;10;17;69;5;
05/01/2014;4;10;17;66;4;
04/01/2014;4;13;20;73;11;
03/01/2014;22;41;76;28;17;
02/01/2014;18;28;56;44;18;
01/01/2014;4;12;19;63;10;
