Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
03/09/2014;0,33;7;21;32;64;35;15;6;
02/09/2014;0,31;5;19;27;58;31;13;5;
01/09/2014;0,29;6;14;23;55;25;10;4;
31/08/2014;0,26;3;12;17;54;23;7;4;
30/08/2014;0,24;3;14;19;50;22;7;4;
29/08/2014;0,22;4;13;20;43;16;6;4;
28/08/2014;0,23;3;9;14;46;18;5;4;
27/08/2014;0,25;5;13;20;39;19;6;4;
26/08/2014;0,32;5;16;24;37;37;11;5;
25/08/2014;0,45;7;26;36;55;20;13;7;
24/08/2014;0,24;4;13;20;52;12;;5;
23/08/2014;0,33;5;16;23;46;11;6;5;
22/08/2014;0,38;7;27;38;34;17;9;6;
21/08/2014;0,28;5;16;23;48;14;7;5;
20/08/2014;0,19;4;14;20;53;15;5;4;
19/08/2014;0,29;5;15;22;50;19;9;5;
18/08/2014;0,31;4;20;27;47;22;9;5;
17/08/2014;0,22;4;14;19;56;13;7;6;
16/08/2014;0,21;3;11;17;63;18;5;5;
15/08/2014;0,21;3;8;13;72;15;5;5;
14/08/2014;0,22;4;13;19;58;22;5;5;
13/08/2014;0,21;3;7;12;69;24;5;4;
12/08/2014;0,27;5;14;21;55;21;8;4;
11/08/2014;0,21;3;10;15;58;14;4;4;
10/08/2014;0,26;4;8;14;55;17;11;4;
09/08/2014;0,26;4;10;15;48;22;9;4;
08/08/2014;0,32;5;12;20;47;13;9;4;
07/08/2014;0,39;5;16;24;44;18;15;4;
06/08/2014;0,37;6;15;24;53;19;15;4;
05/08/2014;0,38;6;14;23;47;17;9;4;
04/08/2014;0,19;4;14;20;55;;6;4;
03/08/2014;0,29;5;12;20;48;16;9;5;
02/08/2014;0,31;5;16;23;55;24;14;5;
01/08/2014;0,25;4;10;16;58;16;7;4;
31/07/2014;0,31;6;14;24;52;20;11;4;
30/07/2014;0,28;6;16;26;51;19;8;5;
29/07/2014;0,16;4;6;11;70;14;4;4;
28/07/2014;0,18;4;7;13;81;22;10;4;
27/07/2014;0,41;4;14;21;75;38;21;5;
26/07/2014;0,32;4;12;18;89;30;21;4;
25/07/2014;0,39;6;15;25;85;43;24;4;
24/07/2014;0,28;6;15;25;73;31;18;4;
23/07/2014;0,23;5;13;21;67;30;13;4;
22/07/2014;0,28;7;15;25;43;18;8;5;
21/07/2014;0,21;3;9;13;50;17;6;5;
20/07/2014;0,22;2;8;12;56;18;6;5;
19/07/2014;0,22;3;11;15;58;;14;5;
18/07/2014;0,27;3;12;16;62;28;22;5;
17/07/2014;0,27;2;12;16;78;34;30;5;
16/07/2014;0,31;4;14;20;57;34;21;5;
15/07/2014;0,35;6;14;22;47;20;12;5;
14/07/2014;0,18;2;7;10;49;12;8;5;
13/07/2014;0,3;4;13;19;48;22;15;6;
12/07/2014;0,2;2;7;11;52;13;6;5;
11/07/2014;;2;6;10;48;12;4;5;
10/07/2014;;2;6;10;64;23;7;5;
09/07/2014;;2;5;9;65;18;5;5;
08/07/2014;0,28;4;15;21;45;26;10;6;
07/07/2014;0,27;4;12;18;51;19;7;5;
