Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);Ortoxileno (µg/m3)
25/09/2014;1,03;3,16;12;33;52;52;38;15;3,35;
24/09/2014;0,46;0,68;7;18;29;75;44;18;1,15;
23/09/2014;0,54;1,09;4;18;24;64;32;9;1,25;
22/09/2014;0,42;1,21;7;34;45;47;26;4;1,91;
21/09/2014;0,45;1,23;4;24;31;60;21;9;2,57;
20/09/2014;0,36;0,89;4;24;29;66;14;7;1,69;
19/09/2014;0,22;0,49;3;15;20;75;10;5;1,65;
18/09/2014;0,23;1,02;4;20;26;73;11;4;2,24;
17/09/2014;0,23;1,13;3;18;23;69;13;5;2,86;
16/09/2014;0,5;3,05;10;42;57;46;32;8;7,22;
15/09/2014;0,64;3,01;13;40;59;48;24;7;4,26;
14/09/2014;0,7;1,48;5;32;40;65;25;13;3,24;
13/09/2014;0,74;2,78;6;32;41;69;24;11;4;
12/09/2014;0,76;3,03;11;31;48;73;55;8;5,58;
11/09/2014;0,57;2,25;5;26;34;76;39;3;2,98;
10/09/2014;0,59;3,9;16;32;57;64;39;6;6,11;
09/09/2014;0,56;3,99;13;30;50;54;34;5;11,85;
08/09/2014;0,57;3,78;16;31;55;49;31;4;6,71;
07/09/2014;0,63;1,85;5;31;39;64;41;6;3,2;
06/09/2014;0,51;1,59;6;30;39;64;34;7;2,66;
05/09/2014;0,51;2,1;12;30;48;67;34;8;3,1;
04/09/2014;0,66;1,45;10;28;43;72;29;7;2,55;
03/09/2014;0,69;2,34;15;37;60;62;34;9;4,01;
02/09/2014;0,49;2,29;13;32;52;58;29;6;3,76;
01/09/2014;0,37;1,06;9;27;42;55;24;6;1,86;
31/08/2014;0,24;0,42;3;17;21;61;20;5;0,85;
30/08/2014;0,42;1,07;3;20;25;55;17;4;1,56;
29/08/2014;0,44;1,66;8;22;35;47;12;4;2,63;
28/08/2014;0,23;0,45;3;17;21;49;12;3;0,84;
27/08/2014;0,25;0,71;7;22;32;42;14;4;3,04;
26/08/2014;0,5;1,42;14;29;51;36;20;7;2,82;
25/08/2014;0,31;1,44;15;41;64;44;22;12;2,96;
24/08/2014;0,26;0,61;4;24;30;55;15;9;1,84;
23/08/2014;0,22;1,02;5;20;28;54;13;8;2,5;
22/08/2014;0,41;1,71;7;31;42;42;16;9;3,79;
21/08/2014;0,28;1,23;8;26;39;52;17;7;2,55;
