Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2014;;;;19;18;7
30/12/2014;;;;20;23;6
29/12/2014;6;20;29;34;16;7
28/12/2014;5;7;15;73;20;6
27/12/2014;5;7;15;59;24;5
26/12/2014;8;18;30;28;12;5
25/12/2014;7;17;28;27;18;6
24/12/2014;9;18;32;17;13;6
23/12/2014;21;21;52;24;16;6
22/12/2014;19;20;50;19;17;6
21/12/2014;21;17;50;25;16;5
20/12/2014;24;14;50;28;11;5
19/12/2014;20;16;46;28;14;5
18/12/2014;21;20;53;31;17;6
17/12/2014;15;11;33;61;11;5
16/12/2014;14;12;33;57;15;6
15/12/2014;16;19;43;27;14;6
14/12/2014;16;15;39;25;17;5
13/12/2014;16;19;44;43;16;5
12/12/2014;14;8;29;60;6;4
11/12/2014;16;21;45;43;21;2
10/12/2014;13;20;41;35;12;2
09/12/2014;10;20;35;50;14;2
08/12/2014;7;7;19;62;10;2
07/12/2014;7;13;23;44;8;2
06/12/2014;5;12;20;55;10;2
05/12/2014;6;17;25;43;9;2
04/12/2014;8;20;32;21;12;2
03/12/2014;8;23;35;15;13;2
02/12/2014;5;22;28;28;17;2
01/12/2014;3;17;21;46;27;3
30/11/2014;3;11;17;43;20;4
29/11/2014;8;29;41;18;22;4
28/11/2014;4;11;17;67;8;3
27/11/2014;5;13;20;47;12;4
26/11/2014;8;26;39;19;17;5
25/11/2014;15;28;50;15;20;5
24/11/2014;13;31;51;12;20;5
23/11/2014;7;26;36;17;48;4
22/11/2014;3;6;11;55;30;3
21/11/2014;2;7;11;65;26;3
20/11/2014;3;11;16;61;16;4
19/11/2014;13;24;44;36;20;3
18/11/2014;3;10;15;52;9;3
17/11/2014;2;11;14;59;8;3
16/11/2014;1;5;6;66;6;3
15/11/2014;2;6;9;66;5;3
14/11/2014;2;12;15;60;12;3
13/11/2014;2;6;9;68;5;3
12/11/2014;5;20;27;47;11;3
11/11/2014;2;10;13;59;10;3
10/11/2014;3;8;12;54;9;4
09/11/2014;2;11;14;46;10;3
08/11/2014;2;12;15;51;12;3
07/11/2014;4;20;26;43;18;3
06/11/2014;2;10;13;51;7;3
05/11/2014;2;10;12;61;6;3
04/11/2014;3;13;17;49;9;4
03/11/2014;3;10;13;58;10;3
02/11/2014;4;16;19;39;19;4
01/11/2014;3;24;27;46;30;4
31/10/2014;;;;53;33;4
30/10/2014;;;;47;37;4
29/10/2014;;;;43;32;4
28/10/2014;7;15;26;48;31;4
27/10/2014;12;26;44;29;42;6
26/10/2014;8;26;38;28;48;7
25/10/2014;9;28;41;23;44;8
24/10/2014;17;40;65;22;45;8
23/10/2014;11;35;52;24;28;8
22/10/2014;6;19;28;37;28;6
21/10/2014;9;19;33;32;33;7
20/10/2014;12;28;47;21;39;6
19/10/2014;5;22;30;32;30;6
18/10/2014;4;14;20;50;17;5
17/10/2014;6;11;19;52;8;5
16/10/2014;12;13;31;33;12;5
15/10/2014;7;7;18;58;6;4
14/10/2014;10;16;31;46;14;5
13/10/2014;13;25;45;26;19;6
12/10/2014;11;9;26;55;7;5
11/10/2014;12;20;39;22;19;6
10/10/2014;11;18;36;34;28;6
09/10/2014;10;21;36;40;23;8
08/10/2014;8;16;28;39;15;5
07/10/2014;13;25;46;32;22;6
06/10/2014;14;21;42;32;15;5
05/10/2014;9;11;25;39;16;5
04/10/2014;9;13;27;55;26;5
03/10/2014;10;23;38;45;27;5
02/10/2014;9;18;33;41;24;5
01/10/2014;9;14;28;49;23;5
30/09/2014;10;21;37;44;25;5
29/09/2014;13;24;43;39;28;5
28/09/2014;8;15;27;70;30;5
27/09/2014;8;13;26;54;31;5
26/09/2014;10;16;32;40;33;5
25/09/2014;9;22;35;31;45;6
24/09/2014;7;13;23;45;49;7
23/09/2014;7;15;25;34;34;5
22/09/2014;10;23;38;21;25;5
21/09/2014;4;13;20;47;19;5
20/09/2014;3;6;12;49;11;4
19/09/2014;4;9;15;65;10;4
18/09/2014;4;15;21;56;11;4
17/09/2014;4;11;17;53;16;4
