Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2014;24;46;83;20;14;8
30/12/2014;;;;35;28;6
29/12/2014;9;2;15;23;10;7
28/12/2014;3;8;12;20;4;4
27/12/2014;3;8;13;24;8;3
26/12/2014;33;36;87;14;5;4
25/12/2014;5;24;31;20;7;5
24/12/2014;35;49;102;23;13;8
23/12/2014;47;56;128;33;18;6
22/12/2014;44;46;113;26;13;5
21/12/2014;7;21;32;19;7;3
20/12/2014;11;28;46;17;;6
19/12/2014;8;20;32;15;6;6
18/12/2014;12;26;44;17;4;5
17/12/2014;9;19;33;15;3;3
16/12/2014;11;29;46;20;6;3
15/12/2014;31;40;87;22;10;6
14/12/2014;14;35;57;25;14;4
13/12/2014;7;29;39;17;10;4
12/12/2014;10;26;42;13;7;4
11/12/2014;14;33;54;30;10;4
10/12/2014;9;13;26;19;8;4
09/12/2014;7;12;24;19;5;3
08/12/2014;2;3;7;14;3;3
07/12/2014;2;5;9;12;3;3
06/12/2014;3;5;10;18;3;4
05/12/2014;6;12;21;13;3;5
04/12/2014;21;23;55;17;7;4
03/12/2014;29;33;77;20;8;5
02/12/2014;;;;22;9;3
01/12/2014;14;26;47;33;9;3
30/11/2014;4;13;19;25;7;3
29/11/2014;6;19;28;16;6;3
28/11/2014;4;20;27;19;9;4
27/11/2014;11;28;44;25;15;4
26/11/2014;20;37;68;24;11;4
25/11/2014;28;31;74;19;8;4
24/11/2014;19;32;62;21;6;3
23/11/2014;5;18;25;41;16;3
22/11/2014;4;12;18;31;15;3
21/11/2014;9;18;31;27;15;3
20/11/2014;11;29;46;24;13;5
19/11/2014;25;40;79;27;14;5
18/11/2014;11;25;42;14;7;4
17/11/2014;6;18;27;11;3;6
16/11/2014;3;8;13;7;3;3
15/11/2014;3;8;13;8;3;3
14/11/2014;10;25;39;13;5;3
13/11/2014;6;16;25;12;3;3
12/11/2014;17;33;60;15;6;4
11/11/2014;6;19;27;11;5;3
10/11/2014;18;22;49;16;10;4
09/11/2014;3;10;15;9;3;6
08/11/2014;6;20;28;17;9;4
07/11/2014;13;27;47;20;7;4
06/11/2014;22;28;62;14;8;4
05/11/2014;4;13;19;9;3;6
04/11/2014;7;19;29;11;3;8
03/11/2014;7;24;36;16;7;5
02/11/2014;6;23;31;22;11;5
01/11/2014;6;17;26;29;15;6
31/10/2014;8;23;35;35;19;6
30/10/2014;37;53;110;57;31;8
29/10/2014;22;50;83;48;28;7
28/10/2014;15;36;58;34;18;5
27/10/2014;40;54;116;47;23;7
26/10/2014;10;39;55;46;23;6
25/10/2014;20;36;67;44;22;6
24/10/2014;59;68;159;56;27;11
23/10/2014;51;56;136;44;23;12
22/10/2014;15;38;60;35;11;5
21/10/2014;48;38;111;49;23;5
20/10/2014;38;53;111;48;23;5
19/10/2014;8;30;42;35;19;8
18/10/2014;4;20;27;20;10;5
17/10/2014;8;23;35;10;5;4
16/10/2014;24;26;63;16;7;4
15/10/2014;6;18;27;10;;4
14/10/2014;21;43;75;23;12;6
13/10/2014;31;43;90;25;11;6
12/10/2014;4;12;18;9;4;4
11/10/2014;14;31;52;23;16;6
10/10/2014;34;40;92;38;21;6
09/10/2014;16;35;60;23;10;6
08/10/2014;12;27;45;17;5;4
07/10/2014;25;43;81;26;11;6
06/10/2014;27;42;83;22;11;5
05/10/2014;5;21;28;20;7;4
04/10/2014;8;29;41;35;21;4
03/10/2014;26;48;88;47;24;5
02/10/2014;26;38;77;40;16;4
01/10/2014;26;39;78;44;24;5
30/09/2014;14;33;55;28;15;4
29/09/2014;19;37;66;34;19;4
28/09/2014;4;18;25;31;21;5
27/09/2014;8;36;48;38;27;6
26/09/2014;28;39;82;53;28;6
25/09/2014;38;41;99;45;34;8
24/09/2014;18;35;63;44;36;9
23/09/2014;16;31;55;36;24;6
22/09/2014;22;37;70;28;13;4
21/09/2014;6;21;31;25;16;5
20/09/2014;5;22;30;16;8;6
19/09/2014;9;29;43;15;6;4
18/09/2014;9;34;49;14;6;4
17/09/2014;9;31;45;21;10;5
16/09/2014;15;40;63;35;21;6
15/09/2014;19;47;77;29;14;6
14/09/2014;6;28;38;24;22;6
13/09/2014;7;25;36;25;24;6
12/09/2014;18;33;61;50;33;5
11/09/2014;17;41;68;47;28;4
10/09/2014;28;48;90;55;29;5
09/09/2014;21;39;72;44;27;4
08/09/2014;22;35;69;37;17;4
07/09/2014;6;29;38;40;26;4
06/09/2014;7;26;37;29;18;5
05/09/2014;20;38;69;43;23;5
04/09/2014;23;39;76;43;24;5
03/09/2014;25;40;79;37;19;6
02/09/2014;22;37;71;42;21;5
01/09/2014;14;26;49;27;11;4
31/08/2014;4;15;22;22;8;4
30/08/2014;5;14;22;17;7;4
29/08/2014;14;26;47;19;7;4
28/08/2014;15;29;52;25;7;4
27/08/2014;18;28;55;22;7;4
26/08/2014;31;35;83;31;11;5
25/08/2014;24;44;82;27;13;7
24/08/2014;5;20;28;12;7;5
23/08/2014;6;16;25;11;4;5
22/08/2014;16;34;59;17;8;5
21/08/2014;17;26;52;18;8;4
20/08/2014;9;23;36;15;6;4
19/08/2014;19;22;50;21;9;5
18/08/2014;12;25;43;19;9;5
17/08/2014;5;15;23;13;6;5
16/08/2014;4;12;18;12;6;4
15/08/2014;4;8;14;11;4;5
14/08/2014;9;22;36;27;6;7
13/08/2014;7;14;24;17;4;4
12/08/2014;13;28;47;21;8;7
11/08/2014;9;23;37;13;4;5
10/08/2014;6;16;25;17;9;5
09/08/2014;7;18;28;16;9;5
08/08/2014;16;26;50;22;9;5
07/08/2014;19;31;60;24;13;6
06/08/2014;19;29;58;25;13;6
05/08/2014;19;29;59;17;8;4
04/08/2014;9;24;38;14;6;4
03/08/2014;5;12;20;12;7;5
02/08/2014;6;17;25;15;9;5
01/08/2014;8;24;37;13;8;5
31/07/2014;10;21;36;17;8;4
30/07/2014;17;26;53;17;7;5
29/07/2014;15;30;53;22;7;4
28/07/2014;11;32;48;22;10;4
27/07/2014;4;14;21;26;18;8
26/07/2014;4;11;17;24;17;5
25/07/2014;4;15;22;21;14;4
