Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
24/07/2014;18;30;57;27;17;5
23/07/2014;12;27;46;26;14;5
22/07/2014;16;23;48;29;18;5
21/07/2014;9;16;31;14;6;5
20/07/2014;4;10;16;14;5;5
19/07/2014;6;17;26;19;10;5
18/07/2014;8;26;38;35;21;4
17/07/2014;11;33;49;40;22;5
16/07/2014;11;29;47;27;17;5
15/07/2014;24;33;69;32;15;5
14/07/2014;15;24;47;13;6;4
13/07/2014;9;20;33;19;13;7
12/07/2014;5;9;18;10;4;4
11/07/2014;18;23;50;13;6;4
10/07/2014;16;22;46;25;9;4
09/07/2014;17;26;53;24;;4
08/07/2014;15;26;49;23;11;6
07/07/2014;16;25;50;21;10;6
06/07/2014;7;16;28;19;8;6
05/07/2014;11;22;39;30;18;8
04/07/2014;10;27;42;28;15;5
03/07/2014;13;30;49;23;10;6
02/07/2014;16;35;61;20;10;5
01/07/2014;16;28;53;19;9;5
30/06/2014;21;31;62;24;12;7
29/06/2014;6;9;18;23;5;6
28/06/2014;7;15;26;19;9;5
27/06/2014;23;28;64;31;17;6
26/06/2014;11;23;40;20;11;5
25/06/2014;10;24;39;28;13;4
24/06/2014;11;31;47;33;19;4
23/06/2014;11;29;46;38;19;5
22/06/2014;6;11;20;27;16;6
21/06/2014;7;20;31;31;17;5
20/06/2014;20;48;78;57;35;9
19/06/2014;15;33;57;40;24;7
18/06/2014;16;33;57;36;;9
17/06/2014;11;28;46;31;13;5
16/06/2014;9;21;36;28;;4
15/06/2014;6;10;18;21;8;4
14/06/2014;6;14;24;33;15;5
13/06/2014;17;36;61;49;25;5
12/06/2014;19;38;68;41;17;7
11/06/2014;17;26;51;28;12;6
10/06/2014;11;26;43;21;5;5
09/06/2014;11;24;41;25;11;6
08/06/2014;8;24;37;38;24;11
07/06/2014;7;19;30;21;11;9
06/06/2014;27;45;87;57;28;9
05/06/2014;19;49;78;35;19;8
04/06/2014;11;27;44;23;9;5
03/06/2014;23;34;69;32;20;6
02/06/2014;12;24;42;22;12;5
01/06/2014;6;9;18;17;9;4
31/05/2014;6;9;18;12;5;4
30/05/2014;12;22;40;13;5;4
29/05/2014;20;29;60;17;8;7
28/05/2014;12;28;46;14;6;4
27/05/2014;18;32;59;26;15;7
26/05/2014;9;19;34;14;5;7
25/05/2014;5;9;18;11;3;4
24/05/2014;7;13;23;19;6;6
23/05/2014;9;19;32;13;5;6
22/05/2014;11;29;46;15;5;4
21/05/2014;9;23;37;21;11;5
20/05/2014;9;24;38;19;8;5
19/05/2014;12;35;54;32;14;5
18/05/2014;7;21;32;23;13;7
17/05/2014;9;23;36;29;15;6
16/05/2014;11;26;44;24;12;5
15/05/2014;15;21;44;27;12;6
14/05/2014;18;27;56;31;17;6
13/05/2014;11;21;38;15;5;4
12/05/2014;24;30;67;27;14;6
11/05/2014;5;8;16;18;5;4
10/05/2014;10;18;33;22;14;4
09/05/2014;20;31;61;31;17;7
08/05/2014;18;26;53;29;19;9
07/05/2014;10;24;39;26;11;6
06/05/2014;15;41;64;37;20;7
05/05/2014;19;46;76;32;16;7
04/05/2014;6;18;27;24;14;5
03/05/2014;6;13;21;13;5;4
02/05/2014;9;20;34;12;3;3
01/05/2014;5;9;17;10;4;4
30/04/2014;11;19;36;11;5;5
29/04/2014;20;30;60;17;8;5
28/04/2014;14;30;51;10;4;5
27/04/2014;5;7;15;20;6;5
26/04/2014;6;9;18;17;4;4
25/04/2014;9;23;37;14;5;4
24/04/2014;15;29;52;24;10;5
23/04/2014;11;31;48;23;11;6
22/04/2014;10;35;52;20;8;6
21/04/2014;9;19;33;18;11;5
20/04/2014;6;19;27;18;9;5
19/04/2014;8;20;32;26;12;8
18/04/2014;7;22;33;29;18;9
17/04/2014;9;29;42;43;31;10
16/04/2014;24;43;80;42;25;10
15/04/2014;29;49;94;45;24;7
14/04/2014;21;40;72;43;21;6
13/04/2014;7;19;29;46;24;6
12/04/2014;6;17;25;34;13;4
11/04/2014;11;31;48;28;11;4
10/04/2014;25;44;83;45;27;7
09/04/2014;17;34;60;38;18;6
08/04/2014;11;29;45;15;4;4
07/04/2014;18;37;65;29;14;7
06/04/2014;8;26;38;20;13;6
05/04/2014;9;27;40;14;8;6
04/04/2014;9;29;44;20;7;6
03/04/2014;16;28;53;15;8;6
02/04/2014;9;29;43;24;12;5
01/04/2014;8;24;37;23;12;5
31/03/2014;9;31;44;18;10;5
30/03/2014;5;12;20;38;16;4
29/03/2014;5;12;20;21;9;4
28/03/2014;12;31;50;30;20;6
27/03/2014;10;28;43;13;7;7
26/03/2014;11;24;41;25;8;4
25/03/2014;8;16;28;20;7;5
24/03/2014;13;30;51;23;11;5
23/03/2014;3;9;14;11;4;6
22/03/2014;3;9;14;12;3;6
21/03/2014;15;33;56;38;20;8
20/03/2014;34;54;106;41;23;8
19/03/2014;10;36;52;20;11;5
18/03/2014;8;28;41;26;13;4
17/03/2014;22;45;79;45;31;8
16/03/2014;4;19;26;43;23;6
15/03/2014;8;33;46;68;50;8
14/03/2014;18;46;74;44;30;8
13/03/2014;9;50;63;51;34;9
12/03/2014;14;46;68;56;37;8
11/03/2014;15;39;62;39;23;8
10/03/2014;20;55;86;35;18;8
09/03/2014;3;13;17;;9;6
08/03/2014;8;28;40;;18;7
07/03/2014;33;46;96;;25;9
06/03/2014;26;38;78;25;13;6
05/03/2014;8;21;32;;5;4
04/03/2014;11;23;40;17;8;4
03/03/2014;6;14;23;19;6;5
02/03/2014;6;21;31;11;6;5
01/03/2014;4;17;24;7;3;4
28/02/2014;6;18;27;28;12;5
27/02/2014;9;32;46;30;16;6
26/02/2014;7;25;37;13;4;6
25/02/2014;6;18;28;12;4;6
24/02/2014;8;29;42;21;9;5
23/02/2014;3;11;16;19;13;6
22/02/2014;5;22;29;15;7;5
21/02/2014;11;35;53;19;6;6
20/02/2014;18;33;61;30;;6
19/02/2014;17;39;66;21;10;7
18/02/2014;31;37;86;28;16;8
17/02/2014;5;19;26;11;6;5
16/02/2014;6;25;33;24;13;9
15/02/2014;4;19;25;19;6;5
14/02/2014;7;16;28;11;4;4
13/02/2014;7;27;38;21;8;5
12/02/2014;6;19;28;14;9;5
11/02/2014;6;16;25;13;4;5
10/02/2014;5;13;21;12;2;5
09/02/2014;3;7;11;7;;5
08/02/2014;3;12;17;18;7;10
07/02/2014;7;19;30;10;3;5
06/02/2014;7;15;26;7;3;4
05/02/2014;15;35;57;23;9;8
04/02/2014;6;16;25;5;2;4
03/02/2014;8;24;36;;6;5
02/02/2014;5;21;29;17;8;9
01/02/2014;3;8;13;11;3;5
31/01/2014;12;27;47;19;8;6
30/01/2014;5;15;22;7;2;7
29/01/2014;5;15;23;10;3;11
28/01/2014
27/01/2014
26/01/2014;5;16;25;14;;5
25/01/2014;3;7;12;6;1;4
24/01/2014;6;14;23;16;;4
23/01/2014;7;17;28;19;;4
22/01/2014
21/01/2014
20/01/2014;5;16;24;8;2;8
19/01/2014;4;19;25;12;7;10
18/01/2014;4;15;21;11;6;6
17/01/2014;6;20;28;9;4;5
16/01/2014;9;25;39;7;3;5
15/01/2014;18;32;59;22;15;6
14/01/2014;15;34;57;9;3;6
13/01/2014;6;19;28;;5;8
12/01/2014;3;11;16;;12;6
11/01/2014;25;42;79;;30;10
10/01/2014;54;49;130;45;27;12
09/01/2014;14;38;58;17;7;6
08/01/2014;9;27;41;17;11;6
07/01/2014;8;21;32;6;2;5
06/01/2014;3;8;13;9;3;5
05/01/2014;3;7;11;5;3;5
04/01/2014;3;9;13;11;4;5
03/01/2014;20;41;71;19;9;6
02/01/2014;16;27;51;21;9;6
01/01/2014;3;10;15;17;13;5
