Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2014;29;46;90;17;5
30/12/2014;29;38;83;16;4
29/12/2014;22;31;65;17;4
28/12/2014;2;6;9;7;3
27/12/2014;5;24;32;17;3
26/12/2014;13;45;66;10;5
25/12/2014;8;32;44;14;6
24/12/2014;31;37;84;15;7
23/12/2014;28;34;77;12;7
22/12/2014;35;36;90;14;6
21/12/2014;7;24;35;8;6
20/12/2014;25;42;80;19;7
19/12/2014;26;43;83;18;7
18/12/2014;27;44;85;18;6
17/12/2014;6;34;43;11;6
16/12/2014;6;32;41;14;6
15/12/2014;29;41;87;18;7
14/12/2014;14;31;52;14;6
13/12/2014;11;31;49;38;7
12/12/2014;6;28;37;13;7
11/12/2014;31;42;91;20;7
10/12/2014;41;51;113;24;7
09/12/2014;7;28;39;11;7
08/12/2014;6;26;35;12;7
07/12/2014;8;41;53;15;7
06/12/2014;2;16;20;8;7
05/12/2014;29;48;93;15;7
04/12/2014;26;38;79;12;7
03/12/2014;20;30;60;11;6
02/12/2014;6;25;35;13;6
01/12/2014;4;16;22;14;6
30/11/2014;3;14;18;13;6
29/11/2014;7;38;49;16;6
28/11/2014
27/11/2014;17;22;48;16;6
26/11/2014;18;39;66;18;6
25/11/2014;17;34;60;18;7
24/11/2014;6;33;43;14;7
23/11/2014;11;25;43;45;8
22/11/2014;6;26;35;25;8
21/11/2014;5;27;35;26;10
20/11/2014;17;47;74;25;13
19/11/2014;26;39;79;21;9
18/11/2014;19;35;65;18;10
17/11/2014;14;35;57;15;6
16/11/2014;3;15;19;6;6
15/11/2014;3;11;15;4;6
14/11/2014;9;25;38;10;6
13/11/2014;4;18;24;10;6
12/11/2014;20;36;66;13;7
11/11/2014;6;25;35;12;7
10/11/2014;18;23;50;16;9
09/11/2014;5;26;34;13;7
08/11/2014;8;23;36;14;8
07/11/2014;14;32;53;19;7
06/11/2014;15;40;64;15;7
05/11/2014
04/11/2014;10;44;60;12;5
03/11/2014;5;22;30;13;5
02/11/2014;4;23;29;19;5
01/11/2014;4;23;30;28;6
31/10/2014;7;32;44;31;9
30/10/2014;14;41;63;34;7
29/10/2014;10;36;51;33;7
28/10/2014;8;32;45;34;7
27/10/2014;37;40;97;38;8
26/10/2014;34;48;100;40;7
25/10/2014;30;44;90;41;7
24/10/2014;51;60;139;41;11
23/10/2014;39;57;117;30;10
22/10/2014;;;;29;6
21/10/2014;;;;32;6
20/10/2014;33;46;97;40;6
19/10/2014;11;43;61;41;13
18/10/2014;10;38;53;21;8
17/10/2014;13;41;61;15;7
16/10/2014;48;38;111;15;5
15/10/2014;45;41;110;14;6
14/10/2014;48;53;126;19;7
13/10/2014;52;52;132;22;6
12/10/2014;27;37;78;11;5
11/10/2014;24;31;68;20;5
10/10/2014;35;39;92;31;7
09/10/2014;15;41;64;17;5
08/10/2014;11;27;44;15;5
07/10/2014;20;41;71;20;5
06/10/2014;28;40;83;19;6
05/10/2014;7;21;32;13;5
04/10/2014;13;27;47;24;6
03/10/2014;24;43;79;28;5
02/10/2014;20;36;67;24;5
01/10/2014;17;26;51;22;5
30/09/2014;17;40;66;27;5
29/09/2014;22;34;67;31;5
28/09/2014;7;37;48;38;8
27/09/2014;11;27;45;30;7
26/09/2014;24;33;70;33;6
25/09/2014;21;42;75;42;7
24/09/2014;18;38;65;43;7
23/09/2014;12;33;52;28;5
22/09/2014;20;48;78;23;4
21/09/2014;7;18;29;15;5
20/09/2014;5;27;35;15;6
19/09/2014;10;37;52;16;9
18/09/2014;13;40;60;14;5
17/09/2014;8;29;42;17;5
16/09/2014;18;32;59;25;5
15/09/2014;14;38;60;22;6
14/09/2014;7;31;43;29;6
13/09/2014;8;33;46;32;7
12/09/2014;10;38;55;32;5
11/09/2014;10;35;51;33;4
10/09/2014;12;30;48;27;4
09/09/2014;14;33;55;26;4
08/09/2014;16;28;52;23;4
07/09/2014;7;26;37;28;4
06/09/2014;10;27;42;31;5
05/09/2014;13;34;54;31;5
04/09/2014;14;34;55;26;5
03/09/2014;13;36;56;24;7
02/09/2014;14;24;46;19;6
01/09/2014;9;21;35;16;6
31/08/2014;5;15;22;14;5
30/08/2014;6;18;27;12;6
29/08/2014;8;23;36;11;6
28/08/2014;15;25;48;19;6
27/08/2014;6;19;29;9;6
26/08/2014;14;27;49;30;6
25/08/2014;10;31;47;17;7
24/08/2014;5;19;27;11;6
23/08/2014;6;17;25;9;6
22/08/2014;15;35;59;16;6
21/08/2014;9;21;34;12;5
20/08/2014;6;28;37;14;5
19/08/2014;8;21;33;14;6
18/08/2014;6;23;32;20;6
17/08/2014;4;16;23;12;6
16/08/2014;4;16;22;10;5
15/08/2014;3;15;20;11;6
14/08/2014;9;23;37;15;6
13/08/2014;4;16;21;14;6
12/08/2014;5;21;29;16;5
11/08/2014;3;17;22;10;5
10/08/2014;5;14;21;13;5
09/08/2014;5;15;23;16;5
08/08/2014;8;19;32;17;5
07/08/2014;7;21;31;17;5
06/08/2014;10;24;39;20;6
05/08/2014;10;21;36;17;5
04/08/2014;4;21;27;13;5
03/08/2014;4;17;24;14;5
02/08/2014;4;20;26;18;5
01/08/2014;4;22;28;14;5
31/07/2014;6;16;25;17;5
30/07/2014;13;27;46;20;5
29/07/2014;7;26;37;17;5
28/07/2014;8;33;46;;5
27/07/2014;3;19;23;26;6
26/07/2014;3;16;21;24;5
25/07/2014;2;14;17;22;5
24/07/2014;8;27;40;27;5
23/07/2014;7;23;34;24;5
22/07/2014;14;19;40;19;5
21/07/2014;5;18;26;14;4
20/07/2014;3;14;18;16;3
19/07/2014;4;21;26;21;3
18/07/2014;5;22;30;35;2
17/07/2014;6;23;31;37;3
16/07/2014;11;28;46;37;3
15/07/2014;10;21;36;24;3
14/07/2014;5;21;29;17;3
13/07/2014;5;16;24;21;4
12/07/2014;6;21;29;19;4
11/07/2014;11;25;42;16;5
10/07/2014;14;23;44;21;9
09/07/2014
08/07/2014
07/07/2014;8;23;35;17;5
06/07/2014;4;20;26;19;5
05/07/2014;5;22;30;24;4
04/07/2014;5;28;36;24;4
03/07/2014;11;28;44;25;4
02/07/2014;12;36;55;24;4
01/07/2014;13;32;52;24;5
30/06/2014;7;18;29;19;6
29/06/2014;4;16;22;17;8
28/06/2014;3;18;22;16;8
27/06/2014;10;21;35;22;8
26/06/2014;3;22;27;22;7
25/06/2014;2;18;21;22;7
24/06/2014;3;22;26;30;7
23/06/2014;8;30;43;34;7
22/06/2014;2;11;15;21;6
21/06/2014;4;23;29;30;6
20/06/2014;8;35;47;40;7
19/06/2014;6;25;35;28;7
18/06/2014;9;28;42;30;
17/06/2014;12;38;57;30;4
16/06/2014;6;22;31;22;3
15/06/2014;5;12;19;18;3
14/06/2014;7;19;30;29;4
13/06/2014;15;32;54;36;4
12/06/2014;9;33;47;34;4
11/06/2014;11;28;45;27;4
10/06/2014;5;19;28;17;4
09/06/2014;9;23;37;26;5
08/06/2014;11;21;37;21;7
07/06/2014;10;25;40;20;8
06/06/2014;32;46;95;78;10
05/06/2014;12;43;61;29;9
04/06/2014;5;29;37;22;6
03/06/2014;14;32;53;32;7
02/06/2014;10;29;43;24;5
01/06/2014;3;20;24;17;5
31/05/2014;3;19;23;13;4
30/05/2014;5;23;31;12;4
29/05/2014;11;27;43;19;5
28/05/2014;6;32;41;16;4
27/05/2014;9;27;40;21;6
26/05/2014;8;28;40;17;7
25/05/2014;3;20;25;13;4
24/05/2014;4;18;24;17;5
23/05/2014;4;23;29;12;5
22/05/2014;4;25;31;13;4
21/05/2014;4;19;25;15;5
20/05/2014;6;23;32;16;5
19/05/2014;5;32;40;30;6
18/05/2014;5;33;41;29;9
17/05/2014;11;37;55;34;17
16/05/2014;17;36;63;45;10
15/05/2014;15;31;54;25;7
14/05/2014;15;28;52;25;8
13/05/2014;8;31;44;25;6
12/05/2014;15;35;58;30;8
11/05/2014;2;15;20;14;5
10/05/2014;7;22;34;24;8
09/05/2014;12;35;54;31;8
08/05/2014;12;30;48;27;6
07/05/2014;9;35;49;27;6
06/05/2014;10;36;51;30;7
05/05/2014;10;34;50;30;8
04/05/2014;4;25;31;20;6
03/05/2014;3;20;24;11;5
02/05/2014;3;18;23;7;5
01/05/2014;2;16;20;9;5
30/04/2014;5;23;31;11;5
29/04/2014;14;31;53;16;5
28/04/2014;10;39;55;16;5
27/04/2014;4;16;21;18;6
26/04/2014;4;21;27;17;5
25/04/2014;4;20;27;12;5
24/04/2014;9;29;43;19;5
23/04/2014;15;34;57;22;6
22/04/2014;10;41;56;20;5
21/04/2014;6;23;32;18;5
20/04/2014;5;23;31;16;5
19/04/2014;6;26;36;32;16
18/04/2014;8;34;46;34;15
17/04/2014;9;38;52;31;11
16/04/2014;13;51;72;34;11
15/04/2014;19;57;87;40;11
14/04/2014;14;40;61;38;8
13/04/2014;7;26;37;33;8
12/04/2014;4;25;32;27;6
11/04/2014;6;30;40;30;5
10/04/2014;24;48;85;37;8
09/04/2014;15;42;65;35;8
08/04/2014;5;24;31;14;5
07/04/2014;7;29;39;18;7
06/04/2014;7;26;36;19;8
05/04/2014;6;30;40;14;7
04/04/2014;15;35;57;20;10
03/04/2014;25;39;77;19;9
02/04/2014;5;23;31;19;5
01/04/2014;5;20;27;20;5
31/03/2014;5;27;35;14;6
30/03/2014;4;15;20;31;5
29/03/2014;3;12;17;15;5
28/03/2014;16;28;52;25;8
27/03/2014;11;44;62;19;6
26/03/2014;5;26;33;19;5
25/03/2014;5;25;33;18;6
24/03/2014;15;40;63;24;7
23/03/2014;4;21;28;11;5
22/03/2014;4;21;28;10;6
21/03/2014;11;39;55;36;7
20/03/2014;23;46;81;35;8
19/03/2014;8;35;48;24;5
18/03/2014;9;39;53;29;6
17/03/2014;20;50;81;43;10
16/03/2014;6;38;48;44;9
15/03/2014;12;39;58;59;11
14/03/2014;22;62;96;51;13
13/03/2014;17;56;83;37;12
12/03/2014;17;50;76;43;10
11/03/2014;19;47;77;52;20
10/03/2014;23;70;105;41;21
09/03/2014;5;26;33;17;10
08/03/2014;8;38;49;29;10
07/03/2014;33;46;97;33;9
06/03/2014;18;46;73;21;7
05/03/2014;5;25;32;18;6
04/03/2014;8;37;49;20;6
03/03/2014;5;18;25;13;6
02/03/2014;6;30;39;11;5
01/03/2014;9;45;58;14;6
28/02/2014;9;32;46;30;8
27/02/2014;17;53;78;33;7
26/02/2014;11;50;67;20;8
25/02/2014;9;41;54;17;8
24/02/2014;13;43;63;25;8
23/02/2014;5;22;29;13;7
22/02/2014;7;38;49;20;9
21/02/2014;10;43;58;21;7
20/02/2014;24;45;82;19;7
19/02/2014;44;63;131;33;8
18/02/2014;46;64;135;45;13
17/02/2014;7;33;44;15;9
16/02/2014;14;42;63;27;9
15/02/2014;5;31;39;16;6
14/02/2014;5;21;29;14;6
13/02/2014;7;38;48;24;6
12/02/2014;10;35;51;18;7
11/02/2014;7;44;55;26;8
10/02/2014;5;31;39;9;6
09/02/2014;4;23;30;15;7
08/02/2014;5;28;36;15;6
07/02/2014;9;23;36;11;6
06/02/2014;5;17;24;10;6
05/02/2014;11;39;56;19;6
04/02/2014
03/02/2014;7;35;45;14;8
02/02/2014;10;43;59;23;11
01/02/2014;5;33;40;11;6
31/01/2014;29;60;106;25;7
30/01/2014;9;49;63;12;6
29/01/2014;27;49;90;22;8
28/01/2014;9;42;56;13;6
27/01/2014;5;29;37;13;5
26/01/2014;7;32;42;14;5
25/01/2014;4;21;28;7;5
24/01/2014;7;36;47;21;6
23/01/2014;20;53;84;24;7
22/01/2014;15;53;77;18;7
21/01/2014;17;50;77;20;9
20/01/2014;12;59;78;14;6
19/01/2014;11;39;56;19;7
18/01/2014;5;27;34;10;5
17/01/2014;6;24;33;11;7
16/01/2014;5;22;30;8;6
15/01/2014;22;40;75;15;6
14/01/2014;15;54;77;14;6
13/01/2014;12;31;50;17;6
12/01/2014;5;20;27;22;7
11/01/2014;44;57;126;52;12
10/01/2014;63;59;156;41;9
09/01/2014;18;50;78;19;8
08/01/2014;13;37;57;14;6
07/01/2014;5;30;38;7;5
06/01/2014;4;18;23;7;5
05/01/2014;4;20;26;7;6
04/01/2014;3;17;23;10;5
03/01/2014;23;50;85;19;5
02/01/2014;20;39;69;17;5
01/01/2014;3;17;22;11;5
