station,Town,Province,Latitude,Longitude,NO2,PM2.5,PM10,SO2
ALGORTA_BBIZI2,Getxo,Bizkaia,43.362055748944286,-3.0227822073211765,12.507413751760533,9.240742230882725,20.310430349180386,4.630051695431464
BARAKALDO,Barakaldo,Bizkaia,43.298378997955,-2.987132999827669,20.575778185902518,12.419753862505516,19.686314360930943,5.605899700317267
BASAURI,Basauri,Bizkaia,43.24113129588412,-2.883761022803524,22.636208305373497,11.415269688376606,19.832205011950926,3.415920669404402
ERANDIO,Erandio,Bizkaia,43.3026526345891,-2.977239986375249,23.18348941781525,9.102514905155683,17.705747735483907,4.3120682081725095
MAZARREDO,Bilbao,Bizkaia,43.26750551179745,-2.935188110338201,25.773093302582677,9.722994826570142,16.869806234084553,6.183821185240244
MUSKIZ,Muskiz,Bizkaia,43.32071311956527,-3.11271627237832,8.670130151524793,6.500988763759614,11.505746929471567,4.684391637817757
SANTURCE,Santurtzi,Bizkaia,43.33301199742545,-3.042560000349237,18.734625830484447,9.386218401428485,13.97107444005475,4.754940041824732
