Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
05/08/2019;4;17;24;27;13;6;3
04/08/2019;1;10;13;52;14;8;3
03/08/2019;4;16;23;59;18;9;3
02/08/2019;4;14;21;49;15;6;1
01/08/2019;6;20;30;47;15;8;1
31/07/2019;6;14;23;39;13;5;3
30/07/2019;7;17;29;38;17;6;3
29/07/2019;6;16;25;38;22;7;3
28/07/2019;4;16;23;33;9;4;3
27/07/2019;2;15;20;38;6;3;3
26/07/2019;3;15;20;37;7;4;3
25/07/2019;2;12;15;59;21;12;3
24/07/2019;6;29;40;56;31;15;3
23/07/2019;4;22;31;67;27;11;3
22/07/2019;13;21;42;42;21;8;3
21/07/2019;2;9;13;31;13;6;3
20/07/2019;2;10;13;39;12;6;3
19/07/2019;9;17;33;48;17;7;3
18/07/2019;7;19;31;40;20;9;3
17/07/2019;5;18;27;53;15;8;3
16/07/2019;6;19;29;57;18;8;3
15/07/2019;6;23;34;52;17;9;2
14/07/2019;2;13;17;52;15;7;1
13/07/2019;4;17;25;39;12;6;2
12/07/2019;7;25;38;62;18;9;2
11/07/2019;5;27;37;58;22;10;3
10/07/2019;7;25;39;53;22;10;3
09/07/2019;5;20;28;56;18;10;3
08/07/2019;4;24;32;57;16;9;3
07/07/2019;1;8;10;80;21;9;3
06/07/2019;2;12;16;82;23;10;3
05/07/2019;5;22;31;67;30;15;3
04/07/2019;15;28;53;46;30;14;3
03/07/2019;6;21;32;36;21;8;3
02/07/2019;5;17;26;38;14;5;3
01/07/2019
30/06/2019
29/06/2019
28/06/2019
27/06/2019;4;29;37;71;38;14;3
26/06/2019;3;22;28;69;25;13;3
25/06/2019;9;21;37;44;25;11;3
24/06/2019;4;18;25;43;28;15;3
23/06/2019;3;21;28;55;21;12;3
22/06/2019;6;20;31;34;12;8;3
21/06/2019;3;17;23;45;8;3;3
20/06/2019;3;19;25;57;13;5;3
19/06/2019;6;19;28;48;24;10;3
18/06/2019;3;17;21;71;25;13;3
17/06/2019;5;20;27;49;20;9;3
16/06/2019;3;17;22;43;13;7;3
15/06/2019;3;16;20;49;8;5;3
14/06/2019;5;21;28;48;12;4;3
13/06/2019;8;22;34;43;16;6;3
12/06/2019;6;27;35;42;13;6;6
11/06/2019;3;19;23;50;7;5;8
10/06/2019;2;13;16;67;8;4;8
09/06/2019;1;8;10;63;13;6;8
08/06/2019;2;13;17;53;15;6;8
07/06/2019;2;12;15;70;16;7;8
06/06/2019;6;16;26;56;12;7;8
05/06/2019;3;18;22;52;7;4;5
04/06/2019;7;19;29;42;15;9;7
03/06/2019;8;18;29;41;16;9;8
02/06/2019;2;17;20;58;15;10;8
01/06/2019;7;31;41;53;16;10;7
31/05/2019;15;30;53;33;18;10;8
30/05/2019;13;24;43;29;15;8;8
29/05/2019;7;19;30;47;13;6;7
28/05/2019;10;18;33;49;14;6;7
27/05/2019;5;17;23;43;;4;7
26/05/2019;1;10;12;47;;3;7
25/05/2019;1;7;9;65;;6;7
24/05/2019;4;11;17;66;;5;6
23/05/2019;7;21;31;49;19;12;8
22/05/2019;11;31;48;43;18;12;7
21/05/2019;10;24;39;49;15;9;7
20/05/2019;8;29;41;48;16;9;7
19/05/2019;1;15;17;74;7;6;6
18/05/2019;5;33;40;42;7;4;6
17/05/2019;3;21;26;77;12;7;6
16/05/2019;6;26;34;69;25;13;7
15/05/2019;10;38;53;49;23;13;8
14/05/2019;11;36;52;46;24;13;8
13/05/2019;14;29;50;50;19;11;7
12/05/2019;2;17;20;55;10;4;7
11/05/2019;1;10;11;66;9;5;6
10/05/2019;12;24;41;37;14;7;7
09/05/2019;14;31;52;40;20;9;7
08/05/2019;5;27;34;47;11;7;7
07/05/2019;11;47;63;34;26;13;8
06/05/2019;15;34;57;35;19;10;7
05/05/2019;2;14;16;52;8;5;6
04/05/2019;3;14;18;55;7;5;5
03/05/2019;3;19;23;57;11;5;5
02/05/2019;3;15;19;76;18;7;5
01/05/2019;2;15;18;63;13;6;7
30/04/2019;14;30;52;39;24;10;7
29/04/2019;14;26;46;40;20;9;7
28/04/2019;2;17;20;51;14;5;6
27/04/2019;3;22;26;41;13;6;7
26/04/2019;4;25;31;51;16;8;6
25/04/2019;2;16;19;66;5;5;6
24/04/2019;3;19;22;58;6;5;6
23/04/2019;2;18;20;72;23;12;6
22/04/2019;3;19;23;58;21;12;7
21/04/2019;2;25;28;52;16;12;8
20/04/2019;5;24;32;57;16;11;7
19/04/2019;4;28;34;42;13;8;7
18/04/2019;1;19;21;75;12;8;7
17/04/2019;1;12;14;92;11;6;6
16/04/2019;12;32;49;41;13;7;6
15/04/2019;10;23;39;38;11;7;7
14/04/2019;7;36;45;34;20;14;9
13/04/2019;6;34;41;45;21;13;7
12/04/2019;5;33;40;54;22;14;6
11/04/2019;6;27;36;62;15;10;5
10/04/2019;9;27;40;47;11;8;6
09/04/2019;9;28;42;48;12;6;6
08/04/2019;9;42;56;39;12;7;6
07/04/2019;4;28;34;42;11;7;6
06/04/2019;4;22;27;56;7;4;5
05/04/2019;4;30;36;55;8;6;5
04/04/2019;8;35;46;52;9;6;6
03/04/2019;3;20;24;69;4;4;5
02/04/2019;11;22;39;59;18;12;6
01/04/2019;10;40;54;37;19;10;6
31/03/2019;2;32;35;63;17;11;7
