Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2019;12;26;45;29;19
30/12/2019;30;26;71;22;
29/12/2019;26;24;63;24;
28/12/2019;28;25;69;29;
27/12/2019;32;36;85;27;14
26/12/2019;14;24;44;24;7
25/12/2019;2;15;18;11;7
24/12/2019;9;18;31;13;7
23/12/2019;0;15;16;10;3
22/12/2019;0;6;6;14;6
21/12/2019;1;17;18;11;5
20/12/2019;9;34;48;12;6
19/12/2019;0;8;8;9;5
18/12/2019;0;11;12;11;4
17/12/2019;7;35;45;13;6
16/12/2019;1;11;12;12;5
15/12/2019;0;3;3;6;3
14/12/2019;0;8;8;9;4
13/12/2019;0;9;9;15;4
12/12/2019;0;9;9;8;
11/12/2019;1;20;21;15;
10/12/2019;21;40;72;25;10
09/12/2019;0;14;15;29;10
08/12/2019;2;13;16;17;8
07/12/2019;22;21;55;25;16
06/12/2019;15;23;47;24;15
05/12/2019;28;27;69;26;12
04/12/2019;20;24;54;24;13
03/12/2019;18;23;50;16;8
02/12/2019;5;17;24;14;7
01/12/2019;1;19;20;12;5
30/11/2019;2;22;25;13;8
29/11/2019;34;35;88;21;11
28/11/2019;34;41;92;20;11
27/11/2019;2;21;23;16;6
26/11/2019;0;8;9;11;5
25/11/2019;15;26;49;16;
24/11/2019;1;10;11;7;
23/11/2019;0;6;6;12;4
22/11/2019;0;9;9;9;3
21/11/2019;16;24;49;14;6
20/11/2019;4;17;23;13;8
19/11/2019;20;31;61;19;12
18/11/2019;11;28;45;;6
17/11/2019;1;14;15;;3
16/11/2019;0;14;14;;4
15/11/2019;1;20;22;10;3
14/11/2019;2;19;22;12;2
13/11/2019;11;30;47;17;6
12/11/2019;10;29;44;16;3
11/11/2019;2;20;22;19;5
10/11/2019;0;12;13;12;2
09/11/2019;0;10;10;14;4
08/11/2019;0;12;12;13;2
07/11/2019;1;13;14;14;
06/11/2019;10;24;40;17;
05/11/2019;0;11;11;13;2
04/11/2019;1;18;19;14;3
03/11/2019;0;9;9;15;3
02/11/2019;2;15;17;17;5
01/11/2019;7;25;35;17;4
31/10/2019;7;22;32;19;5
30/10/2019;11;22;38;21;7
29/10/2019;30;30;76;32;10
28/10/2019;13;41;60;27;8
27/10/2019;1;22;24;16;6
26/10/2019;2;18;21;13;4
25/10/2019;8;25;37;21;5
24/10/2019;9;21;34;13;5
23/10/2019;7;16;27;14;4
22/10/2019;39;26;86;26;10
21/10/2019;10;25;41;12;1
20/10/2019;0;14;15;7;
19/10/2019;1;13;14;11;
18/10/2019;3;28;33;17;4
17/10/2019;2;15;18;12;2
16/10/2019;0;6;6;10;2
15/10/2019;0;7;7;8;1
14/10/2019;0;11;12;15;3
13/10/2019;1;11;13;21;7
12/10/2019;0;12;12;25;9
11/10/2019;11;27;44;30;9
10/10/2019;15;27;50;25;8
09/10/2019;6;21;30;19;5
08/10/2019;15;23;46;22;7
07/10/2019;13;27;47;20;5
06/10/2019;3;17;21;18;4
05/10/2019;3;14;18;19;5
04/10/2019;11;24;40;19;5
03/10/2019;10;27;42;20;
02/10/2019;1;19;21;15;
01/10/2019;12;17;36;24;8
30/09/2019;10;23;38;24;8
29/09/2019;3;16;20;19;7
28/09/2019;1;15;17;18;7
27/09/2019;6;15;24;23;7
26/09/2019;10;16;31;25;7
25/09/2019;9;15;29;18;5
24/09/2019;1;12;14;18;4
23/09/2019;11;24;40;19;6
22/09/2019;1;11;12;13;5
21/09/2019;0;5;5;12;6
20/09/2019;10;18;33;29;12
19/09/2019;9;22;36;33;12
18/09/2019;5;18;26;29;11
17/09/2019;12;18;36;32;15
16/09/2019;6;22;31;25;7
15/09/2019;2;20;22;22;12
14/09/2019;3;22;27;24;12
13/09/2019;11;20;37;26;10
12/09/2019;12;19;36;22;8
11/09/2019;1;13;14;19;4
10/09/2019;1;12;13;15;4
09/09/2019;10;19;35;19;6
08/09/2019;0;14;14;11;3
07/09/2019;3;18;22;14;4
06/09/2019;12;22;41;17;5
05/09/2019;6;18;26;13;5
04/09/2019;9;21;34;22;8
03/09/2019;10;21;36;18;6
02/09/2019;6;17;27;17;4
01/09/2019;1;10;11;13;6
31/08/2019;3;14;18;18;8
30/08/2019;2;13;16;19;6
29/08/2019;1;10;12;18;7
28/08/2019;3;11;15;22;9
27/08/2019;6;17;27;22;10
26/08/2019;2;13;16;23;12
25/08/2019;0;5;5;22;11
24/08/2019;2;15;18;30;18
23/08/2019;2;28;30;24;16
22/08/2019;5;19;27;21;12
