Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
31/12/2019;7;20;30;16
30/12/2019;7;17;28;9
29/12/2019;6;14;22;9
28/12/2019;7;16;27;10
27/12/2019;7;16;27;14
26/12/2019;3;16;21;20
25/12/2019;2;4;8;3
24/12/2019;5;9;16;8
23/12/2019;;;;9
22/12/2019;;;;8
21/12/2019;;;;6
20/12/2019;;;;7
19/12/2019;1;4;6;3
18/12/2019;1;5;7;4
17/12/2019;2;16;18;9
16/12/2019;2;7;9;6
15/12/2019;1;3;5;3
14/12/2019;1;5;7;5
13/12/2019;1;5;7;6
12/12/2019;;;;3
11/12/2019;;;;7
10/12/2019;3;11;16;14
09/12/2019;1;9;11;20
08/12/2019;1;7;9;10
07/12/2019;6;16;25;14
06/12/2019;7;22;32;16
05/12/2019;5;22;30;15
04/12/2019;6;17;26;11
03/12/2019;4;16;22;11
02/12/2019;2;15;18;10
01/12/2019;1;8;10;8
30/11/2019;2;12;15;6
29/11/2019;7;19;29;11
28/11/2019;13;25;45;11
27/11/2019;2;10;12;8
26/11/2019;1;5;6;3
25/11/2019;7;21;32;12
24/11/2019;1;4;6;5
23/11/2019;1;3;4;8
22/11/2019;1;5;6;3
21/11/2019;3;14;18;7
20/11/2019;1;7;9;6
19/11/2019;4;11;16;7
18/11/2019;3;16;20;9
17/11/2019;1;7;9;5
16/11/2019;1;6;8;4
15/11/2019;1;7;9;10
14/11/2019;2;9;11;5
13/11/2019;2;13;16;7
12/11/2019;2;9;12;5
11/11/2019;1;8;10;13
10/11/2019;1;6;8;6
09/11/2019;1;5;7;6
08/11/2019;1;4;6;5
07/11/2019;1;5;7;
06/11/2019;2;8;11;7
05/11/2019;1;5;7;5
04/11/2019;2;10;12;6
03/11/2019;1;4;6;8
02/11/2019;3;12;16;10
01/11/2019;3;10;13;9
31/10/2019;5;16;23;10
30/10/2019;2;8;10;9
29/10/2019;5;21;29;21
28/10/2019;6;26;34;19
27/10/2019;1;9;11;9
26/10/2019;1;7;9;6
25/10/2019;2;9;12;7
24/10/2019;2;10;13;7
23/10/2019;3;12;17;7
22/10/2019;8;15;27;13
21/10/2019;2;11;14;8
20/10/2019;1;5;7;3
19/10/2019;1;8;11;6
18/10/2019;2;17;21;13
17/10/2019;1;7;9;4
16/10/2019;1;4;6;4
15/10/2019;1;5;7;5
14/10/2019;2;12;15;10
13/10/2019;1;7;9;18
12/10/2019;1;10;12;17
11/10/2019;3;23;27;19
10/10/2019;3;14;18;15
09/10/2019;2;9;11;11
08/10/2019;3;13;18;9
07/10/2019;3;16;20;14
06/10/2019;1;7;9;11
05/10/2019;2;8;11;14
04/10/2019;3;13;17;9
03/10/2019;3;14;18;10
02/10/2019;1;8;11;8
01/10/2019;4;11;17;14
30/09/2019;4;15;21;12
29/09/2019;1;10;13;12
28/09/2019;2;10;13;13
27/09/2019;2;9;12;15
26/09/2019;3;11;15;17
25/09/2019;3;11;14;12
24/09/2019;1;7;9;10
23/09/2019;2;9;11;9
22/09/2019;1;6;9;9
21/09/2019;1;3;5;8
20/09/2019;2;9;12;18
19/09/2019;3;15;19;23
18/09/2019;3;15;19;23
17/09/2019;4;23;29;23
16/09/2019;2;15;19;16
15/09/2019;1;10;12;13
14/09/2019;2;15;18;16
13/09/2019;3;19;24;17
12/09/2019;3;14;19;12
11/09/2019;2;11;13;15
10/09/2019;1;8;10;9
09/09/2019;2;11;15;10
08/09/2019;1;8;10;9
07/09/2019;1;9;11;10
06/09/2019;2;11;15;11
05/09/2019;2;8;11;10
04/09/2019;2;10;12;12
03/09/2019;2;10;13;12
02/09/2019;2;9;12;13
01/09/2019;2;6;9;8
31/08/2019;2;9;12;14
30/08/2019;2;12;15;14
29/08/2019;2;10;14;14
28/08/2019;2;11;14;16
27/08/2019;2;9;12;14
26/08/2019;2;11;14;16
25/08/2019;1;5;7;18
24/08/2019;1;9;11;18
23/08/2019;2;14;16;15
22/08/2019;2;10;13;13
21/08/2019;2;10;13;14
20/08/2019;2;10;13;11
19/08/2019;1;9;11;10
18/08/2019;2;7;9;7
17/08/2019;2;9;11;8
16/08/2019;3;13;17;11
15/08/2019;1;6;8;9
14/08/2019;2;10;13;11
13/08/2019;2;8;10;10
12/08/2019;2;8;10;9
11/08/2019;1;6;8;10
10/08/2019;1;6;8;15
09/08/2019;2;8;11;10
08/08/2019;1;8;10;8
07/08/2019;2;9;13;11
06/08/2019;3;11;16;11
05/08/2019;2;9;12;10
04/08/2019;1;9;11;13
03/08/2019;2;10;14;12
02/08/2019;2;9;13;13
01/08/2019;2;11;14;13
31/07/2019;2;7;9;10
30/07/2019;2;8;10;12
29/07/2019;3;9;14;11
28/07/2019;2;5;8;6
27/07/2019
26/07/2019;2;9;12;7
25/07/2019;2;10;13;23
24/07/2019;5;25;32;30
23/07/2019;2;15;18;22
22/07/2019;3;16;21;18
21/07/2019;1;5;8;8
20/07/2019;1;7;9;12
19/07/2019;3;12;17;13
18/07/2019;2;10;13;13
17/07/2019;2;10;12;13
16/07/2019;2;8;11;12
15/07/2019;2;9;11;14
14/07/2019;2;8;10;12
13/07/2019;1;6;8;9
12/07/2019;3;12;15;13
11/07/2019;2;14;17;20
10/07/2019;2;13;16;19
09/07/2019;1;7;10;17
08/07/2019;1;11;13;15
07/07/2019;1;5;7;18
06/07/2019;1;8;10;22
05/07/2019;3;14;18;26
04/07/2019;2;14;18;22
03/07/2019;3;14;18;20
02/07/2019;2;10;12;19
01/07/2019;2;7;9;15
30/06/2019;2;6;8;14
29/06/2019;2;11;14;22
28/06/2019;3;14;18;17
27/06/2019;5;16;23;34
26/06/2019;2;12;15;28
25/06/2019;2;8;12;14
24/06/2019;3;19;23;23
23/06/2019;2;16;19;16
22/06/2019;2;12;15;9
21/06/2019;2;9;12;9
20/06/2019;1;10;12;10
19/06/2019;4;13;19;17
18/06/2019;2;11;14;22
17/06/2019;3;14;18;20
16/06/2019;1;7;10;10
15/06/2019;1;7;9;7
14/06/2019;2;10;13;7
13/06/2019;2;9;12;13
12/06/2019;2;9;12;11
11/06/2019;1;4;6;7
10/06/2019;2;10;13;9
09/06/2019;1;6;8;9
08/06/2019;1;5;7;14
07/06/2019;1;5;7;12
06/06/2019;2;5;8;10
05/06/2019;1;5;7;7
04/06/2019;3;10;15;15
03/06/2019;3;14;20;15
02/06/2019;2;12;14;16
01/06/2019;1;14;16;16
31/05/2019;3;14;19;13
30/05/2019;3;12;17;11
29/05/2019;2;10;13;11
28/05/2019;2;6;9;11
27/05/2019;2;10;13;11
26/05/2019;1;6;8;7
25/05/2019;1;6;8;9
24/05/2019;2;9;11;9
23/05/2019;3;13;18;18
22/05/2019;2;16;19;14
21/05/2019;2;10;13;13
