Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
31/12/2019;4;19;25;25;23;17;2;3
30/12/2019;10;27;42;13;14;11;2;7
29/12/2019;5;21;28;17;16;10;2;6
28/12/2019;6;21;30;15;16;11;2;4
27/12/2019;6;21;31;19;22;13;2;2
26/12/2019;1;10;12;59;65;21;2;2
25/12/2019;1;6;7;49;43;3;1;2
24/12/2019;1;5;7;45;52;6;1;2
23/12/2019;1;2;3;65;68;7;1;2
22/12/2019;1;2;4;77;75;12;1;2
21/12/2019;1;3;5;64;62;6;1;1
20/12/2019;1;4;6;64;67;4;1;1
19/12/2019;1;4;6;69;69;3;1;1
18/12/2019;1;3;6;66;63;4;1;1
17/12/2019;1;6;9;59;59;6;1;2
16/12/2019;1;6;8;58;59;9;1;2
15/12/2019;1;3;5;69;71;3;1;1
14/12/2019;1;1;3;67;66;4;1;1
13/12/2019;4;4;11;72;73;10;1;2
12/12/2019;1;3;5;62;61;2;1;1
11/12/2019;1;5;6;68;65;8;1;1
10/12/2019;3;7;11;47;47;13;1;2
09/12/2019;1;5;7;66;68;31;1;2
08/12/2019;1;3;5;51;45;11;1;2
07/12/2019;2;10;12;24;22;12;1;3
06/12/2019;2;13;17;28;32;15;1;5
05/12/2019;2;11;14;40;41;14;1;5
04/12/2019;7;18;29;32;25;13;1;4
03/12/2019;3;15;20;37;44;10;1;6
02/12/2019;2;11;13;52;53;8;1;7
01/12/2019;1;4;6;55;55;8;1;2
30/11/2019;1;4;6;57;54;6;1;1
29/11/2019;2;9;11;45;45;7;1;2
28/11/2019;5;18;25;27;29;10;1;3
27/11/2019;1;6;8;48;50;8;1;2
26/11/2019;1;4;5;58;55;7;1;1
25/11/2019;2;10;13;46;51;12;1;2
24/11/2019;1;2;3;64;64;6;1;1
23/11/2019;1;3;4;75;76;11;1;1
22/11/2019;1;4;5;64;60;4;1;1
21/11/2019;1;6;8;58;59;6;1;2
20/11/2019;1;5;6;55;54;5;1;1
19/11/2019;2;6;9;42;40;4;1;1
18/11/2019;2;10;13;50;54;10;1;3
17/11/2019;1;3;5;64;65;6;1;1
16/11/2019;1;3;4;63;63;5;1;1
15/11/2019;1;4;5;64;65;6;1;2
14/11/2019;1;5;6;70;69;4;1;1
13/11/2019;1;8;11;55;52;7;1;1
12/11/2019;1;4;6;58;61;4;1;1
11/11/2019;1;5;7;63;62;12;1;6
10/11/2019;1;4;5;65;68;6;1;2
09/11/2019;1;3;4;67;67;6;1;1
08/11/2019;1;4;5;74;74;7;1;1
07/11/2019;1;4;6;71;67;5;1;1
06/11/2019;1;5;7;51;54;6;1;1
05/11/2019;1;3;5;61;60;8;1;1
04/11/2019;1;5;7;63;62;6;1;1
03/11/2019;1;2;4;67;65;10;1;1
02/11/2019;1;7;9;41;38;8;1;2
01/11/2019;2;9;12;28;26;6;0;2
31/10/2019;3;14;19;43;50;10;1;3
30/10/2019;1;9;12;46;42;7;1;2
29/10/2019;4;17;23;35;36;16;1;6
28/10/2019;3;15;20;55;60;14;1;5
27/10/2019;1;5;7;66;68;7;1;1
26/10/2019;1;3;4;72;70;4;1;1
25/10/2019;1;6;8;53;47;5;1;1
24/10/2019;1;6;9;57;65;6;1;1
23/10/2019;2;8;11;47;45;4;2;4
22/10/2019;4;15;22;38;31;8;3;7
21/10/2019;2;7;9;49;54;5;2;4
20/10/2019;1;3;4;64;63;2;2;3
19/10/2019;1;5;7;62;62;5;3;3
18/10/2019;3;14;19;51;50;11;3;5
17/10/2019;2;6;9;59;63;9;3;4
16/10/2019;1;2;4;68;68;6;3;3
15/10/2019;1;3;5;63;63;3;2;3
14/10/2019;1;9;11;67;62;10;3;5
13/10/2019;1;5;7;63;67;20;3;4
12/10/2019;1;6;9;53;49;19;3;4
11/10/2019;1;11;14;58;57;20;3;6
10/10/2019;2;12;16;46;51;15;3;6
09/10/2019;1;6;8;55;55;11;2;4
08/10/2019;5;17;25;41;;14;3;5
07/10/2019;5;18;25;37;37;14;3;12
06/10/2019;1;5;7;45;49;10;3;3
05/10/2019;1;5;8;55;53;11;3;4
04/10/2019;2;9;12;44;43;8;3;3
03/10/2019;2;11;14;44;45;7;2;5
02/10/2019;1;5;8;60;64;7;2;3
01/10/2019;2;7;10;49;43;13;2;5
30/09/2019;5;14;22;36;38;11;2;7
29/09/2019;1;9;12;57;54;14;2;6
28/09/2019;2;7;10;53;58;11;2;6
27/09/2019;2;8;11;60;55;15;2;6
26/09/2019;2;10;14;47;48;17;2;5
25/09/2019;1;7;9;56;58;14;2;4
24/09/2019;1;6;8;62;59;12;2;3
23/09/2019;1;7;9;44;44;8;2;4
22/09/2019;1;5;7;56;60;9;2;6
21/09/2019;1;3;5;75;78;9;2;3
20/09/2019;2;9;12;69;62;20;3;4
19/09/2019;2;9;11;53;59;20;3;4
18/09/2019;2;9;12;52;50;18;3;4
17/09/2019;2;13;17;53;51;21;3;5
16/09/2019;3;13;19;48;50;16;3;4
15/09/2019;2;14;17;56;57;16;3;6
14/09/2019;3;17;22;56;55;21;3;9
13/09/2019;2;11;15;47;48;15;2;7
12/09/2019;3;10;15;47;48;13;2;7
11/09/2019;2;9;12;71;78;16;2;7
10/09/2019;1;7;9;66;64;14;2;5
09/09/2019;2;8;11;52;49;9;2;8
08/09/2019;1;5;7;54;54;6;2;4
07/09/2019;1;5;7;59;60;7;2;4
06/09/2019;2;9;12;60;57;10;2;9
05/09/2019;2;8;10;54;59;9;2;8
04/09/2019;1;8;11;67;61;11;2;3
03/09/2019;3;11;15;55;52;11;2;9
02/09/2019;1;7;9;49;50;9;2;6
01/09/2019;1;5;7;47;47;6;2;3
31/08/2019;1;7;9;49;50;11;2;3
30/08/2019;2;8;11;49;53;10;2;4
29/08/2019;2;10;14;56;54;13;2;6
28/08/2019;2;8;11;51;52;14;2;2
27/08/2019;2;8;10;50;51;12;2;2
26/08/2019;1;7;9;59;63;13;2;2
25/08/2019;1;6;8;72;76;16;2;3
24/08/2019;1;7;10;87;84;21;2;4
23/08/2019;2;17;20;73;73;16;2;6
22/08/2019;2;10;13;65;65;13;2;7
21/08/2019;2;9;12;57;56;12;2;6
20/08/2019;2;7;10;49;48;10;2;5
19/08/2019;1;7;9;45;46;7;2;3
18/08/2019;1;5;8;42;40;7;2;2
17/08/2019;3;12;16;45;47;10;2;8
16/08/2019;3;10;14;45;43;11;2;5
15/08/2019;1;4;7;51;53;7;1;2
14/08/2019;2;10;14;56;54;12;2;4
13/08/2019;2;7;9;53;53;8;2;4
12/08/2019;1;5;7;59;57;8;1;4
11/08/2019;1;5;7;54;55;7;1;4
10/08/2019;1;4;6;58;55;15;2;5
09/08/2019;1;7;9;50;52;13;2;6
08/08/2019;1;8;11;46;45;8;2;7
07/08/2019;3;13;17;50;53;14;2;7
06/08/2019;2;9;12;45;42;12;1;6
05/08/2019;3;8;12;36;37;9;1;5
04/08/2019;1;6;8;56;65;11;1;4
03/08/2019;2;8;11;63;55;12;2;5
02/08/2019;2;10;14;47;50;10;1;7
01/08/2019;1;8;11;54;54;13;1;4
31/07/2019;2;9;11;50;49;12;2;8
30/07/2019;1;7;9;58;60;13;1;5
29/07/2019;1;8;10;49;44;11;1;5
28/07/2019;1;6;8;45;47;7;1;5
27/07/2019;1;4;6;47;46;5;1;3
26/07/2019;1;7;9;49;49;4;1;4
25/07/2019;2;8;10;56;54;17;2;3
24/07/2019;4;17;23;40;42;25;2;3
23/07/2019;1;9;12;72;69;23;2;4
22/07/2019;2;9;13;45;41;16;2;4
21/07/2019;2;7;10;34;35;7;2;4
20/07/2019;1;4;6;46;48;11;1;5
19/07/2019;4;11;17;54;52;17;2;
18/07/2019;1;6;8;58;64;10;1;
17/07/2019;1;6;8;77;76;14;2;5
16/07/2019;2;10;13;68;65;12;2;7
15/07/2019;2;11;13;69;69;14;2;7
14/07/2019;1;6;9;55;52;12;2;5
13/07/2019;2;9;11;48;55;9;2;9
12/07/2019;2;14;17;79;76;13;2;7
11/07/2019;2;16;19;72;72;16;2;9
10/07/2019;2;12;15;73;75;16;1;7
09/07/2019;1;6;8;74;73;19;1;3
08/07/2019;1;8;10;77;80;11;1;3
07/07/2019;1;5;7;81;81;13;1;4
06/07/2019;1;6;8;82;84;15;2;4
05/07/2019;2;12;15;73;70;20;2;3
04/07/2019;6;19;27;52;48;27;2;3
03/07/2019;2;9;13;43;47;18;2;6
02/07/2019;1;6;8;59;57;17;2;4
01/07/2019;1;6;8;50;50;12;1;4
30/06/2019;1;4;6;51;52;12;2;4
29/06/2019;1;7;9;57;60;15;2;8
28/06/2019;2;11;15;62;60;13;2;7
27/06/2019;4;18;24;59;58;27;2;6
26/06/2019;4;18;25;67;66;29;2;4
25/06/2019;3;11;15;59;54;11;1;6
24/06/2019;2;11;14;55;55;12;1;5
23/06/2019;2;13;16;57;56;14;2;6
22/06/2019;3;12;17;48;49;12;1;7
21/06/2019;1;7;9;57;59;6;1;6
20/06/2019;1;8;11;71;74;6;1;7
19/06/2019;3;12;16;56;52;15;1;5
18/06/2019;3;10;16;56;58;20;1;4
17/06/2019;3;10;14;51;52;17;1;5
16/06/2019;1;7;10;58;60;10;1;6
15/06/2019;1;5;7;64;63;7;1;5
14/06/2019;2;9;12;53;55;7;1;4
13/06/2019;2;10;13;54;55;10;1;6
12/06/2019;1;5;7;74;77;9;1;4
11/06/2019;1;4;6;74;71;5;1;3
10/06/2019;1;6;8;65;65;5;1;4
09/06/2019;1;6;8;70;71;9;1;4
08/06/2019;2;8;10;66;64;12;1;7
07/06/2019;1;5;7;79;83;12;1;4
06/06/2019;1;5;8;72;66;9;1;3
05/06/2019;1;6;8;61;63;5;1;3
04/06/2019;3;10;13;55;48;11;1;5
03/06/2019;2;12;16;50;54;12;1;9
02/06/2019;2;12;15;68;70;13;1;7
01/06/2019;1;13;16;81;75;18;1;5
31/05/2019;9;21;35;43;41;19;1;9
30/05/2019;9;17;30;35;36;14;1;6
29/05/2019;1;8;10;54;60;9;1;4
28/05/2019;1;6;9;61;60;12;1;4
27/05/2019;1;6;8;56;56;8;1;4
26/05/2019;1;4;5;56;57;5;1;3
25/05/2019;1;5;6;71;73;9;1;5
24/05/2019;1;7;9;69;68;7;1;4
23/05/2019;2;10;12;59;56;14;1;5
22/05/2019;6;16;24;55;58;14;1;6
21/05/2019;2;8;12;59;61;10;1;6
20/05/2019;1;7;9;76;79;10;1;3
19/05/2019;1;4;5;87;91;8;1;3
18/05/2019;1;3;4;87;84;5;1;2
17/05/2019;1;6;7;97;101;8;1;3
16/05/2019;2;12;15;83;78;17;1;5
15/05/2019;4;17;23;73;71;15;1;8
14/05/2019;3;15;20;65;66;14;1;6
13/05/2019;2;11;14;70;69;11;1;7
12/05/2019;1;8;10;67;67;8;1;12
11/05/2019;1;5;6;77;76;10;1;4
10/05/2019;4;14;21;40;38;11;1;8
09/05/2019;2;11;14;61;61;14;1;10
08/05/2019;1;10;12;72;;9;0;6
07/05/2019;4;19;25;66;67;21;2;14
06/05/2019;5;15;23;64;63;14;2;7
05/05/2019;1;7;9;71;74;7;1;18
04/05/2019;1;6;8;76;73;7;2;8
03/05/2019;1;8;10;81;86;5;2;5
02/05/2019;1;7;9;89;89;10;2;4
01/05/2019;1;7;8;76;69;8;2;4
30/04/2019;4;13;19;57;57;13;2;9
29/04/2019;3;11;16;57;58;15;2;10
28/04/2019;1;7;9;69;70;16;2;11
27/04/2019;1;5;7;74;75;15;2;3
26/04/2019;1;5;7;82;83;12;2;2
25/04/2019;0;3;3;87;87;4;2;2
24/04/2019
23/04/2019
22/04/2019;1;7;8;79;75;24;2;5
21/04/2019;1;8;9;81;82;14;2;5
20/04/2019;1;9;11;76;70;13;2;6
19/04/2019;1;10;12;66;69;12;2;7
18/04/2019;1;8;9;76;83;11;2;4
17/04/2019;1;8;10;93;85;13;2;2
16/04/2019;3;14;19;60;66;12;2;4
15/04/2019;1;10;12;54;47;8;2;3
14/04/2019;3;18;22;59;65;19;2;17
13/04/2019;3;19;24;70;71;17;2;13
12/04/2019;1;10;12;77;79;16;2;6
11/04/2019;1;9;11;79;80;13;2;2
10/04/2019;3;10;14;72;72;8;2;7
09/04/2019;1;7;8;77;74;7;;2
08/04/2019;2;9;12;80;86;10;;3
07/04/2019;1;6;7;88;86;7;;3
06/04/2019;1;5;6;77;73;4;;3
05/04/2019;1;7;9;78;83;6;;2
04/04/2019;1;5;7;85;85;6;;2
03/04/2019;1;4;6;91;91;3;;1
02/04/2019;2;9;12;80;76;14;;2
01/04/2019;3;17;21;76;74;13;2;7
31/03/2019;1;13;15;85;84;19;2;8
30/03/2019;1;9;10;97;95;17;2;5
29/03/2019;2;14;17;74;74;18;2;5
28/03/2019;2;11;14;73;78;15;2;5
27/03/2019;2;11;15;69;69;12;2;6
26/03/2019;2;13;16;76;78;11;2;17
25/03/2019;2;12;14;79;77;12;2;14
24/03/2019;1;10;13;71;70;14;2;5
23/03/2019;3;22;27;63;63;16;2;17
22/03/2019;2;14;17;69;72;10;2;5
21/03/2019;2;11;13;68;68;9;2;5
20/03/2019;2;11;14;67;67;7;2;6
19/03/2019;1;9;10;79;81;6;2;4
18/03/2019;1;6;8;75;76;7;2;1
17/03/2019;1;5;6;81;79;11;2;2
16/03/2019;5;16;23;54;55;20;2;6
15/03/2019;2;8;10;80;82;11;2;3
14/03/2019;1;6;8;80;79;11;2;1
13/03/2019;1;6;7;83;85;10;2;1
12/03/2019;8;13;25;73;;10;2;3
11/03/2019;2;11;13;64;68;11;2;4
10/03/2019;1;6;8;49;41;8;2;2
09/03/2019;2;11;14;42;45;8;2;3
08/03/2019;1;10;13;68;74;9;2;3
07/03/2019;1;3;5;79;81;;1;2
06/03/2019;1;3;4;77;75;;1;3
05/03/2019;1;4;6;77;75;7;2;3
04/03/2019;1;8;10;82;85;16;2;4
03/03/2019;0;6;6;77;72;;1;4
02/03/2019;2;13;17;54;54;10;2;8
01/03/2019;2;13;16;54;54;8;2;10
28/02/2019;3;18;22;54;60;15;2;5
27/02/2019;1;10;12;82;84;16;2;5
26/02/2019;1;13;15;71;63;20;2;6
25/02/2019;8;33;45;41;41;31;3;15
24/02/2019;2;21;25;53;54;36;2;8
23/02/2019;2;20;23;57;54;37;2;7
22/02/2019;1;14;16;66;71;24;1;4
