Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2019;19;38;67;18;19;7
30/12/2019;32;43;93;16;;7
29/12/2019;7;32;43;10;;5
28/12/2019;14;38;60;11;10;5
27/12/2019;20;41;72;15;12;5
26/12/2019;4;26;33;19;9;4
25/12/2019;2;12;16;4;3;4
24/12/2019;6;22;32;5;4;4
23/12/2019;4;14;20;7;4;6
22/12/2019;1;4;6;9;3;4
21/12/2019;1;10;13;6;3;5
20/12/2019;6;25;34;5;3;5
19/12/2019;3;10;15;4;3;3
18/12/2019;2;12;15;8;7;4
17/12/2019;8;30;42;7;6;5
16/12/2019;4;23;29;9;8;5
15/12/2019;1;6;8;3;3;3
14/12/2019;1;5;8;4;2;4
13/12/2019;2;7;11;13;4;3
12/12/2019;3;13;17;3;3;4
11/12/2019;4;15;21;8;6;5
10/12/2019;28;41;84;20;16;7
09/12/2019;3;11;16;22;9;3
08/12/2019;4;12;18;12;7;5
07/12/2019;18;34;61;21;22;11
06/12/2019;13;35;54;23;22;6
05/12/2019;22;36;69;16;10;4
04/12/2019;30;37;82;17;14;6
03/12/2019;14;30;52;11;9;4
02/12/2019;7;27;38;10;4;4
01/12/2019;2;13;17;7;5;4
30/11/2019;3;25;31;10;9;4
29/11/2019;27;38;81;12;9;5
28/11/2019;25;44;82;14;13;6
27/11/2019;5;19;27;8;6;3
26/11/2019;3;13;19;5;4;3
25/11/2019;18;36;63;13;9;4
24/11/2019;1;8;11;5;4;6
23/11/2019;1;4;6;8;2;3
22/11/2019;3;12;16;4;5;3
21/11/2019;8;26;39;9;8;4
20/11/2019;5;22;30;8;8;4
19/11/2019;26;36;76;13;13;4
18/11/2019;15;35;57;9;7;4
17/11/2019;1;8;11;4;2;4
16/11/2019;1;9;11;3;2;5
15/11/2019;3;16;21;4;2;5
14/11/2019;3;14;20;5;2;4
13/11/2019;6;23;33;8;3;4
12/11/2019;8;22;34;6;5;4
11/11/2019;5;20;28;13;6;3
10/11/2019;1;10;12;7;3;3
09/11/2019;2;7;10;7;3;3
08/11/2019;2;10;13;7;2;6
07/11/2019;3;13;18;6;2;6
06/11/2019;10;19;35;8;5;5
05/11/2019;3;11;16;7;2;4
04/11/2019;3;11;17;7;;3
03/11/2019;1;6;8;10;;4
02/11/2019;3;14;19;8;6;3
01/11/2019;9;26;40;10;8;3
31/10/2019;11;27;44;11;5;3
30/10/2019;9;26;40;17;14;4
29/10/2019;27;40;80;27;23;5
28/10/2019;19;46;75;20;10;4
27/10/2019;2;13;16;8;8;3
26/10/2019;2;12;15;6;5;3
25/10/2019;9;26;40;12;13;3
24/10/2019;5;17;25;7;6;4
23/10/2019;16;19;43;7;5;4
22/10/2019;54;34;117;19;16;4
21/10/2019;14;25;48;8;6;3
20/10/2019;2;4;9;3;1;3
19/10/2019;3;10;15;4;3;3
18/10/2019;11;33;50;15;9;3
17/10/2019;5;16;25;5;3;3
16/10/2019;4;9;16;5;2;3
15/10/2019;4;12;18;4;3;4
14/10/2019;6;23;32;11;5;3
13/10/2019;3;10;15;17;9;4
12/10/2019;4;14;21;19;11;3
11/10/2019;8;29;41;19;13;4
10/10/2019;23;34;70;24;15;4
09/10/2019;5;15;23;10;4;3
08/10/2019;21;31;64;;15;6
07/10/2019;19;31;60;19;10;4
06/10/2019;3;11;16;12;4;4
05/10/2019;5;12;20;13;5;3
04/10/2019;18;25;53;12;8;4
03/10/2019;14;27;48;15;9;4
02/10/2019;4;11;18;9;3;3
01/10/2019;9;19;33;16;9;3
30/09/2019;15;22;44;18;7;3
29/09/2019;6;19;29;15;8;4
28/09/2019;4;16;22;13;6;3
27/09/2019;12;21;40;21;13;3
26/09/2019;17;23;49;21;13;3
25/09/2019;6;16;25;13;5;4
24/09/2019;6;16;25;13;7;4
23/09/2019;14;23;44;13;7;3
22/09/2019;4;10;15;9;4;3
21/09/2019;2;6;11;9;7;3
20/09/2019;8;23;36;24;18;3
19/09/2019;17;24;50;22;11;3
18/09/2019;12;22;41;25;13;3
17/09/2019;16;25;50;26;20;3
16/09/2019;15;24;47;16;11;3
15/09/2019;5;23;30;21;15;3
14/09/2019;7;25;35;24;17;3
13/09/2019;17;29;55;22;14;3
12/09/2019;16;22;47;18;8;3
11/09/2019;5;16;24;14;5;3
10/09/2019
09/09/2019
08/09/2019;3;10;15;8;5;4
07/09/2019;4;11;18;10;6;4
06/09/2019;5;20;28;13;6;3
05/09/2019;7;19;29;11;5;3
04/09/2019;16;27;51;24;15;4
03/09/2019;13;25;45;20;14;3
02/09/2019;7;21;32;14;6;3
01/09/2019;4;11;16;7;4;3
31/08/2019;5;16;24;13;9;3
30/08/2019;5;15;22;12;6;3
29/08/2019;4;14;20;16;11;3
28/08/2019;8;18;30;18;12;3
27/08/2019;14;21;42;19;15;3
26/08/2019;5;19;27;17;12;3
25/08/2019;2;6;9;15;10;3
24/08/2019;3;14;19;17;11;4
23/08/2019;6;29;37;16;12;4
22/08/2019;8;21;34;20;12;3
21/08/2019;8;16;29;14;8;3
20/08/2019;5;14;21;11;5;3
19/08/2019;5;15;22;9;3;3
18/08/2019;3;10;16;7;4;3
17/08/2019;5;17;25;12;11;4
16/08/2019;9;17;31;12;8;3
15/08/2019;2;6;10;8;4;3
14/08/2019;10;23;38;13;8;5
13/08/2019;10;17;32;11;6;3
12/08/2019;4;11;17;8;4;3
11/08/2019;2;6;10;8;3;3
10/08/2019;3;9;14;16;6;3
09/08/2019;4;14;20;16;5;3
08/08/2019;5;19;27;10;6;3
07/08/2019;7;22;33;15;11;3
06/08/2019;9;16;30;13;9;3
05/08/2019;11;16;33;10;9;3
04/08/2019;2;7;11;11;8;3
03/08/2019;4;11;18;13;10;3
02/08/2019;7;18;29;14;7;3
01/08/2019;6;21;30;14;6;3
31/07/2019;5;11;19;12;5;3
30/07/2019;5;13;20;15;5;3
29/07/2019;13;19;39;15;7;3
28/07/2019;3;10;15;8;5;3
27/07/2019;3;8;13;6;4;3
26/07/2019;6;16;25;9;3;3
25/07/2019;3;13;18;21;16;3
24/07/2019;8;27;40;26;20;3
23/07/2019;5;22;30;28;21;3
22/07/2019;6;17;27;17;11;3
21/07/2019;2;6;11;7;4;3
20/07/2019;3;6;11;8;6;3
19/07/2019;10;19;34;18;14;4
18/07/2019;4;12;19;9;7;3
17/07/2019;4;14;20;13;8;3
16/07/2019;6;15;24;17;13;3
15/07/2019;9;23;37;18;11;3
14/07/2019;3;9;13;12;7;3
13/07/2019;4;13;18;11;8;3
12/07/2019;9;25;39;21;16;5
11/07/2019;10;28;44;26;18;6
10/07/2019;8;21;33;25;12;4
09/07/2019;4;14;21;16;10;3
08/07/2019;4;15;22;14;9;3
07/07/2019;2;5;8;13;11;3
06/07/2019;2;8;13;15;11;3
05/07/2019;6;24;34;27;20;3
04/07/2019;18;40;67;33;24;3
03/07/2019;8;23;35;20;12;3
02/07/2019;4;13;20;14;7;3
01/07/2019;5;14;23;12;6;3
30/06/2019;2;5;9;10;8;3
29/06/2019;3;11;16;14;15;4
28/06/2019;9;22;36;20;14;4
27/06/2019;13;33;53;30;13;3
26/06/2019;13;37;57;32;15;3
25/06/2019;10;25;41;23;16;4
24/06/2019;8;26;38;22;12;3
23/06/2019;3;18;23;16;12;4
22/06/2019;4;18;25;13;8;4
21/06/2019;5;16;24;7;4;3
20/06/2019;4;18;25;9;5;3
19/06/2019;8;25;37;24;19;4
18/06/2019;17;30;57;29;21;5
17/06/2019;6;19;29;21;14;4
16/06/2019;3;10;14;11;9;5
15/06/2019;4;12;18;12;7;5
14/06/2019;6;20;29;12;9;3
13/06/2019;9;21;34;16;12;4
12/06/2019;5;17;25;13;5;6
11/06/2019;3;10;16;7;3;4
10/06/2019;4;15;21;8;5;3
09/06/2019;2;6;10;9;3;3
08/06/2019;3;11;15;13;5;4
