Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
07/06/2019;4;16;23;17;4;3
06/06/2019;7;17;28;11;8;3
05/06/2019;5;16;23;8;3;3
04/06/2019;6;16;26;15;9;3
03/06/2019;9;21;35;22;13;6
02/06/2019;3;18;24;16;17;4
01/06/2019;4;25;32;23;16;4
31/05/2019;18;37;65;27;18;5
30/05/2019;19;27;56;25;16;5
29/05/2019;6;16;26;13;5;3
28/05/2019;5;14;23;12;5;3
27/05/2019;6;17;25;9;6;3
26/05/2019;2;7;11;5;3;3
25/05/2019;2;7;10;8;4;3
24/05/2019;4;11;18;7;4;3
23/05/2019;16;27;52;21;15;3
22/05/2019;13;30;50;20;17;5
21/05/2019;10;22;37;18;15;4
20/05/2019;14;22;43;15;9;7
19/05/2019;2;5;8;7;4;3
18/05/2019;2;7;10;4;2;6
17/05/2019;3;10;15;9;4;3
16/05/2019;8;30;43;25;19;7
15/05/2019;14;36;57;25;19;9
14/05/2019;14;32;54;22;15;7
13/05/2019;8;23;36;16;9;5
12/05/2019;3;12;16;10;7;4
11/05/2019;3;9;13;11;3;3
10/05/2019;17;24;49;17;11;5
09/05/2019;13;29;49;24;16;9
08/05/2019;5;19;27;12;6;5
07/05/2019;13;45;65;37;25;10
06/05/2019;9;27;42;16;8;7
05/05/2019;2;8;11;7;4;5
04/05/2019;2;10;13;6;3;4
03/05/2019;7;24;35;7;3;4
02/05/2019;4;16;23;10;5;4
01/05/2019;3;15;20;10;6;6
30/04/2019;12;26;45;21;14;6
29/04/2019;10;28;43;18;10;9
28/04/2019;3;10;14;17;7;5
27/04/2019;4;15;21;13;6;6
26/04/2019;6;20;29;13;5;8
25/04/2019;4;13;20;7;2;19
24/04/2019;4;13;19;5;3;20
23/04/2019;4;19;25;31;9;5
22/04/2019;2;14;18;21;17;6
21/04/2019;2;14;18;14;14;8
20/04/2019;3;15;20;12;11;7
19/04/2019;2;13;16;11;7;4
18/04/2019;2;13;16;9;7;3
17/04/2019;2;16;19;29;11;5
16/04/2019;6;19;30;11;7;5
15/04/2019;11;23;40;11;8;7
14/04/2019;4;26;33;22;19;12
13/04/2019;4;29;36;21;19;8
12/04/2019;5;23;31;21;16;7
11/04/2019;6;23;33;12;10;4
10/04/2019;16;27;52;13;10;6
09/04/2019;4;24;31;10;7;5
08/04/2019;;22;;11;9;5
07/04/2019;;0;;6;6;7
06/04/2019;2;9;13;5;2;6
05/04/2019;4;20;27;7;3;5
04/04/2019;5;19;26;8;4;6
03/04/2019;4;16;23;5;2;8
02/04/2019;8;25;37;21;11;6
01/04/2019;6;31;40;;10;5
31/03/2019;2;24;28;;14;8
30/03/2019;1;15;17;16;11;5
29/03/2019;10;33;49;26;18;6
28/03/2019;16;31;56;28;17;6
27/03/2019;15;30;54;24;13;6
26/03/2019;3;19;24;16;6;3
25/03/2019;6;26;36;21;11;3
24/03/2019;3;22;27;18;16;6
23/03/2019;5;31;38;20;16;9
22/03/2019;10;45;60;22;19;8
21/03/2019;18;38;67;20;14;6
20/03/2019;8;30;42;10;5;4
19/03/2019;2;16;20;6;3;3
18/03/2019;5;20;29;10;4;3
17/03/2019;1;9;11;12;6;4
16/03/2019;10;34;49;23;20;7
15/03/2019;5;24;32;13;7;7
14/03/2019;6;20;29;15;6;3
13/03/2019;5;17;25;12;5;3
12/03/2019;12;34;53;23;13;5
11/03/2019;10;27;43;18;8;4
10/03/2019;3;13;18;10;5;4
09/03/2019;9;26;40;13;11;5
08/03/2019;9;34;47;16;5;3
07/03/2019;3;16;21;10;4;4
06/03/2019;3;10;15;7;2;3
05/03/2019;5;22;29;19;12;4
04/03/2019;7;30;41;29;10;3
03/03/2019;2;13;16;15;11;5
02/03/2019;6;33;42;20;18;8
01/03/2019;17;40;66;26;21;9
28/02/2019;30;46;92;36;24;7
27/02/2019;5;32;40;24;15;6
26/02/2019;8;42;55;31;25;8
25/02/2019;34;60;112;45;32;13
24/02/2019;4;35;42;43;30;9
23/02/2019;10;41;56;50;36;14
22/02/2019;8;41;54;40;27;8
21/02/2019;7;27;39;26;18;4
20/02/2019;9;37;52;28;22;5
19/02/2019;12;38;57;11;8;4
18/02/2019;11;32;49;19;10;7
17/02/2019;1;14;16;10;8;6
16/02/2019;2;25;29;21;14;6
15/02/2019;5;31;39;15;11;5
14/02/2019;3;14;20;15;12;4
13/02/2019;31;45;93;;22;8
12/02/2019;15;36;59;;14;5
11/02/2019;13;28;47;12;5;5
10/02/2019;2;5;8;11;3;5
09/02/2019;2;8;12;8;7;5
08/02/2019;40;40;102;31;20;10
07/02/2019;29;45;90;22;15;7
06/02/2019;36;42;97;20;13;6
05/02/2019;35;40;94;16;11;8
04/02/2019;22;35;69;12;10;7
03/02/2019;9;27;41;11;6;15
02/02/2019;2;10;14;12;3;6
01/02/2019;4;20;26;9;;6
31/01/2019;13;25;46;6;5;5
30/01/2019;6;20;30;12;6;5
29/01/2019;7;17;29;12;6;5
28/01/2019;5;12;20;13;5;4
27/01/2019;2;5;9;12;6;5
26/01/2019;4;20;26;10;7;6
25/01/2019;8;20;31;7;2;5
24/01/2019;27;49;91;8;6;6
23/01/2019;9;23;37;10;4;5
22/01/2019;5;17;25;6;4;8
21/01/2019;29;38;82;13;6;9
20/01/2019;3;13;17;7;2;7
19/01/2019;1;8;11;4;3;5
18/01/2019;22;30;63;12;12;6
17/01/2019;5;18;27;6;4;8
16/01/2019;14;24;45;17;18;5
15/01/2019;13;34;54;11;10;3
14/01/2019;12;27;47;5;3;3
13/01/2019;1;9;12;4;2;3
12/01/2019;14;27;48;10;8;3
11/01/2019;28;39;82;17;12;3
10/01/2019;6;22;32;12;5;3
09/01/2019;18;31;59;12;6;4
08/01/2019;25;43;81;20;19;7
07/01/2019;8;37;49;15;14;5
06/01/2019;11;29;46;26;27;12
05/01/2019;24;36;73;26;28;10
04/01/2019;32;40;88;20;20;5
03/01/2019;16;33;57;13;13;4
02/01/2019;8;27;40;6;6;4
01/01/2019;14;26;48;20;24;6
