Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2019;0,79;0,34;0,32;0,4;29;39;83;1,58;26;12;2,38
30/12/2019;0,79;0,26;0,27;0,41;34;40;91;1,87;12;10;3,25
29/12/2019;1;0,33;0,34;0,48;41;41;102;2,27;13;9;3,89
28/12/2019;0,94;0,34;0,32;0,49;38;41;99;2,03;15;10;3,53
27/12/2019;0,66;0,28;0,27;0,37;28;42;84;1,68;17;8;2,98
26/12/2019;0,28;0,2;0,19;0,19;6;25;34;0,91;18;6;1,73
25/12/2019;0,58;0,21;0,23;0,34;15;34;57;1,45;6;7;3,02
24/12/2019;0,48;0,26;0,25;0,32;20;35;64;1,3;7;7;2,6
23/12/2019
22/12/2019
21/12/2019
20/12/2019
19/12/2019;0,15;0,2;0,21;0,32;4;19;24;1,47;;5;2,61
18/12/2019;0,3;0,25;0,24;0,25;4;25;30;1,25;;6;2,19
17/12/2019;0,37;0,25;0,25;0,21;6;37;46;1,08;9;7;1,88
16/12/2019;0,44;0,21;0,2;0,39;10;35;50;1,94;12;5;3,41
15/12/2019;0,1;0,14;0,14;0,05;2;12;14;0,52;3;4;1,43
14/12/2019;0,17;0,14;0,15;0,07;3;21;25;0,74;7;5;1,84
13/12/2019;0,11;0,19;0,2;0,04;1;13;14;0,35;9;8;0,8
12/12/2019;0,16;0,2;0,19;0,05;4;23;28;0,47;5;5;0,91
11/12/2019;0,31;0,18;0,2;0,17;4;25;30;1,07;12;7;1,53
10/12/2019;0,88;0,29;0,28;0,74;30;47;93;3,38;27;10;5,01
09/12/2019;0,32;0,22;0,22;0,18;3;32;36;1,24;29;11;1,57
08/12/2019;0,6;0,28;0,3;0,28;15;37;59;1,63;18;10;1,88
07/12/2019;1,08;0,39;0,41;0,43;43;38;104;2,09;25;13;3,02
06/12/2019;0,82;0,38;0,37;0,45;27;39;79;2,09;23;11;2,85
05/12/2019;0,71;0,42;0,42;0,23;24;37;73;1,2;18;5;1,78
04/12/2019;0,75;0,34;0,32;0,33;;;;1,61;21;14;2,45
03/12/2019;0,53;0,26;0,25;0,14;;;;0,77;12;5;1,48
02/12/2019;0,45;0,26;0,26;0,05;4;24;30;0,42;10;5;1,06
01/12/2019;0,43;0,23;0,23;0,07;7;32;41;0,58;13;9;1,32
30/11/2019;0,44;0,26;0,26;0,19;7;36;47;1,13;11;8;1,96
29/11/2019;1,14;0,35;0,37;0,53;31;46;94;2,35;19;10;4,47
28/11/2019;1,12;0,51;0,49;0,6;37;55;112;2,55;19;7;4,76
27/11/2019;0,26;0,22;0,2;0,18;8;29;41;0,84;9;5;1,72
26/11/2019;0,17;0,2;0,21;0,15;5;20;27;1,05;8;5;1,93
25/11/2019;0,44;0,37;0,35;0,2;21;38;69;1,05;14;6;2,16
24/11/2019;0,24;0,19;0,2;0,05;5;22;29;0,4;7;5;1,23
23/11/2019;0,13;0,19;0,18;0,04;1;10;12;0,27;8;4;0,71
22/11/2019;0,21;0,2;0,21;0,21;6;22;30;1,15;6;5;1,68
21/11/2019;0,4;0,29;0,27;0,19;13;33;52;1,12;12;6;1,88
20/11/2019;0,48;0,2;0,21;0,29;12;37;55;1,3;11;9;4,47
19/11/2019;0,76;0,3;0,3;0,45;28;41;84;1,96;15;13;2,91
18/11/2019;0,66;0,3;0,29;0,16;15;37;60;0,82;10;7;1,66
17/11/2019;0,25;0,22;0,22;0,04;4;31;36;0,28;7;8;0,73
16/11/2019;0,35;0,23;0,23;0,08;6;34;41;0,58;7;8;1,06
15/11/2019;0,28;0,2;0,18;0,15;7;38;48;0,82;6;7;1,1
14/11/2019;0,34;0,16;0,17;0,14;7;29;39;0,8;7;8;1,23
13/11/2019;0,88;0,21;0,21;0,2;11;43;59;1,11;11;8;2,47
12/11/2019;0,26;0,2;0,2;0,1;12;37;55;0,66;10;7;1,34
11/11/2019;0,3;0,22;0,23;0,07;11;37;53;0,55;19;8;1,28
10/11/2019;0,2;0,21;0,19;0,04;5;29;36;0,33;7;7;0,71
09/11/2019;0,21;0,19;0,19;0,04;5;24;31;0,34;9;7;0,76
08/11/2019;0,16;0,14;0,13;0,04;2;17;19;0,3;6;7;0,69
07/11/2019;0,17;0,12;0,13;0,05;3;19;23;0,42;7;8;0,86
06/11/2019;0,35;0,22;0,22;0,29;16;34;58;1,23;12;7;1,78
05/11/2019;0,22;0,17;0,17;0,16;4;25;30;0,8;8;7;1,44
04/11/2019;0,15;0,18;0,18;0,08;4;29;34;0,53;9;7;1,16
03/11/2019;0,14;0,17;0,17;0,05;3;14;18;0,38;10;6;0,9
02/11/2019;0,47;0,31;0,33;0,13;6;27;36;0,93;13;7;1,87
01/11/2019;0,48;0,33;0,34;0,37;18;35;62;1,81;17;9;3,39
31/10/2019;0,35;0,3;0,28;0,43;11;31;48;1,97;15;8;2,93
30/10/2019;0,53;0,31;0,33;0,59;21;39;71;2,58;19;10;3,9
29/10/2019;0,71;0,42;0,43;0,68;30;46;92;2,87;33;11;5,1
28/10/2019;0,53;0,35;0,32;0,51;20;53;83;2,38;22;10;4,72
27/10/2019;0,45;0,25;0,24;0,37;7;42;53;2,05;11;7;4,71
26/10/2019;0,38;0,19;0,2;0,43;10;38;52;2,09;10;8;4,38
25/10/2019;0,6;0,24;0,25;0,54;21;42;75;2,41;14;9;4,04
24/10/2019;0,4;0,24;0,22;0,3;23;44;79;1,39;11;7;2,43
23/10/2019;0,46;0,29;0,31;0,21;14;25;47;1,03;9;7;2,09
22/10/2019;0,78;0,36;0,36;0,64;49;43;117;2,58;25;13;4,88
21/10/2019;0,41;0,26;0,25;0,16;17;36;61;0,94;13;10;1,67
20/10/2019;0,17;0,19;0,19;0,04;2;21;23;0,36;5;6;0,9
19/10/2019;0,29;0,25;0,26;0,17;4;21;27;1,08;8;5;2,12
18/10/2019;0,36;0,26;0,25;0,17;10;39;53;1,01;16;6;2,19
17/10/2019;0,28;0,21;0,2;0,24;5;21;28;1,43;7;5;2,72
16/10/2019;0,13;0,16;0,15;0,17;4;16;21;1,21;7;5;2,62
15/10/2019;0,12;0,12;0,13;0,11;4;19;25;0,71;5;5;1,62
14/10/2019;0,15;0,26;0,27;0,08;3;22;27;0,61;11;6;1,19
13/10/2019;0,21;0,15;0,14;0,26;4;20;26;1,41;19;5;3,22
12/10/2019;0,49;0,3;0,33;0,48;7;29;39;2,38;21;5;5,16
11/10/2019;0,45;0,32;0,3;0,44;19;44;73;2,02;24;7;3,43
10/10/2019;0,45;0,23;0,23;0,37;18;36;62;1,69;21;7;3,2
09/10/2019;0,41;0,25;0,24;0,2;7;26;36;1,03;15;6;1,98
08/10/2019;0,47;0,26;0,28;0,36;21;35;67;1,67;21;13;2,91
07/10/2019;0,47;0,28;0,26;0,27;18;37;63;1,34;20;8;2,93
06/10/2019;0,26;0,24;0,24;0,07;4;23;29;0,66;18;6;1,35
05/10/2019;0,27;0,29;0,29;0,13;4;20;26;0,88;17;5;1,84
04/10/2019;0,45;0,29;0,3;0,3;19;37;65;1,43;18;7;3,35
03/10/2019;0,35;0,28;0,27;0,25;14;32;53;1,28;14;7;2,94
02/10/2019;0,25;0,22;0,21;0,14;3;21;25;0,88;9;4;1,88
01/10/2019;0,8;0,29;0,32;0,38;13;21;41;1,89;21;7;4,54
30/09/2019;0,32;0,29;0,27;0,36;14;29;51;1,61;20;7;3,27
29/09/2019;0,36;0,24;0,25;0,25;12;24;41;1,3;18;9;2,17
28/09/2019;0,31;0,24;0,22;0,21;4;22;27;1,2;15;6;2,61
27/09/2019;0,31;0,23;0,24;0,27;9;23;37;1,32;20;5;2,8
26/09/2019;0,34;0,25;0,25;0,33;11;22;38;1,79;22;5;3,55
25/09/2019;0,27;0,26;0,24;0,16;12;21;39;1,02;18;4;1,96
24/09/2019;0,16;0,17;0,18;0,2;3;19;23;1,24;13;4;2,38
23/09/2019;0,27;0,26;0,25;0,24;13;36;56;1,38;16;6;2,98
22/09/2019;0,17;0,23;0,21;0,09;3;15;19;0,85;12;4;1,93
21/09/2019;0,11;0,16;0,16;0,25;3;17;22;1,81;11;4;3,85
20/09/2019;0,34;0,27;0,29;0,43;17;41;67;2,35;31;6;3,72
19/09/2019;0,37;0,35;0,33;0,32;8;29;41;1,64;26;4;3,53
18/09/2019;0,29;0,31;0,34;0,42;10;25;40;2,45;24;3;4,62
17/09/2019;0,32;0,35;0,34;0,49;15;28;52;2,74;33;5;5,6
16/09/2019;0,23;0,32;0,31;0,33;12;31;49;2,04;25;4;4,06
15/09/2019;0,23;0,28;0,3;0,44;6;32;41;2,87;24;6;5,93
14/09/2019;0,27;0,35;0,36;0,39;10;38;53;2,21;23;6;4,53
13/09/2019;0,34;0,37;0,33;0,34;14;31;52;1,56;28;7;3,43
12/09/2019;0,3;0,23;0,25;0,25;11;26;42;1,35;18;4;2,59
11/09/2019;0,29;0,32;0,33;0,11;2;16;19;0,58;15;3;1,13
10/09/2019;0,23;0,29;0,26;0,06;3;13;18;0,47;10;4;0,73
09/09/2019;0,28;0,27;0,26;0,21;13;25;44;1,16;19;8;1,6
08/09/2019;0,18;0,25;0,25;0,17;3;17;21;1,01;10;4;1,78
07/09/2019;0,38;0,28;0,37;0,2;4;20;26;1,01;16;6;1,49
06/09/2019;0,42;0,41;0,34;0,24;11;20;36;1,27;16;3;1,85
05/09/2019;0,25;0,32;0,27;0,1;3;14;19;0,71;13;3;1,4
04/09/2019;0,35;0,29;0,29;0,23;12;26;43;1,25;22;9;2,39
03/09/2019;0,34;0,26;0,26;0,23;12;29;47;1,43;22;7;2,95
02/09/2019;0,44;0,29;0,29;0,23;6;21;31;1,05;15;3;2,08
01/09/2019;0,22;0,3;0,31;0,36;3;14;18;2,55;9;2;4,81
31/08/2019;0,3;0,37;0,36;0,43;4;22;28;2,71;20;3;5,71
30/08/2019;0,15;0,29;0,26;0,3;5;16;23;1,97;17;2;4,84
29/08/2019;0,12;0,24;0,25;0,32;3;14;18;2,07;13;2;4,75
28/08/2019;0,24;0,34;0,36;0,32;5;17;24;2,22;19;2;4,77
27/08/2019;0,19;0,36;0,33;0,28;10;23;38;1,75;19;3;3,43
26/08/2019;0,21;0,32;0,34;0,31;5;21;28;2,18;19;2;4,35
25/08/2019;0,14;0,35;0,34;0,25;1;11;12;1,9;19;2;3,84
24/08/2019;0,3;0,32;0,37;0,44;6;28;37;2,68;22;6;5,25
23/08/2019;0,37;0,37;0,31;0,48;8;45;56;2,53;20;8;4,45
22/08/2019;0,25;0,26;0,28;0,37;9;34;47;1,95;18;5;3,8
21/08/2019;0,27;0,35;0,33;0,27;8;26;38;1,65;15;3;3,49
20/08/2019;0,26;0,27;0,28;0,21;5;21;27;1,31;13;2;2,72
19/08/2019;0,36;0,29;0,26;0,17;3;24;29;1,05;12;2;1,95
18/08/2019;0,26;0,27;0,3;0,27;8;19;31;1,85;10;3;3,82
17/08/2019;0,36;0,32;0,32;0,25;7;24;34;1,69;12;5;4,04
16/08/2019;0,31;0,32;0,29;0,21;7;22;32;1,31;11;3;2,92
15/08/2019;0,3;0,25;0,27;0,18;2;11;14;1,27;10;2;2,54
14/08/2019;0,43;0,29;0,26;0,71;7;21;31;3,5;16;4;3,25
13/08/2019;0,16;0,23;0,22;0,22;7;21;30;1,27;14;4;2,6
12/08/2019;0,13;0,18;0,17;0,07;2;15;19;0,73;13;3;1,35
11/08/2019;0,15;0,19;0,2;0,17;2;9;11;1,27;9;2;2,74
10/08/2019;0,15;0,27;0,27;0,16;2;8;10;1,12;18;2;2,27
09/08/2019;0,38;0,19;;0,36;4;14;20;2,37;13;2;4,33
08/08/2019;0,3;0,23;0,24;0,58;9;30;43;3,73;13;2;7,87
07/08/2019;0,16;0,29;0,29;0,52;6;21;30;3,28;15;2;6,7
06/08/2019;0,22;0,3;0,31;0,41;9;20;33;2,4;16;3;4,98
05/08/2019;;0,35;0,34;81,16;5;15;23;;12;2;
04/08/2019;0,2;0,35;0,34;0,14;2;11;13;1,09;13;3;2,31
03/08/2019;0,22;0,29;0,29;0,22;6;15;23;1,38;18;4;2,68
02/08/2019;0,17;0,29;0,28;0,29;4;18;25;1,94;15;3;4
01/08/2019;;0,28;0,28;;3;15;19;;17;3;
31/07/2019;;0,21;0,22;;5;14;22;;15;5;
30/07/2019;;0,21;0,21;;2;12;15;;14;4;
29/07/2019;;0,3;0,3;;10;18;33;;16;6;
28/07/2019;;0,23;0,22;;3;13;18;;10;4;
27/07/2019;;0,21;0,21;;3;16;20;;9;4;
26/07/2019;;0,23;0,23;;4;19;24;;7;3;
25/07/2019;;0,29;0,32;;3;11;16;;25;3;
24/07/2019;0,31;0,44;0,45;0,52;8;34;46;0,3;30;5;6,02
23/07/2019;0,19;0,39;0,38;0,49;9;34;47;0,24;34;3;6,25
22/07/2019;0,16;0,35;0,33;0,31;5;18;25;0,27;22;2;4,54
21/07/2019;0,11;0,3;0,3;0,27;2;8;11;0,25;10;2;4,44
20/07/2019;0,17;0,3;0,34;0,3;3;9;13;0,24;14;3;4,27
19/07/2019;0,19;0,32;0,27;0,33;9;22;35;0,22;20;6;3,9
18/07/2019;0,2;0,26;0,3;0,27;6;17;25;0,22;15;3;3,81
17/07/2019;0,2;0,32;0,28;0,27;3;15;18;0,22;14;3;3,57
16/07/2019;0,2;0,29;0,27;0,26;8;23;34;0,22;21;8;3,47
