Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2019;24;37;74;18;8
30/12/2019;31;40;87;13;6
29/12/2019;13;33;52;11;6
28/12/2019;16;35;59;11;5
27/12/2019;27;40;81;16;4
26/12/2019;5;26;32;15;10
25/12/2019;2;12;16;3;4
24/12/2019;5;14;21;4;4
23/12/2019;1;6;7;4;5
22/12/2019;1;8;9;9;20
21/12/2019;1;8;9;7;3
20/12/2019;4;22;27;4;3
19/12/2019;1;4;6;4;2
18/12/2019;1;5;6;6;3
17/12/2019;5;26;34;5;7
16/12/2019;2;8;11;6;0
15/12/2019;1;2;2;3;2
14/12/2019;1;2;3;9;3
13/12/2019;22;29;62;13;37
12/12/2019;2;11;14;3;10
11/12/2019;1;11;12;6;14
10/12/2019;18;25;53;15;4
09/12/2019;3;13;17;22;31
08/12/2019;3;10;15;11;12
07/12/2019;19;38;66;25;14
06/12/2019;11;34;51;21;10
05/12/2019;5;20;26;14;7
04/12/2019;18;25;53;13;7
03/12/2019;15;25;47;11;5
02/12/2019;1;10;11;7;5
01/12/2019;1;13;14;7;5
30/11/2019;4;22;27;8;6
29/11/2019;19;31;59;11;9
28/11/2019;23;45;78;12;12
27/11/2019;6;19;27;10;5
26/11/2019;1;4;6;7;4
25/11/2019;11;29;45;11;6
24/11/2019;1;4;5;5;5
23/11/2019;2;13;16;9;15
22/11/2019;1;5;7;5;0
21/11/2019;6;18;27;9;4
20/11/2019;1;7;8;7;1
19/11/2019;25;31;70;12;5
18/11/2019;6;20;28;8;5
17/11/2019;1;4;5;4;5
16/11/2019;1;4;5;3;5
15/11/2019;1;8;10;4;4
14/11/2019;3;10;13;6;2
13/11/2019;1;12;14;7;3
12/11/2019;4;15;21;5;3
11/11/2019;3;13;18;12;7
10/11/2019;1;9;10;6;10
09/11/2019;1;5;6;6;10
08/11/2019;3;8;13;6;12
07/11/2019;1;8;10;5;20
06/11/2019;6;15;24;8;10
05/11/2019;1;6;8;7;10
04/11/2019;1;9;11;8;12
