Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2019;16;30;54;20;2
30/12/2019;20;28;58;13;2
29/12/2019;17;27;52;15;1
28/12/2019;18;29;56;18;1
27/12/2019;20;30;61;20;1
26/12/2019;6;25;34;25;1
25/12/2019;3;18;22;7;2
24/12/2019;6;23;32;10;1
23/12/2019;4;25;32;24;1
22/12/2019;1;9;11;10;1
21/12/2019;3;17;22;10;1
20/12/2019;10;36;52;10;1
19/12/2019;1;9;11;8;1
18/12/2019;3;18;21;14;2
17/12/2019;6;39;47;12;1
16/12/2019;2;12;15;11;1
15/12/2019;1;8;9;6;2
14/12/2019;2;13;15;9;2
13/12/2019;1;13;15;11;1
12/12/2019;2;22;25;7;1
11/12/2019;3;20;25;14;2
10/12/2019;15;35;58;31;3
09/12/2019;5;32;40;35;1
08/12/2019;7;28;38;21;2
07/12/2019;28;29;71;24;2
06/12/2019;21;33;65;27;2
05/12/2019;33;36;87;26;2
04/12/2019;33;31;80;27;2
03/12/2019;15;26;49;19;1
02/12/2019;3;24;28;12;1
01/12/2019;5;26;33;16;1
30/11/2019;4;25;31;13;1
29/11/2019;32;40;90;27;1
28/11/2019;36;48;102;22;1
27/11/2019;5;22;29;11;1
26/11/2019;2;18;21;14;1
25/11/2019;22;34;68;18;1
24/11/2019;3;20;23;10;1
23/11/2019;1;10;12;9;1
22/11/2019;2;17;19;10;1
21/11/2019;13;33;51;17;1
20/11/2019;7;25;35;13;1
19/11/2019;21;32;65;22;1
18/11/2019;12;32;50;13;1
17/11/2019;3;27;31;11;1
16/11/2019
15/11/2019
14/11/2019;5;28;35;8;1
13/11/2019;10;35;50;17;1
12/11/2019;12;37;54;16;1
11/11/2019;6;32;42;18;1
10/11/2019;2;23;26;9;1
09/11/2019;2;21;25;;1
08/11/2019;1;16;18;8;1
07/11/2019;2;19;22;9;1
06/11/2019;12;31;49;15;1
05/11/2019;2;15;17;11;1
04/11/2019;2;21;25;13;1
03/11/2019;2;11;14;;1
02/11/2019;5;21;28;16;1
01/11/2019;10;25;40;17;1
31/10/2019;10;29;44;19;1
30/10/2019;10;26;41;25;1
29/10/2019;24;36;72;43;1
28/10/2019;9;42;56;27;2
27/10/2019;3;26;30;15;1
26/10/2019;4;26;31;14;1
25/10/2019;12;27;46;17;1
24/10/2019;12;32;51;14;1
23/10/2019;10;21;35;9;1
22/10/2019;35;30;84;27;1
21/10/2019;12;27;46;17;1
20/10/2019;2;18;21;4;1
19/10/2019;3;23;27;11;1
18/10/2019;4;29;35;18;1
17/10/2019;3;21;25;11;1
16/10/2019;1;16;17;11;1
15/10/2019;2;18;21;11;3
14/10/2019;4;23;29;22;2
13/10/2019;3;20;23;24;2
12/10/2019;3;22;27;27;2
11/10/2019;7;32;42;29;2
10/10/2019;14;26;48;23;2
09/10/2019;5;24;32;21;2
08/10/2019;17;27;53;22;4
07/10/2019;13;30;49;20;2
06/10/2019;3;19;24;22;1
05/10/2019;4;17;22;29;1
04/10/2019;16;31;56;26;2
03/10/2019;9;27;41;18;2
02/10/2019;2;19;22;14;1
01/10/2019;11;21;37;35;2
30/09/2019;10;24;39;28;2
29/09/2019;5;16;24;18;2
