Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
03/09/2019;0,26;0,25;7;19;29;;;2
02/09/2019;0,23;0,24;4;17;23;;;1
01/09/2019;0,34;0,35;1;12;13;;;1
31/08/2019;0,33;0,32;3;18;22;;;1
30/08/2019;0,31;0,3;2;14;16;;;1
29/08/2019;0,35;0,36;1;11;13;;;1
28/08/2019;0,34;0,34;4;16;21;;;1
27/08/2019;0,34;0,34;6;19;28;;;2
26/08/2019;0,33;0,32;2;17;20;;;1
25/08/2019;0,28;0,28;1;6;7;;;1
24/08/2019;0,33;0,34;2;19;22;;;5
23/08/2019;0,32;0,3;3;30;34;;;8
22/08/2019;0,27;0,27;3;19;24;;;4
21/08/2019;0,28;0,3;7;15;25;;;1
20/08/2019;0,29;0,26;2;14;17;;;1
19/08/2019;0,25;0,25;2;17;19;;;2
18/08/2019;0,28;0,28;2;13;16;;;1
17/08/2019;0,27;0,31;3;18;22;;;5
16/08/2019;0,3;0,26;6;20;28;;;4
15/08/2019;0,26;0,26;1;7;9;;;2
14/08/2019;0,24;0,23;4;19;25;;;5
13/08/2019;0,23;0,21;4;13;18;;;2
12/08/2019;0,17;0,17;1;11;12;;;3
11/08/2019;0,31;0,32;1;7;8;;;1
10/08/2019;0,26;0,29;1;7;8;;;1
09/08/2019;0,29;0,26;2;10;12;;;1
08/08/2019;0,24;0,24;2;17;19;;;1
07/08/2019;0,35;0,34;4;18;23;;;1
06/08/2019;0,26;0,25;5;16;23;;;1
05/08/2019;0,23;0,23;4;13;19;;;1
04/08/2019;0,29;0,3;1;11;12;;;1
03/08/2019;0,28;0,29;4;14;19;;;1
02/08/2019;0,27;0,26;4;15;21;;;1
01/08/2019;0,27;0,26;4;18;23;;;1
31/07/2019;0,19;0,21;3;11;16;;;2
30/07/2019;0,2;0,21;1;12;13;;;3
29/07/2019;0,31;0,29;10;19;33;;;3
28/07/2019;0,22;0,22;1;10;12;;;1
27/07/2019;0,22;0,21;1;13;15;;;2
26/07/2019;0,25;0,25;1;13;15;;;0
25/07/2019;0,31;0,32;1;11;12;;;0
24/07/2019;0,45;0,45;6;24;33;;;1
23/07/2019;0,31;0,31;2;22;25;;;1
22/07/2019;0,32;0,31;5;17;24;;;1
21/07/2019;0,3;0,29;1;8;9;;;1
20/07/2019;0,25;0,26;1;9;11;;;1
19/07/2019;0,26;0,26;6;18;27;;;3
18/07/2019;0,21;0,21;4;16;21;;;1
17/07/2019;0,22;0,23;2;15;18;;;1
16/07/2019;0,24;0,24;4;16;22;;;1
15/07/2019;0,22;0,23;3;18;23;;;1
14/07/2019;0,24;0,23;2;13;15;;;1
13/07/2019;0,22;0,23;2;14;16;;;1
12/07/2019;0,28;0,28;5;25;32;;;3
11/07/2019;0,23;0,23;5;28;35;;;3
10/07/2019;0,21;0,21;4;21;27;;;1
09/07/2019;0,22;0,22;2;17;19;;;1
08/07/2019;0,24;0,24;1;15;16;;;1
07/07/2019;0,21;0,21;1;7;8;;;1
06/07/2019;0,28;0,29;1;11;12;;;1
05/07/2019;0,35;0,37;3;19;23;;;0
04/07/2019;0,39;0,37;11;32;48;;;0
03/07/2019;0,28;0,25;6;25;33;;;3
02/07/2019;0,24;0,24;2;12;14;;;1
01/07/2019;0,17;0,18;2;12;15;;;1
30/06/2019;0,19;0,19;1;8;9;;;1
29/06/2019;0,22;0,22;1;12;13;;;1
28/06/2019;0,3;0,31;7;22;32;;;2
27/06/2019;0,35;0,35;8;27;38;53;;1
26/06/2019;0,29;0,28;5;27;33;39;20;1
25/06/2019;0,23;0,24;7;22;32;24;15;2
24/06/2019;0,26;0,29;5;23;30;27;17;1
23/06/2019;0,34;0,31;2;20;22;25;19;2
22/06/2019;0,23;0,21;4;21;25;14;9;3
21/06/2019;0,15;0,14;2;10;13;9;5;1
20/06/2019;0,17;0,17;2;13;15;12;7;1
19/06/2019;0,33;0,36;8;24;35;29;18;2
18/06/2019;0,29;0,29;6;21;30;32;21;2
17/06/2019;0,27;0,24;5;19;26;25;15;2
16/06/2019;0,21;0,21;2;12;15;17;11;6
15/06/2019;0,17;0,16;3;13;16;14;9;5
14/06/2019;0,24;0,24;8;20;32;20;13;1
13/06/2019;0,19;0,21;6;18;27;17;9;3
12/06/2019;0,18;0,15;2;13;15;15;7;2
11/06/2019;0,16;0,16;2;11;14;10;5;2
10/06/2019;0,18;0,17;3;15;19;12;6;3
09/06/2019;0,2;0,19;1;10;12;15;8;3
08/06/2019;0,17;0,17;2;11;14;16;8;3
07/06/2019;0,14;0,14;2;9;11;15;5;1
06/06/2019;0,18;0,18;5;15;21;14;8;2
05/06/2019;0,14;0,14;2;15;18;12;6;3
04/06/2019;0,19;0,18;4;15;22;20;12;2
03/06/2019;0,18;0,19;5;18;26;19;12;5
02/06/2019;0,24;0,27;3;24;28;25;18;8
01/06/2019;0,28;0,26;3;28;32;33;22;7
31/05/2019;0,25;0,24;10;31;46;23;14;4
30/05/2019;0,25;0,23;12;26;44;20;10;6
29/05/2019;0,21;0,21;2;15;18;17;8;2
28/05/2019;0,16;0,16;2;13;16;18;8;3
27/05/2019;0,17;0,17;3;16;20;15;9;2
26/05/2019;0,15;0,15;1;9;11;8;5;1
25/05/2019;0,16;0,16;1;8;10;17;11;1
24/05/2019;0,16;0,16;2;11;13;12;7;2
23/05/2019;0,23;0,25;8;24;36;34;18;4
22/05/2019;0,24;0,22;9;27;40;22;15;8
21/05/2019;0,18;0,2;8;20;32;20;14;2
20/05/2019;0,21;0,2;6;20;28;18;12;2
19/05/2019;0,18;0,18;1;13;14;12;7;3
18/05/2019;0,17;0,17;1;11;13;7;4;2
17/05/2019;0,24;0,25;1;15;17;18;10;4
16/05/2019;0,29;0,28;5;29;36;33;18;7
