Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2019;0,35;0,34;3;22;35;68;18;14;8
30/12/2019
29/12/2019;0,35;0,34;1;29;35;79;16;11;6
28/12/2019;0,37;0,33;1;32;37;86;16;11;6
27/12/2019;0,29;0,31;1;25;39;77;19;10;4
26/12/2019;0,23;0,18;1;13;30;49;22;8;1
25/12/2019;0,15;0,21;1;2;12;15;2;3;1
24/12/2019;0,23;0,18;1;8;19;31;6;5;1
23/12/2019;0,17;0,18;1;4;19;25;6;4;3
22/12/2019;0,16;0,16;1;1;8;9;8;;4
21/12/2019;0,46;0,47;2;2;18;20;10;5;1
20/12/2019;0,24;0,22;1;15;39;60;6;4;1
19/12/2019;0,2;0,2;1;3;13;17;5;3;1
18/12/2019;0,2;0,22;1;3;14;18;4;3;2
17/12/2019;0,21;0,22;1;9;35;47;8;6;4
16/12/2019;0,3;0,27;1;5;24;31;10;7;1
15/12/2019;0,17;0,16;0;1;8;9;2;2;1
14/12/2019;0,13;0,13;0;2;11;14;5;2;2
13/12/2019;0,16;0,16;1;4;15;21;9;5;6
12/12/2019;0,18;0,2;1;3;17;21;7;3;3
11/12/2019;0,17;0,15;2;5;18;24;9;5;6
10/12/2019;0,21;0,22;1;13;31;49;20;9;4
09/12/2019;0,15;0,15;2;4;22;28;31;10;6
08/12/2019;0,26;0,38;4;3;14;19;14;7;4
07/12/2019;0,62;0,6;6;35;34;86;25;16;6
06/12/2019;0,48;0,46;5;22;34;67;22;13;4
05/12/2019;0,45;0,38;4;54;41;123;28;13;2
04/12/2019;0,54;0,59;4;36;33;87;30;18;4
03/12/2019;0,35;0,27;2;26;31;71;12;8;1
02/12/2019;0,27;0,27;2;12;25;43;6;5;1
01/12/2019;0,2;0,21;1;2;20;22;7;6;1
30/11/2019;0,35;0,37;4;4;29;34;8;7;2
29/11/2019;0,54;0,58;5;49;43;117;30;19;3
28/11/2019;0,96;0,93;4;55;50;134;29;14;2
27/11/2019;0,25;0,21;1;7;27;37;9;5;1
26/11/2019;0,16;0,25;2;2;11;15;5;3;1
25/11/2019;0,43;0,32;2;23;34;69;17;7;1
24/11/2019;0,18;0,17;1;2;11;13;3;3;1
23/11/2019;0,15;0,14;2;1;8;9;5;3;1
22/11/2019;0,16;0,24;3;3;15;19;5;4;2
21/11/2019;0,27;0,23;2;23;30;64;15;7;2
20/11/2019;0,23;0,25;3;8;25;37;7;5;2
19/11/2019;0,32;0,34;2;22;33;65;13;9;2
18/11/2019;0,32;0,31;2;22;38;71;9;6;1
17/11/2019;0,19;0,16;3;1;13;14;4;3;1
16/11/2019;0,19;0,2;1;2;17;19;4;2;1
15/11/2019;0,18;0,17;1;6;24;33;4;3;1
14/11/2019;0,16;0,16;1;7;25;35;5;3;1
13/11/2019;0,2;0,21;1;15;34;57;11;5;1
12/11/2019;0,19;0,18;1;14;32;53;9;4;1
11/11/2019;0,15;0,16;1;5;23;30;13;5;1
10/11/2019;0,18;0,19;0;2;19;21;8;4;2
09/11/2019;0,22;0,23;0;1;13;14;17;9;2
08/11/2019;0,23;0,21;1;2;13;16;9;5;2
07/11/2019;0,17;0,18;2;4;17;23;8;5;3
06/11/2019;0,23;0,21;1;18;32;59;16;4;1
05/11/2019;0,15;0,15;1;1;14;16;6;3;1
04/11/2019;0,17;0,2;1;4;20;25;9;5;1
03/11/2019;0,26;0,24;1;1;13;14;10;6;5
02/11/2019;0,3;0,41;3;4;23;28;13;7;1
01/11/2019;0,61;0,56;3;11;31;47;14;8;1
31/10/2019;0,37;0,31;3;15;33;56;19;10;1
30/10/2019;0,23;0,25;4;5;27;35;14;8;1
29/10/2019;0,96;1,06;6;46;45;115;36;20;3
28/10/2019;0,57;0,47;4;22;45;77;24;13;3
27/10/2019;0,29;0,25;2;2;22;24;8;6;2
26/10/2019;0,25;0,24;1;1;16;18;5;4;2
25/10/2019;0,43;0,42;1;9;27;41;11;6;2
24/10/2019;0,24;0,21;1;12;29;47;10;5;2
23/10/2019;0,33;0,31;3;24;25;62;9;6;2
22/10/2019;0,51;0,53;2;64;37;134;30;14;4
21/10/2019;0,24;0,24;1;14;32;52;8;5;3
20/10/2019;0,22;0,19;0;1;16;16;2;2;2
19/10/2019;0,2;0,2;1;1;13;15;6;4;1
18/10/2019;0,28;0,27;1;15;41;63;16;8;2
17/10/2019;0,19;0,18;2;4;17;23;7;3;1
16/10/2019;0,15;0,14;2;1;10;12;3;2;1
15/10/2019;0,14;0,15;2;4;16;21;4;3;2
14/10/2019;0,24;0,28;3;6;20;29;13;6;1
13/10/2019;0,36;0,4;4;1;16;18;18;8;1
12/10/2019;0,57;0,52;4;3;20;24;20;9;1
11/10/2019;0,39;0,4;3;6;28;36;22;9;3
10/10/2019;0,29;0,26;1;20;36;67;21;8;3
09/10/2019;0,2;0,2;2;8;26;38;14;7;3
08/10/2019;0,3;0,37;2;22;32;65;26;10;7
07/10/2019;0,4;0,34;1;22;38;70;22;11;6
06/10/2019;0,27;0,25;1;3;22;25;16;8;3
05/10/2019;0,36;0,37;3;5;19;26;13;7;2
04/10/2019;0,26;0,38;2;15;31;53;18;8;4
03/10/2019;0,42;0,31;1;16;32;56;15;9;3
02/10/2019;0,18;0,17;1;2;19;23;10;5;3
01/10/2019;0,29;0,31;2;13;23;42;16;9;2
30/09/2019;0,31;0,29;2;14;28;49;20;8;2
29/09/2019;0,6;0,68;1;6;21;30;22;9;3
28/09/2019;0,33;0,25;1;2;19;22;16;7;2
27/09/2019;0,24;0,25;1;7;22;31;19;9;2
26/09/2019;0,36;0,36;2;15;23;46;27;9;2
25/09/2019;0,26;0,28;2;16;22;46;17;6;3
24/09/2019;0,24;0,47;3;3;16;20;17;7;2
23/09/2019;0,65;0,39;1;12;31;49;16;8;2
22/09/2019;0,27;0,23;2;1;14;14;11;5;2
21/09/2019;0,2;0,22;4;1;8;9;7;4;1
20/09/2019;0,49;0,61;4;16;30;54;36;16;1
19/09/2019;0,51;0,38;3;14;31;51;26;12;1
18/09/2019;0,28;0,29;4;11;21;38;21;14;1
17/09/2019;0,41;0,42;3;26;26;65;37;16;1
16/09/2019;0,3;0,32;3;11;30;45;24;10;2
15/09/2019;0,42;0,46;4;5;29;36;21;11;4
14/09/2019;0,51;0,43;4;10;35;50;27;15;5
