Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
18/07/2012;10;22;38;43;32;3
17/07/2012;11;27;45;52;28;5
16/07/2012;10;17;33;38;18;6
15/07/2012;7;8;20;41;16;3
14/07/2012;9;8;22;52;24;3
13/07/2012;9;11;25;55;17;3
12/07/2012;10;12;26;47;14;3
11/07/2012;8;13;25;41;15;3
10/07/2012;8;14;26;46;14;2
09/07/2012;9;15;29;48;22;3
08/07/2012;9;10;23;54;18;4
07/07/2012;24;11;49;49;16;4
06/07/2012;15;16;39;37;20;4
05/07/2012;3;10;15;50;17;3
04/07/2012;5;18;26;44;22;5
03/07/2012;5;24;31;48;24;6
02/07/2012;4;19;24;45;19;4
01/07/2012;1;7;9;49;14;4
30/06/2012;2;9;11;45;16;4
29/06/2012;4;14;19;32;25;3
28/06/2012;4;20;26;22;39;3
27/06/2012;2;17;20;;52;2
26/06/2012;7;30;41;28;41;3
25/06/2012;3;19;24;41;30;5
24/06/2012;1;18;20;51;38;8
23/06/2012;1;14;16;39;37;5
22/06/2012;4;15;21;42;30;6
21/06/2012;4;13;19;51;22;5
20/06/2012;8;18;30;35;32;5
19/06/2012;8;22;34;36;31;6
18/06/2012;5;19;26;42;15;6
17/06/2012;4;16;23;41;21;5
16/06/2012;4;13;19;41;16;6
15/06/2012;5;16;23;53;19;6
14/06/2012;4;12;19;65;17;8
13/06/2012;3;11;16;66;19;5
12/06/2012;3;8;12;47;11;5
11/06/2012;4;12;18;38;14;5
10/06/2012;3;15;20;31;18;6
09/06/2012;3;20;24;38;24;6
08/06/2012;2;12;15;54;20;5
07/06/2012;9;12;26;58;20;5
06/06/2012;6;22;30;41;24;5
05/06/2012;6;21;30;48;20;7
04/06/2012;6;16;24;40;20;5
03/06/2012;4;13;19;54;16;5
02/06/2012;9;15;29;56;23;6
01/06/2012;11;31;47;53;41;5
31/05/2012;10;25;40;47;32;5
30/05/2012;12;17;36;49;30;7
29/05/2012;9;17;31;56;29;5
28/05/2012;11;22;39;44;24;6
27/05/2012;12;15;33;53;19;7
26/05/2012;13;10;30;54;18;5
25/05/2012;11;15;32;65;34;5
24/05/2012;17;28;55;28;35;6
23/05/2012;6;22;31;31;21;7
22/05/2012;4;16;22;33;16;5
21/05/2012;2;8;12;76;9;4
20/05/2012;2;7;10;70;6;5
19/05/2012;10;11;48;64;11;5
18/05/2012;6;18;55;58;25;5
17/05/2012;4;13;19;85;42;5
16/05/2012;7;24;35;63;26;5
15/05/2012;4;13;19;66;22;5
14/05/2012;5;16;24;61;21;6
13/05/2012;3;10;15;57;21;6
12/05/2012;3;12;16;60;33;6
11/05/2012;9;24;38;34;30;6
10/05/2012;3;14;20;64;17;4
09/05/2012;3;9;13;65;8;4
08/05/2012;5;18;26;41;15;4
07/05/2012;3;10;15;58;11;4
06/05/2012;3;13;18;51;13;5
05/05/2012;3;12;17;68;9;4
04/05/2012;3;8;13;83;6;4
03/05/2012;3;13;18;65;11;4
02/05/2012;5;16;23;63;12;4
01/05/2012;3;8;13;71;9;4
30/04/2012;4;13;20;63;14;5
29/04/2012;3;8;12;69;7;4
28/04/2012;3;16;21;66;9;4
27/04/2012;4;19;24;59;10;4
26/04/2012;7;8;18;95;11;4
25/04/2012;12;11;30;87;16;4
24/04/2012;6;11;20;79;17;5
23/04/2012;6;10;18;75;15;5
22/04/2012;6;10;19;69;14;5
21/04/2012;9;17;31;59;17;6
20/04/2012;8;15;27;69;10;4
19/04/2012;14;11;32;81;9;4
18/04/2012;12;11;30;77;9;4
17/04/2012;9;12;25;65;14;4
16/04/2012;10;17;33;77;18;5
15/04/2012;7;10;20;85;11;4
14/04/2012;11;12;28;65;8;4
13/04/2012;5;13;20;70;8;4
12/04/2012;15;15;37;61;13;5
11/04/2012;5;13;20;62;7;4
10/04/2012;6;21;30;57;17;6
09/04/2012;4;19;25;40;15;6
08/04/2012;2;11;14;57;13;4
07/04/2012;2;9;12;79;19;4
06/04/2012;3;14;19;44;12;4
05/04/2012;2;15;18;53;12;5
04/04/2012;3;16;20;49;15;6
03/04/2012;3;17;23;58;26;9
02/04/2012;6;21;31;54;35;5
01/04/2012;2;13;16;54;32;4
31/03/2012;8;18;30;59;30;6
30/03/2012;12;35;53;56;41;7
29/03/2012;6;21;30;74;36;5
28/03/2012;7;27;38;69;36;5
27/03/2012;6;21;30;72;31;4
26/03/2012;8;23;36;61;32;5
25/03/2012;7;19;30;71;27;5
24/03/2012;5;15;23;78;17;5
23/03/2012;10;29;44;39;22;5
22/03/2012;8;22;33;48;15;4
21/03/2012;10;33;48;31;20;4
20/03/2012;7;18;29;54;18;4
19/03/2012;7;17;28;65;8;5
18/03/2012;5;7;15;74;6;5
17/03/2012;6;14;24;53;31;6
16/03/2012;9;30;45;44;54;8
15/03/2012;19;47;76;32;65;9
14/03/2012;16;48;72;17;55;8
13/03/2012;10;31;47;22;38;6
12/03/2012;;;;33;33;6
