Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);NO (µg/m3);NO2 (µg/m3)
04/07/2012;0,3;16;31;11;37;43
03/07/2012;0,26;17;29;9;42;51
02/07/2012;0,22;10;22;6;34;43
01/07/2012;0,13;5;12;4;19;21
30/06/2012;135;7;17;5;22;28
29/06/2012;247;6;24;6;36;35
28/06/2012;191;7;27;9;33;32
27/06/2012;477;9;54;14;62;42
26/06/2012;323;13;30;11;46;44
25/06/2012;296;12;35;11;39;45
24/06/2012;298;16;41;17;27;40
23/06/2012;600;11;29;9;22;36
22/06/2012;306;10;28;7;24;38
21/06/2012;194;7;22;6;16;39
20/06/2012;287;7;23;8;21;40
19/06/2012;204;8;;8;8;37
18/06/2012;187;6;;4;1;33
17/06/2012;201;14;18;6;2;31
16/06/2012;330;8;14;5;5;37
15/06/2012;566;12;27;8;22;44
14/06/2012;284;11;24;7;11;45
13/06/2012;173;7;18;5;1;32
12/06/2012;171;8;12;4;1;30
11/06/2012;216;8;14;5;12;37
10/06/2012;;7;16;5;1;27
09/06/2012;370;8;21;7;5;46
08/06/2012;203;8;19;5;7;35
07/06/2012;;5;18;5;3;32
06/06/2012;347;4;18;5;8;47
05/06/2012;199;10;24;7;12;50
04/06/2012;239;9;16;5;10;41
03/06/2012;145;3;11;4;5;26
02/06/2012;223;7;21;7;6;44
01/06/2012;305;10;42;12;24;67
31/05/2012;361;8;26;12;14;53
30/05/2012;294;8;24;8;16;42
29/05/2012;504;12;31;11;16;50
28/05/2012;291;12;24;7;17;57
27/05/2012;215;7;17;6;4;37
26/05/2012;374;9;14;5;8;44
25/05/2012;370;8;39;13;27;58
24/05/2012;506;7;33;14;44;63
23/05/2012;283;8;24;8;32;46
22/05/2012;227;4;18;5;17;41
21/05/2012;196;4;13;4;9;31
20/05/2012;161;3;6;3;8;23
19/05/2012;219;4;12;4;8;34
18/05/2012;233;3;25;5;10;42
17/05/2012;296;5;37;8;9;45
16/05/2012;511;5;38;8;23;53
15/05/2012;240;9;27;7;21;41
14/05/2012;335;8;32;14;33;45
