Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2012;6;10;19;9;6;4
30/12/2012;5;7;14;6;3;5
29/12/2012;5;8;15;8;5;4
28/12/2012;12;23;42;9;5;5
27/12/2012;13;25;45;10;5;6
26/12/2012;8;16;28;14;5;8
25/12/2012;6;17;26;11;4;8
24/12/2012;7;10;20;12;6;4
23/12/2012;6;7;17;7;5;4
22/12/2012;8;21;33;13;8;9
21/12/2012;14;31;53;15;6;8
20/12/2012;27;40;81;18;8;7
19/12/2012;29;36;80;22;12;9
18/12/2012;47;55;128;38;22;12
17/12/2012;10;22;37;20;6;13
16/12/2012;5;8;15;8;4;5
15/12/2012;6;13;22;14;6;6
14/12/2012;11;32;49;11;7;4
13/12/2012;9;18;32;;5;4
12/12/2012;29;40;84;24;16;8
11/12/2012;42;52;116;31;19;19
10/12/2012;93;60;203;41;26;21
09/12/2012;15;35;58;26;17;8
08/12/2012;5;12;20;17;5;3
07/12/2012;12;24;43;11;4;6
06/12/2012;8;25;36;15;10;9
05/12/2012;6;15;24;8;3;6
04/12/2012;8;17;29;10;3;4
03/12/2012;11;24;40;11;5;7
02/12/2012;7;19;29;20;15;12
01/12/2012;8;25;37;15;9;5
30/11/2012;12;28;46;11;6;4
29/11/2012;15;34;57;12;4;4
28/11/2012;16;28;52;11;5;4
27/11/2012;6;14;23;5;2;8
26/11/2012;14;27;49;14;5;8
25/11/2012;7;22;32;19;7;8
24/11/2012;6;11;21;18;8;4
23/11/2012;8;20;33;11;6;4
22/11/2012;27;43;85;30;17;10
21/11/2012;13;31;51;18;6;7
20/11/2012;15;35;57;16;9;8
19/11/2012;43;57;124;29;14;10
18/11/2012;5;12;20;14;4;5
17/11/2012;10;28;43;21;12;7
16/11/2012;16;33;59;30;16;8
15/11/2012;21;38;70;30;16;7
14/11/2012;22;49;83;30;16;12
13/11/2012;47;52;125;34;18;17
12/11/2012;45;56;125;26;14;15
11/11/2012;5;13;21;8;3;7
10/11/2012;6;11;19;7;4;7
09/11/2012;15;32;56;21;10;6
08/11/2012;9;24;37;14;7;6
07/11/2012;45;57;126;35;19;12
06/11/2012;18;36;63;20;8;6
05/11/2012;10;20;35;14;5;8
04/11/2012;6;11;19;8;3;6
03/11/2012;7;15;26;8;3;3
02/11/2012;11;25;42;8;5;6
01/11/2012;6;10;19;9;5;5
31/10/2012;43;51;116;30;18;16
30/10/2012;32;52;101;25;14;8
29/10/2012;21;42;74;18;9;8
28/10/2012;6;18;27;14;5;3
27/10/2012;6;10;19;12;5;3
26/10/2012;18;27;54;17;9;6
25/10/2012;9;24;39;18;12;6
24/10/2012;16;33;58;21;14;8
23/10/2012;58;52;141;38;22;16
22/10/2012;54;49;133;32;19;15
21/10/2012;4;23;29;9;5;5
20/10/2012;28;39;82;20;13;10
19/10/2012;13;36;55;14;8;4
18/10/2012;11;38;55;7;2;3
17/10/2012;6;18;27;14;6;3
16/10/2012;7;24;35;18;10;6
15/10/2012;14;36;57;16;7;9
14/10/2012;3;13;17;17;8;8
13/10/2012;10;27;43;29;14;11
12/10/2012;3;17;21;14;6;5
11/10/2012;18;32;59;23;13;8
10/10/2012;26;44;84;38;21;9
09/10/2012;26;47;86;37;20;15
08/10/2012;16;43;68;31;16;10
07/10/2012;8;34;46;45;29;18
06/10/2012;3;30;35;38;24;7
05/10/2012;19;46;74;37;25;12
04/10/2012;15;42;65;40;19;10
03/10/2012;33;41;92;32;18;17
02/10/2012;31;48;95;29;17;19
01/10/2012;29;42;86;25;14;18
30/09/2012;6;15;24;17;6;6
29/09/2012;6;12;21;13;4;5
28/09/2012;35;46;99;;18;14
27/09/2012;10;26;42;19;7;10
26/09/2012;7;15;25;9;4;8
25/09/2012;10;27;42;12;4;6
24/09/2012;12;30;48;19;6;6
23/09/2012;7;10;21;21;12;7
22/09/2012;10;37;52;36;20;9
21/09/2012;11;28;44;25;12;6
20/09/2012;32;53;101;47;27;11
19/09/2012;8;19;31;18;7;4
18/09/2012;14;28;48;12;5;5
17/09/2012;27;34;76;28;16;9
16/09/2012;15;27;50;25;15;10
15/09/2012;12;30;48;23;11;10
14/09/2012;18;30;57;21;7;6
13/09/2012;12;23;41;11;4;4
12/09/2012;14;27;49;10;4;4
11/09/2012;17;31;57;32;20;7
10/09/2012;13;30;49;35;23;7
09/09/2012;9;28;41;49;35;12
08/09/2012;12;42;60;47;35;15
07/09/2012;24;46;82;53;37;11
06/09/2012;18;40;68;42;28;9
05/09/2012;10;27;42;19;12;4
04/09/2012;12;25;43;14;7;5
03/09/2012;12;31;49;16;8;7
02/09/2012;9;21;35;23;12;11
01/09/2012;9;19;33;19;8;7
31/08/2012;11;25;42;16;5;4
30/08/2012;13;26;47;23;10;8
29/08/2012;11;26;43;14;6;5
28/08/2012;14;30;51;26;16;9
27/08/2012;12;31;48;23;11;7
26/08/2012;4;15;20;23;9;8
25/08/2012;2;8;12;13;4;4
24/08/2012;10;24;39;23;13;6
23/08/2012;10;22;38;21;7;4
22/08/2012;4;15;20;14;5;4
21/08/2012;6;17;26;18;10;5
20/08/2012;11;18;35;21;11;6
19/08/2012;3;6;10;16;8;4
18/08/2012;3;12;17;21;10;5
17/08/2012;;;;28;16;9
16/08/2012;;;;27;11;7
15/08/2012;;;;29;10;6
14/08/2012;11;32;48;26;14;8
13/08/2012;12;28;46;25;12;7
12/08/2012;5;14;22;21;11;9
11/08/2012;4;12;18;27;18;6
10/08/2012;15;52;75;50;37;12
09/08/2012;17;48;73;37;27;8
08/08/2012;15;42;65;32;17;9
07/08/2012;13;27;48;21;9;9
06/08/2012;12;20;38;14;5;7
05/08/2012;3;12;17;11;6;5
04/08/2012;6;18;27;18;8;7
03/08/2012;12;24;43;21;9;8
02/08/2012;8;22;34;12;5;4
01/08/2012;7;18;30;22;15;4
31/07/2012;12;21;39;20;12;7
30/07/2012;;;;19;10;7
29/07/2012;;;;14;6;4
28/07/2012;17;16;42;19;7;4
27/07/2012;18;28;55;27;16;6
26/07/2012;24;51;88;36;20;12
25/07/2012;24;43;80;30;17;12
24/07/2012;26;39;79;28;16;11
23/07/2012;24;35;71;23;13;10
22/07/2012;13;10;30;10;5;5
21/07/2012;11;15;33;10;5;5
20/07/2012;16;21;45;10;4;4
19/07/2012;14;22;43;12;6;5
18/07/2012;23;40;75;39;22;10
17/07/2012;26;57;97;33;17;13
16/07/2012;17;27;53;23;13;9
15/07/2012;7;8;18;12;5;5
14/07/2012;7;10;21;18;7;4
13/07/2012;22;33;67;24;12;8
12/07/2012;20;29;59;16;8;9
11/07/2012;12;29;48;9;4;4
10/07/2012;11;27;44;;4;4
09/07/2012;14;29;50;21;12;5
08/07/2012;6;9;17;12;6;6
07/07/2012;9;22;37;21;12;8
06/07/2012;10;22;38;18;8;7
05/07/2012;10;22;37;12;6;6
04/07/2012;22;38;73;29;18;16
03/07/2012;21;36;69;32;19;15
02/07/2012;20;32;63;21;11;9
01/07/2012;4;8;14;12;5;4
30/06/2012;7;19;30;17;8;9
29/06/2012;15;32;56;26;12;8
28/06/2012;13;34;55;33;18;6
27/06/2012;16;45;69;64;36;11
26/06/2012;19;37;67;41;25;8
25/06/2012;18;40;69;35;23;15
24/06/2012;8;33;44;41;29;21
23/06/2012;5;19;27;26;11;11
22/06/2012;15;34;57;27;10;8
21/06/2012;7;29;40;24;12;5
20/06/2012;11;33;50;36;21;5
19/06/2012;9;31;45;20;11;4
18/06/2012;8;24;36;12;5;4
17/06/2012;3;19;24;18;10;8
16/06/2012;3;21;25;14;7;5
15/06/2012;11;33;50;30;17;9
14/06/2012;10;35;51;25;15;7
13/06/2012;5;21;29;16;6;5
12/06/2012;6;18;28;11;6;5
11/06/2012;12;23;41;15;6;6
10/06/2012;4;21;27;16;9;7
09/06/2012;7;29;40;24;13;7
08/06/2012;9;24;37;20;7;5
07/06/2012;6;25;34;20;9;5
06/06/2012;7;30;40;21;10;5
05/06/2012;17;38;64;31;20;10
04/06/2012;5;21;29;14;6;5
03/06/2012;2;11;14;10;5;4
02/06/2012;3;22;27;21;13;7
01/06/2012;25;59;97;49;27;11
31/05/2012;8;29;41;;17;6
30/05/2012;10;25;41;24;15;9
29/05/2012;19;41;71;44;29;10
