Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
31/12/2012;0,25;5;7;15;62;16;4
30/12/2012;0,33;6;20;30;42;14;7
29/12/2012;0,17;5;16;23;57;14;7
28/12/2012;0,22;6;14;23;50;12;5
27/12/2012;0,23;6;16;24;47;26;6
26/12/2012;0,29;12;25;43;37;33;6
25/12/2012;0,24;7;23;35;43;18;5
24/12/2012;0,18;5;6;14;64;12;4
23/12/2012;0,32;5;6;13;61;11;4
22/12/2012;0,3;6;17;26;44;11;5
21/12/2012;0,3;7;19;30;52;22;5
20/12/2012;0,26;13;28;47;42;21;5
19/12/2012;0,27;13;22;42;36;12;5
18/12/2012;0,34;12;37;55;18;23;6
17/12/2012;0,26;9;20;34;58;54;6
16/12/2012;0,17;6;8;16;67;36;6
15/12/2012;0,2;7;14;24;62;33;9
14/12/2012;0,22;6;16;26;62;11;5
13/12/2012;0,2;7;9;20;54;9;6
12/12/2012;0,19;10;24;39;28;15;6
11/12/2012;0,4;23;39;74;18;26;8
10/12/2012;0,56;52;45;124;5;34;8
09/12/2012;0,45;13;28;48;25;22;6
08/12/2012;0,16;6;9;18;69;23;5
07/12/2012;0,18;6;10;19;59;15;5
06/12/2012;0,34;8;23;36;42;21;6
05/12/2012;0,13;6;8;18;73;27;5
04/12/2012;0,13;6;7;15;74;21;5
03/12/2012;0,14;7;15;25;58;24;7
02/12/2012;0,26;7;17;27;45;17;6
01/12/2012;0,37;12;24;43;33;19;6
30/11/2012;0,23;10;25;40;44;15;6
29/11/2012;0,13;5;5;13;71;16;5
28/11/2012;0,22;6;4;13;64;17;5
27/11/2012;0,12;6;10;19;71;;6
26/11/2012;0,23;5;8;16;66;;5
25/11/2012;0,26;5;13;21;51;24;5
24/11/2012;0,24;5;7;14;66;25;5
23/11/2012;0,17;5;10;17;65;20;5
22/11/2012;0,22;8;26;39;41;24;7
21/11/2012;0,19;8;22;34;55;27;6
20/11/2012;0,28;6;23;33;45;14;6
19/11/2012;0,28;14;36;58;22;23;6
18/11/2012;0,18;6;13;22;57;26;5
17/11/2012;0,32;9;26;39;28;27;6
16/11/2012;0,3;9;28;41;32;27;6
15/11/2012;0,24;8;24;36;38;31;6
14/11/2012;0,34;15;31;54;27;30;6
13/11/2012;0,4;30;38;84;17;26;7
12/11/2012;0,39;24;42;79;18;28;7
11/11/2012;0,24;6;17;25;64;25;6
10/11/2012;0,26;5;12;20;57;14;5
09/11/2012;0,26;8;21;34;33;22;6
08/11/2012;0,22;7;21;31;38;14;6
07/11/2012;0,3;18;36;64;18;21;6
06/11/2012;0,23;10;22;37;49;25;6
05/11/2012;0,16;6;14;24;55;28;9
04/11/2012;0,16;5;9;16;61;12;6
03/11/2012;0,16;5;5;13;66;13;5
02/11/2012;0,16;6;12;21;54;14;5
01/11/2012;0,15;5;7;15;66;18;6
31/10/2012;0,34;17;33;58;30;22;8
30/10/2012;0,28;17;37;63;24;;7
29/10/2012;0,24;16;29;54;28;16;7
28/10/2012;0,13;6;14;22;54;15;5
27/10/2012;0,12;5;5;12;64;18;5
26/10/2012;0,26;7;18;30;40;18;5
25/10/2012;0,19;6;16;25;43;13;5
24/10/2012;0,19;7;26;37;34;18;6
23/10/2012;0,41;24;31;67;23;30;6
22/10/2012;0,39;28;34;77;15;33;7
21/10/2012;0,23;5;13;21;52;10;5
20/10/2012;0,33;10;28;43;22;17;6
19/10/2012;0,2;6;16;26;52;15;5
18/10/2012;0,12;5;4;11;77;15;5
17/10/2012;0,1;5;9;16;69;27;5
16/10/2012;0,14;5;17;25;48;19;6
15/10/2012;0,19;8;24;36;45;19;7
14/10/2012;0,16;5;12;19;53;25;6
13/10/2012;0,26;7;23;34;31;25;6
12/10/2012;0,17;5;13;21;52;15;6
11/10/2012;0,21;7;15;27;42;18;5
10/10/2012;0,25;9;20;33;28;26;5
09/10/2012;0,23;10;20;35;36;21;5
08/10/2012;0,22;6;18;27;36;21;5
07/10/2012;0,24;5;19;27;35;22;5
06/10/2012;0,28;5;17;25;64;28;5
05/10/2012;0,29;8;29;41;59;34;7
04/10/2012;0,27;10;27;43;41;37;6
03/10/2012;0,24;10;22;37;41;29;6
02/10/2012;0,22;13;33;54;31;33;7
01/10/2012;0,19;10;28;43;40;24;7
30/09/2012;0,2;5;15;23;53;26;5
29/09/2012;0,15;5;4;12;67;15;5
28/09/2012;0,36;13;25;45;34;33;7
27/09/2012;0,2;7;17;28;57;31;7
26/09/2012;0,16;5;8;16;58;24;5
25/09/2012;0,13;5;9;17;63;20;5
24/09/2012;0,15;5;8;15;69;30;5
23/09/2012;0,21;4;7;14;68;24;5
22/09/2012;0,28;5;20;28;62;29;5
21/09/2012;0,24;5;10;17;75;28;5
20/09/2012;0,26;8;30;42;44;32;6
19/09/2012;0,17;5;16;23;53;19;5
18/09/2012;0,12;4;5;12;59;22;5
17/09/2012;0,3;8;16;29;44;24;5
16/09/2012;0,28;6;17;27;45;29;5
15/09/2012;0,21;6;20;29;46;27;6
14/09/2012;0,2;9;18;33;57;23;5
13/09/2012;0,2;4;4;11;60;15;5
12/09/2012;0,19;4;4;11;60;11;5
11/09/2012;0,33;6;12;22;54;34;5
10/09/2012;0,34;5;11;19;68;33;5
09/09/2012;0,47;5;16;24;74;44;5
08/09/2012;0,44;6;27;37;69;48;5
07/09/2012;0,32;7;24;34;65;43;5
06/09/2012;0,41;9;27;41;65;40;5
05/09/2012;0,23;4;8;14;78;22;5
04/09/2012;0,2;5;9;17;58;18;5
03/09/2012;0,21;4;5;12;61;15;5
02/09/2012;0,31;6;17;26;57;21;6
01/09/2012;0,26;5;15;24;58;21;5
31/08/2012;0,13;4;3;9;68;21;5
30/08/2012;0,31;4;10;16;50;23;5
29/08/2012;0,27;4;8;15;52;17;5
28/08/2012;0,32;6;12;21;53;25;5
27/08/2012;0,28;5;12;20;57;24;5
26/08/2012;0,26;6;13;22;45;24;5
25/08/2012;0,16;4;4;11;60;18;5
24/08/2012;0,34;6;14;23;54;24;5
23/08/2012;0,31;5;13;20;54;;5
22/08/2012;0,21;4;6;12;55;15;5
21/08/2012;0,27;4;5;12;46;15;5
20/08/2012;0,36;7;10;21;38;19;5
19/08/2012;0,28;4;4;10;49;20;5
18/08/2012;0,31;4;7;14;54;23;5
17/08/2012;0,43;5;18;26;79;34;5
16/08/2012;0,28;7;21;31;69;38;5
15/08/2012;0,22;4;6;12;63;32;5
14/08/2012;0,28;5;13;21;49;21;5
13/08/2012;0,24;6;12;21;48;19;5
12/08/2012;0,34;5;12;21;43;19;5
11/08/2012;0,27;4;6;13;64;28;5
10/08/2012;0,41;7;16;26;74;45;5
09/08/2012;0,35;6;14;24;73;34;5
08/08/2012;0,29;6;15;25;74;28;5
07/08/2012;0,34;9;17;30;46;22;5
06/08/2012;0,3;6;12;21;43;17;5
05/08/2012;0,21;5;7;14;51;14;5
04/08/2012;0,32;5;13;21;39;23;5
03/08/2012;0,31;8;12;25;41;29;5
02/08/2012;0,22;4;6;12;52;20;5
01/08/2012;0,27;4;6;13;68;23;5
31/07/2012;0,32;6;12;21;49;19;5
30/07/2012;0,33;10;13;28;42;18;5
29/07/2012;0,26;5;7;14;49;16;5
28/07/2012;0,2;4;3;9;67;22;5
27/07/2012;0,28;5;8;15;86;26;5
26/07/2012;0,41;6;23;31;73;39;5
25/07/2012;0,42;8;22;35;65;38;5
24/07/2012;0,3;7;22;32;68;35;5
23/07/2012;0,36;10;19;34;60;24;5
22/07/2012;0,26;6;13;22;37;15;5
21/07/2012;0,23;6;10;19;39;11;5
20/07/2012;0,16;4;3;10;46;10;4
19/07/2012;0,18;4;3;10;52;12;4
18/07/2012;0,26;7;15;26;50;27;5
17/07/2012;0,26;9;21;35;62;29;5
16/07/2012;0,24;8;14;27;47;18;5
15/07/2012;0,1;5;6;13;49;18;5
14/07/2012;0,12;5;4;11;56;28;5
13/07/2012;0,16;7;16;27;52;23;5
12/07/2012;0,22;9;15;28;45;16;6
11/07/2012;0,12;5;7;14;60;8;6
10/07/2012;0,11;5;7;14;61;;5
09/07/2012;0,2;6;11;21;56;16;5
08/07/2012;0,14;5;4;11;60;17;5
07/07/2012;0,18;6;11;20;46;17;5
06/07/2012;0,14;5;8;16;48;21;5
05/07/2012;0,11;6;7;16;52;18;5
04/07/2012;0,34;11;24;41;42;32;8
03/07/2012;0,35;13;28;49;49;24;10
02/07/2012;0,13;7;14;25;53;;6
01/07/2012;0,09;5;7;14;59;16;5
30/06/2012;174;6;12;21;49;19;5
29/06/2012;282;8;15;27;42;26;5
28/06/2012;206;5;9;16;49;31;4
27/06/2012;290;7;25;36;67;56;5
26/06/2012;310;7;13;24;45;30;4
25/06/2012;329;9;17;31;58;31;6
24/06/2012;452;7;18;29;62;57;6
23/06/2012;312;6;15;24;46;44;5
22/06/2012;234;7;13;24;51;32;5
21/06/2012;169;5;10;17;65;24;5
20/06/2012;199;6;10;19;57;21;4
19/06/2012;192;4;9;15;62;18;4
18/06/2012;130;5;6;13;63;11;4
17/06/2012;206;5;8;15;57;20;4
16/06/2012;230;4;9;16;57;14;4
15/06/2012;219;7;14;26;64;29;6
14/06/2012;138;6;13;21;69;20;5
13/06/2012;96;5;6;13;78;17;5
12/06/2012;102;5;5;12;57;17;4
11/06/2012;124;6;9;18;49;19;4
10/06/2012;126;5;8;16;42;18;4
09/06/2012;157;6;15;24;48;25;5
08/06/2012;155;5;8;16;61;30;4
07/06/2012;107;4;7;13;66;23;4
06/06/2012;135;5;12;20;55;17;4
05/06/2012;154;7;17;27;60;22;5
04/06/2012;166;5;10;18;51;16;4
03/06/2012;157;3;3;8;76;13;4
02/06/2012;220;3;12;17;66;24;4
01/06/2012;221;6;19;29;70;32;4
31/05/2012;138;4;10;15;62;20;4
30/05/2012;128;4;8;14;65;22;4
29/05/2012;205;6;16;25;64;32;4
28/05/2012;161;6;14;23;54;24;4
27/05/2012;164;5;12;19;64;20;5
26/05/2012;127;4;8;14;67;16;4
25/05/2012;240;6;21;30;70;39;4
24/05/2012;239;12;19;37;44;28;4
23/05/2012;245;11;15;31;39;25;4
22/05/2012;175;3;8;14;47;19;4
21/05/2012;133;3;4;9;80;22;4
20/05/2012;113;3;5;10;78;9;4
19/05/2012;103;3;5;10;79;12;4
18/05/2012;106;3;6;11;77;29;3
17/05/2012;147;3;9;14;86;42;4
16/05/2012;135;4;13;20;78;23;4
15/05/2012;167;6;11;20;77;27;4
14/05/2012;243;9;17;31;65;24;5
13/05/2012;165;3;7;12;70;24;4
12/05/2012;168;3;4;9;73;30;3
11/05/2012;141;3;5;10;52;15;3
10/05/2012;173;4;14;20;68;14;4
09/05/2012;141;4;12;19;56;12;4
08/05/2012;162;4;11;17;57;12;4
07/05/2012;151;5;15;22;63;14;5
06/05/2012;278;5;16;24;63;17;5
05/05/2012;129;4;6;12;85;8;4
04/05/2012;106;4;7;13;90;8;4
03/05/2012;160;4;17;24;72;13;5
02/05/2012;223;6;18;27;80;12;5
01/05/2012;177;6;8;17;85;9;4
30/04/2012;288;8;21;33;63;22;5
29/04/2012;267;6;18;27;70;14;6
28/04/2012;252;6;14;23;77;11;4
27/04/2012;251;8;24;36;69;19;5
26/04/2012;159;5;8;16;99;18;4
25/04/2012;154;5;7;15;89;30;5
24/04/2012;154;5;7;15;84;30;4
23/04/2012;224;5;11;19;76;26;5
22/04/2012;189;4;7;14;85;17;5
21/04/2012;224;5;12;21;70;25;5
20/04/2012;206;6;14;23;77;20;5
19/04/2012;199;4;5;12;93;29;5
18/04/2012;194;5;8;15;85;36;5
17/04/2012;285;7;21;31;64;20;7
16/04/2012;170;4;5;11;92;18;4
15/04/2012;150;3;5;10;93;14;4
14/04/2012;165;4;12;17;75;10;4
13/04/2012;136;4;10;16;81;11;5
12/04/2012;136;3;6;11;80;19;4
