Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);SO2 (µg/m3);PM10 (µg/m3)
19/06/2012;11;31;48;1;20
18/06/2012;6;17;26;1;8
17/06/2012;5;15;24;2;13
16/06/2012;7;21;32;3;15
15/06/2012;15;27;52;3;21
10/06/2012;6;16;26;3;12
09/06/2012;7;25;37;3;16
08/06/2012;7;20;33;3;16
07/06/2012;6;20;30;3;12
06/06/2012;7;23;34;3;16
05/06/2012;12;32;51;5;18
04/06/2012;10;27;44;4;16
03/06/2012;5;14;23;3;8
02/06/2012;8;25;39;5;21
01/06/2012;14;37;60;5;29
31/05/2012;7;34;47;4;26
30/05/2012;10;24;40;5;23
29/05/2012;10;28;45;5;26
28/05/2012;9;25;40;5;20
27/05/2012;7;20;32;6;14
26/05/2012;5;16;25;4;11
25/05/2012;15;26;51;4;29
24/05/2012;21;44;77;4;28
23/05/2012;23;24;60;3;17
22/05/2012;10;27;44;3;12
21/05/2012;7;33;44;2;10
20/05/2012;5;19;28;2;4
19/05/2012;5;23;32;2;7
18/05/2012;7;24;35;3;17
17/05/2012;6;25;35;6;33
16/05/2012;9;27;42;4;19
15/05/2012;14;30;53;6;30
14/05/2012;17;31;58;5;23
13/05/2012;6;22;31;3;19
12/05/2012;5;17;25;3;19
11/05/2012;17;29;55;4;23
10/05/2012;15;33;58;6;14
09/05/2012;5;24;33;6;8
08/05/2012;12;35;55;4;13
07/05/2012;15;26;51;6;18
06/05/2012;8;26;39;5;17
05/05/2012;5;19;28;4;8
04/05/2012;6;29;38;5;9
03/05/2012;10;37;54;5;12
02/05/2012;13;40;62;5;14
01/05/2012;4;20;29;3;7
30/04/2012;11;37;56;6;16
29/04/2012;5;28;38;2;10
28/04/2012;7;35;46;1;7
27/04/2012;13;55;76;2;13
26/04/2012;5;21;30;3;9
25/04/2012;5;16;24;3;
24/04/2012;6;24;34;3;13
23/04/2012;7;27;39;3;13
22/04/2012;5;20;28;4;13
21/04/2012;8;27;41;3;13
20/04/2012;12;39;59;2;14
19/04/2012;6;30;41;2;6
17/04/2012;14;32;55;4;18
16/04/2012;4;17;25;4;13
15/04/2012;3;13;20;3;7
14/04/2012;5;22;31;3;9
13/04/2012;6;32;42;4;10
12/04/2012;10;24;40;5;13
11/04/2012;11;24;42;7;12
10/04/2012;9;33;48;5;11
09/04/2012;8;27;40;6;14
08/04/2012;4;19;27;6;13
07/04/2012;5;26;35;4;14
06/04/2012;5;25;34;4;11
05/04/2012;7;25;37;5;12
04/04/2012;14;32;55;6;23
03/04/2012;8;46;60;5;21
02/04/2012;13;28;49;;31
01/04/2012;12;29;48;8;35
31/03/2012;12;38;58;11;32
30/03/2012;26;54;96;9;37
