Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2012;8;8;19;56;3;
30/12/2012;10;9;22;38;4;
29/12/2012;9;8;20;54;3;
28/12/2012;9;8;19;45;3;
27/12/2012;6;8;16;41;4;
26/12/2012;37;10;64;19;9;
25/12/2012;13;10;27;30;5;
24/12/2012;8;8;17;59;4;
23/12/2012;7;8;16;55;4;
22/12/2012;9;9;20;34;5;
21/12/2012;17;9;33;41;8;
20/12/2012;39;10;67;30;8;
19/12/2012;39;12;68;28;8;
18/12/2012;30;12;55;16;8;
17/12/2012;39;11;68;20;10;
16/12/2012;13;8;25;55;5;
15/12/2012;14;9;28;57;6;
14/12/2012;16;10;31;55;4;
13/12/2012;14;8;26;49;4;
12/12/2012;15;8;27;25;;
11/12/2012;50;10;86;9;28;
10/12/2012;70;9;116;5;32;
09/12/2012;19;7;36;20;15;
08/12/2012;6;5;15;52;19;
07/12/2012;20;7;37;42;15;
06/12/2012;13;6;25;33;13;
05/12/2012;10;7;22;50;12;
04/12/2012;10;8;22;51;13;
03/12/2012;33;8;58;30;19;
02/12/2012;16;7;31;32;18;
01/12/2012;23;7;42;20;19;
30/11/2012;27;8;49;27;20;
29/11/2012;14;7;28;50;12;
28/11/2012;13;6;25;49;13;
27/11/2012;12;8;25;39;10;
26/11/2012;11;6;23;29;19;
25/11/2012;13;6;24;33;15;
24/11/2012;8;5;17;58;18;
23/11/2012;9;6;19;55;14;
22/11/2012;39;8;66;25;23;
21/11/2012;29;8;52;35;21;
20/11/2012;25;8;47;26;19;
19/11/2012;55;10;94;13;20;
18/11/2012;15;6;28;41;15;
17/11/2012;19;6;34;26;18;
16/11/2012;19;7;36;25;22;
15/11/2012;23;8;43;22;25;
14/11/2012;48;9;82;20;33;
13/11/2012;60;8;99;13;20;
12/11/2012;49;10;84;12;22;
11/11/2012;9;7;20;44;10;
10/11/2012;8;7;18;42;12;
09/11/2012;21;8;40;20;21;
08/11/2012;11;8;24;31;11;
07/11/2012;36;10;65;15;22;
06/11/2012;29;10;53;24;17;
05/11/2012;14;8;28;38;15;
04/11/2012;10;7;20;37;9;
03/11/2012;9;6;20;51;7;
02/11/2012;10;6;22;46;9;
01/11/2012;7;6;18;51;15;
31/10/2012;48;10;84;16;29;
30/10/2012;44;9;77;19;21;
29/10/2012;49;9;84;17;22;
28/10/2012;8;6;18;39;10;
27/10/2012;4;5;11;58;16;
26/10/2012;18;8;36;25;17;
25/10/2012;10;6;23;35;17;
24/10/2012;19;8;37;25;23;
23/10/2012;50;8;85;16;25;
22/10/2012;60;9;102;10;30;
21/10/2012;10;7;22;29;13;
20/10/2012;15;7;31;15;17;
19/10/2012;20;8;39;25;14;
18/10/2012;9;7;22;47;10;
17/10/2012;6;6;16;52;16;
16/10/2012;14;7;29;37;18;
15/10/2012;26;8;48;25;17;
14/10/2012;6;6;16;43;14;
13/10/2012;12;6;25;25;19;
12/10/2012;8;6;19;37;11;
11/10/2012;15;7;31;29;22;
10/10/2012;27;8;50;16;33;
09/10/2012;24;8;45;21;23;
08/10/2012;19;7;37;24;24;
07/10/2012;13;6;27;24;22;
06/10/2012;8;8;21;41;28;
05/10/2012;27;10;51;32;41;
04/10/2012;32;6;54;23;25;
03/10/2012;25;4;42;35;23;
02/10/2012;29;5;49;29;25;
01/10/2012;23;5;40;29;22;
30/09/2012;15;3;25;30;15;
29/09/2012;7;3;13;51;13;
28/09/2012;28;5;46;29;26;
27/09/2012;29;5;48;35;21;
26/09/2012;7;3;13;47;11;
25/09/2012;4;2;8;61;11;
24/09/2012;7;4;13;56;18;
23/09/2012;7;2;12;65;24;
22/09/2012;12;4;22;47;29;
21/09/2012;8;3;15;67;26;
20/09/2012;26;6;44;38;27;
19/09/2012;12;4;22;39;;
18/09/2012;18;4;30;34;;
17/09/2012;23;3;37;39;;
16/09/2012;13;4;22;36;;
15/09/2012;13;4;22;39;;
14/09/2012;25;4;41;37;;
13/09/2012;7;2;12;44;;
12/09/2012;14;4;24;39;;
11/09/2012;21;4;36;45;;
10/09/2012;18;4;32;52;;
09/09/2012;10;3;18;61;;
08/09/2012;14;5;26;62;;
07/09/2012;20;6;35;48;;
06/09/2012;18;5;32;52;;
05/09/2012;23;5;38;45;;
04/09/2012;31;5;51;27;;
03/09/2012;14;4;25;43;;
02/09/2012;8;3;14;47;;
01/09/2012;10;3;18;47;;
31/08/2012;23;4;38;37;;
30/08/2012;14;4;24;36;;
29/08/2012;13;3;22;39;;
28/08/2012;14;4;25;49;;
27/08/2012;11;4;20;54;;
26/08/2012;8;3;14;39;;
25/08/2012;5;2;8;57;;
24/08/2012;12;4;21;50;;
23/08/2012;;;;47;;
22/08/2012;11;3;19;45;;
21/08/2012;12;3;21;44;;
20/08/2012;17;3;28;42;;
19/08/2012;12;4;21;43;;
18/08/2012;14;5;25;51;;
17/08/2012;16;6;29;66;;
16/08/2012;10;5;19;60;;
15/08/2012;7;4;14;63;;
14/08/2012;14;6;26;43;;
13/08/2012;17;7;31;45;;
12/08/2012;13;7;26;41;;
11/08/2012;13;8;27;55;;
10/08/2012;18;10;37;69;;
09/08/2012;20;10;39;61;;
08/08/2012;17;8;34;68;;
07/08/2012;21;8;39;49;;
06/08/2012;18;8;35;40;21;
05/08/2012;11;7;23;44;13;
04/08/2012;15;7;29;39;19;
03/08/2012;17;7;32;38;24;
02/08/2012;10;7;22;44;20;
