station,town,zone,lat,lon,elev_point_m,elev_mean_500m,elev_std_500m,elev_tri_500m,elev_mean_1000m,elev_std_1000m,elev_tri_1000m,elev_mean_2000m,elev_std_2000m,elev_tri_2000m,slope_deg,vegetation_proxy_1000m,vegetation_proxy_2000m,ndvi_note,dist_port_bilbao_m,log_dist_port_bilbao,dist_petronor_m,log_dist_petronor,dist_ap8_barakaldo_m,log_dist_ap8_barakaldo,dist_coast_getxo_m,log_dist_coast_getxo,dist_bilbao_centre_m,log_dist_bilbao_centre,dist_nervion_mouth_m,log_dist_nervion_mouth,net_dist_ap8_m,net_dist_centre_m,green_pct_500m,industrial_pct_500m,residential_pct_500m,commercial_pct_500m,road_density_500m,green_pct_1000m,industrial_pct_1000m,residential_pct_1000m,commercial_pct_1000m,road_density_1000m,green_pct_2000m,industrial_pct_2000m,residential_pct_2000m,commercial_pct_2000m,road_density_2000m
ALGORTA_BBIZI2,Getxo,Coastal,43.362056,-3.022782,63.35839080810547,39.8,31.3,89.7,36.3,32.6,94.4,26.5,29.5,98.1,3.98,16.95,16.55,OSM green_pct proxy (Sentinel-2 NDVI: future work),4373.0,8.3834,7028.0,8.8578,7838.0,8.9669,2561.0,7.8486,13106.0,9.4809,2001.0,7.6022,,,5.8,0.0,39.07,0.0,9690.5,16.95,0.03,39.11,0.0,9932.8,16.55,0.7,27.25,0.03,7933.3
BARAKALDO,Barakaldo,Industrial,43.298379,-2.987133,20.54435157775879,24.7,14.0,75.1,17.4,15.0,79.6,20.1,21.5,103.8,7.34,23.82,26.99,OSM green_pct proxy (Sentinel-2 NDVI: future work),5934.0,8.6887,8044.0,8.9928,354.0,5.8724,9992.0,9.2096,5769.0,8.6605,9237.0,9.1311,,,12.11,0.3,0.0,0.0,23207.8,23.82,10.05,0.41,0.0,21267.0,26.99,18.91,2.74,3.4,18901.3
BASAURI,Basauri,Industrial,43.241131,-2.883761,54.021419525146484,47.0,11.8,51.7,57.3,28.7,158.1,104.6,76.9,363.0,5.54,25.29,46.15,OSM green_pct proxy (Sentinel-2 NDVI: future work),16440.0,9.7075,18208.0,9.8097,10513.0,9.2605,19427.0,9.8745,4810.0,8.4786,19379.0,9.872,,,19.52,31.78,0.0,0.06,18499.0,25.29,20.95,7.67,2.65,15953.8,46.15,14.77,7.94,1.12,12969.4
ERANDIO,Erandio,Urban,43.302653,-2.97724,6.7,6.7,9.8,70.1,23.4,27.2,103.8,22.9,23.5,129.7,3.59,25.72,31.71,OSM green_pct proxy (Sentinel-2 NDVI: future work),6400.0,8.7643,8722.0,9.0738,1264.0,7.1427,9788.0,9.189,5580.0,8.6271,9280.0,9.1357,,,8.85,11.0,0.27,0.87,18939.6,25.72,11.63,7.55,0.22,18630.8,31.71,15.25,4.68,0.18,16799.8
MAZARREDO,Bilbao,Urban,43.267506,-2.935188,16.14110565185547,21.3,15.6,101.3,40.7,37.5,185.6,78.5,66.2,254.7,13.84,23.82,34.34,OSM green_pct proxy (Sentinel-2 NDVI: future work),11346.0,9.3367,13177.0,9.4863,5419.0,8.5979,14756.0,9.5995,501.0,6.2191,14450.0,9.5785,,,22.06,1.07,92.09,0.0,21347.1,23.82,1.69,77.14,0.0,19059.6,34.34,1.52,66.42,0.0,17479.9
MUSKIZ,Muskiz,Refinery,43.320713,-3.112716,29.29683494567871,24.9,17.0,78.0,31.4,32.0,169.0,82.8,70.2,342.7,7.02,26.66,41.88,OSM green_pct proxy (Sentinel-2 NDVI: future work),5241.0,8.5645,2421.0,7.7924,10332.0,9.2431,10358.0,9.2457,15750.0,9.6647,7747.0,8.9552,,,27.1,16.72,48.17,0.0,17451.4,26.66,34.58,29.59,0.0,10634.7,41.88,17.08,19.16,0.1,8442.4
SANTURCE,Santurtzi,Port,43.333012,-3.04256,93.06144714355469,81.5,66.2,243.4,73.3,75.2,280.3,65.1,87.1,445.1,16.25,31.62,33.29,OSM green_pct proxy (Sentinel-2 NDVI: future work),784.0,6.6654,3762.0,8.2329,5951.0,8.6914,6062.0,8.7099,11678.0,9.3655,4118.0,8.3233,,,41.23,15.28,6.01,0.0,21317.2,31.62,25.59,7.04,0.0,13279.6,33.29,20.48,2.85,0.06,8075.5
