station,town,zone,lat,lon,green_pct_500m,industrial_pct_500m,residential_pct_500m,commercial_pct_500m,road_density_500m,green_pct_1000m,industrial_pct_1000m,residential_pct_1000m,commercial_pct_1000m,road_density_1000m,green_pct_2000m,industrial_pct_2000m,residential_pct_2000m,commercial_pct_2000m,road_density_2000m
ALGORTA_BBIZI2,Getxo,Coastal,43.362056,-3.022782,5.8,0.0,39.07,0.0,9690.5,16.95,0.03,39.11,0.0,9932.8,16.55,0.7,27.25,0.03,7933.3
BARAKALDO,Barakaldo,Industrial,43.298379,-2.987133,12.11,0.3,0.0,0.0,23207.8,23.82,10.05,0.41,0.0,21267.0,26.99,18.91,2.74,3.4,18901.3
BASAURI,Basauri,Industrial,43.241131,-2.883761,19.52,31.78,0.0,0.06,18499.0,25.29,20.95,7.67,2.65,15953.8,46.15,14.77,7.94,1.12,12969.4
ERANDIO,Erandio,Urban,43.302653,-2.97724,8.85,11.0,0.27,0.87,18939.6,25.72,11.63,7.55,0.22,18630.8,31.71,15.25,4.68,0.18,16799.8
MAZARREDO,Bilbao,Urban,43.267506,-2.935188,22.06,1.07,92.09,0.0,21347.1,23.82,1.69,77.14,0.0,19059.6,34.34,1.52,66.42,0.0,17479.9
MUSKIZ,Muskiz,Refinery,43.320713,-3.112716,27.1,16.72,48.17,0.0,17451.4,26.66,34.58,29.59,0.0,10634.7,41.88,17.08,19.16,0.1,8442.4
SANTURCE,Santurtzi,Port,43.333012,-3.04256,41.23,15.28,6.01,0.0,21317.2,31.62,25.59,7.04,0.0,13279.6,33.29,20.48,2.85,0.06,8075.5
