Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
20/07/2023;8;20;33;16;8;3
19/07/2023;3;13;18;18;9;3
18/07/2023;5;16;24;26;14;3
17/07/2023;3;12;16;27;15;3
16/07/2023;2;9;12;22;12;4
15/07/2023;4;17;23;18;9;4
14/07/2023;7;17;26;16;8;3
13/07/2023;2;12;14;10;6;3
12/07/2023;7;14;25;16;10;3
11/07/2023;7;18;29;23;12;4
10/07/2023;2;13;16;15;9;3
09/07/2023;1;7;9;11;7;3
08/07/2023;1;10;13;17;12;3
07/07/2023;6;16;25;22;13;3
06/07/2023;5;14;21;16;9;3
05/07/2023;3;12;17;16;9;3
04/07/2023;6;14;24;18;10;5
03/07/2023
02/07/2023
01/07/2023
30/06/2023;3;15;19;14;7;3
29/06/2023;4;19;25;23;12;3
28/06/2023;2;14;18;18;9;3
27/06/2023;1;8;10;12;7;3
26/06/2023;2;11;13;12;7;3
25/06/2023;1;9;11;18;13;3
24/06/2023;2;12;15;23;17;3
23/06/2023;4;11;18;21;13;3
22/06/2023;2;12;15;13;8;3
21/06/2023;2;20;23;13;9;2
20/06/2023;2;19;22;;;2
19/06/2023
18/06/2023
17/06/2023;2;14;17;21;15;3
16/06/2023
15/06/2023;5;16;24;20;12;3
14/06/2023;1;13;14;14;9;2
13/06/2023;6;22;31;18;11;3
12/06/2023;3;15;20;18;10;3
11/06/2023;1;8;9;7;6;3
10/06/2023;4;13;19;14;8;3
09/06/2023;3;21;25;17;8;4
08/06/2023;1;18;20;17;8;3
07/06/2023;4;22;28;26;14;3
06/06/2023;4;17;23;26;16;3
05/06/2023;5;19;26;31;19;3
04/06/2023;2;16;18;27;20;4
03/06/2023;3;18;22;23;17;5
02/06/2023;7;22;32;23;14;4
01/06/2023;2;22;24;38;23;3
31/05/2023;4;24;29;38;26;3
30/05/2023;7;29;39;37;25;4
29/05/2023;3;23;28;33;23;3
28/05/2023;3;19;23;35;20;4
27/05/2023;3;19;23;34;16;5
26/05/2023;4;20;26;22;13;4
25/05/2023;3;23;27;22;13;3
24/05/2023;1;15;16;25;17;2
23/05/2023;1;13;13;24;18;2
22/05/2023;5;29;37;32;17;6
21/05/2023;1;15;16;22;14;5
20/05/2023;0;10;11;19;12;4
19/05/2023;1;10;11;16;10;3
18/05/2023;6;15;25;18;9;3
17/05/2023;7;18;29;21;9;7
16/05/2023;1;15;16;17;8;4
15/05/2023;4;23;29;27;13;3
14/05/2023;1;7;9;18;13;2
13/05/2023;4;17;23;15;9;3
12/05/2023;2;20;23;10;6;3
11/05/2023;3;23;27;10;6;3
10/05/2023;4;18;23;15;8;3
09/05/2023;11;29;45;22;12;3
08/05/2023;;;;17;8;4
07/05/2023;;;;17;11;3
06/05/2023;6;21;30;16;9;6
05/05/2023;5;24;31;22;9;4
04/05/2023;2;13;16;13;6;3
03/05/2023;5;20;28;26;9;4
02/05/2023;6;19;28;19;9;3
01/05/2023;1;9;10;4;3;2
30/04/2023;1;6;8;5;4;2
29/04/2023;1;9;11;7;6;2
28/04/2023;13;30;49;28;16;3
27/04/2023;8;28;40;22;11;3
26/04/2023;7;19;29;13;7;2
25/04/2023;9;20;34;16;9;3
24/04/2023;4;20;26;17;8;2
23/04/2023;1;12;13;7;5;3
22/04/2023;2;18;20;13;9;4
21/04/2023;7;34;44;34;20;6
20/04/2023;10;27;42;26;15;4
19/04/2023;8;25;36;24;13;5
18/04/2023;10;28;43;22;13;4
17/04/2023;10;20;34;22;9;4
16/04/2023;2;11;13;9;6;2
15/04/2023;1;7;8;11;7;2
14/04/2023;2;18;20;17;10;2
13/04/2023;1;10;11;7;4;2
12/04/2023;7;22;32;16;8;3
11/04/2023;2;14;16;15;8;3
10/04/2023;3;14;17;17;11;4
09/04/2023;2;17;20;19;11;6
08/04/2023;3;23;27;16;8;6
07/04/2023;3;22;26;17;10;6
06/04/2023;4;24;30;16;10;6
05/04/2023;6;27;36;20;11;5
04/04/2023;6;21;30;18;9;3
03/04/2023;6;22;31;17;8;4
02/04/2023;1;7;8;14;7;2
01/04/2023;1;9;11;16;9;3
31/03/2023;2;12;14;32;18;3
30/03/2023;9;22;36;25;11;3
29/03/2023;2;19;21;27;9;4
28/03/2023;6;28;38;28;12;6
27/03/2023;3;17;23;20;9;3
26/03/2023;1;5;7;14;8;3
25/03/2023;3;19;23;17;9;5
24/03/2023;2;20;22;14;7;3
23/03/2023;3;22;27;14;6;4
22/03/2023;20;43;74;29;15;7
21/03/2023;12;31;50;21;10;6
20/03/2023;14;36;57;20;11;7
19/03/2023;1;9;11;4;3;3
18/03/2023;1;9;11;5;3;4
17/03/2023;2;18;21;22;9;7
16/03/2023;2;30;33;38;12;7
15/03/2023;9;34;47;27;13;8
14/03/2023;1;17;19;18;9;3
13/03/2023;1;17;19;15;8;3
12/03/2023;2;16;19;8;5;3
11/03/2023;5;24;32;11;7;4
10/03/2023;2;17;20;12;7;2
09/03/2023;3;27;31;13;6;0
08/03/2023;1;16;17;7;4;0
07/03/2023;8;32;45;24;16;0
06/03/2023;8;39;52;42;29;4
05/03/2023;3;24;28;42;30;6
04/03/2023;3;25;30;36;29;5
03/03/2023;15;51;73;34;24;7
02/03/2023;12;46;63;31;18;8
01/03/2023;8;30;42;21;13;6
28/02/2023;12;24;43;19;10;5
27/02/2023;;;;12;7;3
26/02/2023;;;;12;7;4
25/02/2023;1;16;17;8;6;5
24/02/2023;5;33;41;11;6;5
23/02/2023;1;23;25;8;6;4
22/02/2023;13;34;53;59;30;4
21/02/2023;6;30;39;57;27;11
20/02/2023;12;33;51;51;26;9
19/02/2023;10;29;44;44;29;11
18/02/2023;4;35;41;43;26;7
17/02/2023;20;50;81;42;22;7
16/02/2023;23;47;82;44;21;6
15/02/2023;6;34;43;29;15;7
14/02/2023;9;31;45;36;15;15
13/02/2023;5;33;40;66;20;17
12/02/2023;2;30;33;58;20;20
11/02/2023;4;34;40;31;17;15
10/02/2023;18;35;62;30;18;5
09/02/2023;25;36;73;26;17;4
08/02/2023;28;34;77;31;20;6
07/02/2023;22;41;74;25;15;6
06/02/2023;2;19;21;13;8;4
05/02/2023;7;27;38;13;9;3
04/02/2023;19;33;62;25;16;4
03/02/2023;27;37;78;32;22;4
02/02/2023;22;31;64;31;14;3
01/02/2023;12;36;54;17;10;3
31/01/2023;15;38;60;19;12;6
30/01/2023;15;32;54;17;11;4
29/01/2023;1;17;16;9;7;3
28/01/2023;0;14;14;5;5;3
27/01/2023;2;20;22;7;5;3
26/01/2023;12;26;44;15;11;3
25/01/2023;23;30;65;25;18;4
24/01/2023;9;25;33;14;11;3
23/01/2023;2;17;19;11;9;3
22/01/2023;3;16;21;13;8;3
21/01/2023;10;19;34;20;13;4
20/01/2023;13;28;49;13;7;3
19/01/2023
18/01/2023
17/01/2023;0;8;8;3;3;3
16/01/2023;6;33;41;8;6;3
15/01/2023;2;13;16;8;5;4
14/01/2023;1;12;13;7;4;5
13/01/2023;9;31;44;14;9;3
12/01/2023;20;35;66;22;12;4
11/01/2023;8;34;46;17;9;3
10/01/2023;8;31;43;18;8;4
09/01/2023;4;24;31;17;9;3
08/01/2023;1;14;15;7;4;2
07/01/2023;1;10;11;8;5;3
06/01/2023;8;24;35;11;8;3
05/01/2023;21;36;68;16;9;3
04/01/2023;23;35;69;15;9;4
03/01/2023;13;27;47;11;7;3
02/01/2023;4;23;28;7;4;3
01/01/2023;1;5;7;22;9;3
