Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2023;1;14;16;14;9
30/12/2023;4;11;17;6;7
29/12/2023;22;30;62;19;12
28/12/2023;1;15;16;5;3
27/12/2023;1;11;12;5;5
26/12/2023;30;27;73;17;14
25/12/2023;15;22;45;13;12
24/12/2023;10;19;33;13;11
23/12/2023;3;22;27;10;6
22/12/2023;1;18;19;16;7
21/12/2023;1;13;13;11;4
20/12/2023;1;12;13;9;6
19/12/2023;15;28;50;22;20
18/12/2023;53;36;118;27;19
17/12/2023;12;23;42;9;8
16/12/2023;10;23;39;11;10
15/12/2023;10;28;43;7;6
14/12/2023;1;18;19;12;4
13/12/2023;1;13;13;8;4
12/12/2023;4;27;33;9;7
11/12/2023;1;9;11;4;3
10/12/2023;1;12;13;3;4
09/12/2023;2;13;16;5;5
08/12/2023;1;17;18;9;5
07/12/2023;0;8;8;2;2
06/12/2023;9;22;36;12;8
05/12/2023;7;24;34;10;4
04/12/2023;1;9;10;6;4
03/12/2023;1;10;12;5;5
02/12/2023;3;17;21;6;5
01/12/2023
30/11/2023
29/11/2023;9;21;34;9;8
28/11/2023;1;23;24;5;4
27/11/2023;15;24;46;11;10
26/11/2023;12;22;41;13;11
25/11/2023;2;18;20;11;9
24/11/2023;14;30;51;14;12
23/11/2023;34;26;78;13;9
22/11/2023;1;8;10;4;4
21/11/2023;1;6;7;4;5
20/11/2023;13;23;42;18;14
19/11/2023;15;19;42;15;11
18/11/2023;9;26;40;14;9
17/11/2023;18;29;56;17;11
16/11/2023;1;12;13;11;5
15/11/2023;7;26;36;13;8
14/11/2023;0;9;9;5;4
13/11/2023;0;4;5;4;4
12/11/2023;3;14;18;6;7
11/11/2023;5;22;30;6;7
10/11/2023;4;30;35;10;7
09/11/2023;11;29;46;11;7
08/11/2023;4;14;20;8;6
07/11/2023;1;18;20;7;5
06/11/2023;3;17;22;9;3
05/11/2023;0;8;8;5;4
04/11/2023;0;3;3;6;4
03/11/2023;1;12;13;9;5
02/11/2023;2;16;20;12;5
01/11/2023;0;4;4;6;4
31/10/2023;2;9;12;4;3
30/10/2023;1;12;13;6;4
29/10/2023;0;8;8;3;4
28/10/2023;0;3;3;4;4
27/10/2023;3;18;21;11;6
26/10/2023;1;22;23;4;4
25/10/2023;5;12;20;8;5
24/10/2023;3;11;15;6;4
23/10/2023;4;16;23;6;4
22/10/2023;1;12;13;7;6
21/10/2023;1;13;15;8;4
20/10/2023;0;7;7;6;3
19/10/2023;0;9;9;6;3
18/10/2023;1;6;7;5;4
17/10/2023;0;8;9;15;9
16/10/2023;6;17;27;9;7
15/10/2023;1;13;15;10;6
14/10/2023;2;15;19;14;11
13/10/2023;1;23;25;26;15
12/10/2023;7;38;49;28;19
11/10/2023;16;47;71;35;23
10/10/2023;15;50;72;32;23
09/10/2023;16;35;59;27;20
08/10/2023;3;26;31;28;22
07/10/2023;8;29;41;26;23
06/10/2023;15;29;53;31;23
05/10/2023;13;26;45;23;15
04/10/2023;3;18;22;11;8
03/10/2023;9;25;38;16;13
02/10/2023;13;24;43;22;19
01/10/2023;2;21;23;20;19
30/09/2023;5;25;32;19;17
29/09/2023;14;23;44;17;16
28/09/2023;5;28;35;19;12
27/09/2023;7;24;35;17;12
26/09/2023;18;22;50;18;12
25/09/2023;14;26;47;15;11
24/09/2023;2;18;20;9;10
23/09/2023;2;15;18;10;8
22/09/2023;2;18;21;8;5
21/09/2023;1;12;13;7;5
20/09/2023;6;18;28;18;14
19/09/2023;4;20;27;12;9
18/09/2023;0;8;9;7;5
17/09/2023;2;16;18;11;8
16/09/2023;0;9;9;6;6
15/09/2023;7;16;27;12;10
14/09/2023;7;14;24;11;9
13/09/2023;6;16;26;10;7
12/09/2023;3;17;21;8;6
11/09/2023;5;22;29;19;16
10/09/2023;1;10;11;18;14
09/09/2023;1;15;16;22;17
08/09/2023;4;22;27;24;19
07/09/2023;2;22;25;27;16
06/09/2023;5;24;31;;25
05/09/2023;3;21;25;65;29
04/09/2023;0;11;11;43;17
03/09/2023;2;14;17;10;10
02/09/2023;1;13;15;4;7
01/09/2023;6;10;19;11;10
31/08/2023;3;16;21;11;10
30/08/2023;2;12;14;6;6
29/08/2023;1;11;11;11;7
28/08/2023;1;10;11;5;5
27/08/2023;0;6;6;5;3
26/08/2023;0;7;7;3;4
25/08/2023;0;7;7;12;7
24/08/2023;2;10;13;25;16
23/08/2023;2;15;17;27;21
22/08/2023;2;12;16;15;9
21/08/2023;4;9;15;14;9
20/08/2023;1;8;10;7;7
19/08/2023;1;9;11;12;12
18/08/2023;2;13;16;18;14
17/08/2023;2;12;14;9;7
16/08/2023;0;10;10;7;4
15/08/2023;1;8;10;7;7
14/08/2023;1;12;13;14;7
13/08/2023;0;6;6;7;6
12/08/2023;3;15;20;9;9
11/08/2023;4;18;23;15;12
10/08/2023;1;13;15;18;14
09/08/2023;4;17;22;22;16
08/08/2023;5;16;23;11;9
07/08/2023;6;12;21;8;5
06/08/2023;1;8;9;8;4
05/08/2023;2;11;14;9;8
04/08/2023;1;9;9;8;5
03/08/2023;1;11;12;11;7
02/08/2023;5;13;20;14;10
01/08/2023;5;19;26;11;10
31/07/2023;3;10;14;10;10
30/07/2023;0;7;8;6;6
29/07/2023;2;10;14;7;7
28/07/2023;5;14;22;11;12
27/07/2023;7;12;22;9;9
26/07/2023;3;13;18;8;8
25/07/2023;0;6;6;14;8
24/07/2023;2;16;18;9;9
23/07/2023;2;12;15;4;8
22/07/2023;4;12;19;6;6
21/07/2023;6;15;23;6;7
20/07/2023;8;18;30;7;7
19/07/2023;4;12;18;9;6
18/07/2023;5;13;21;18;12
17/07/2023;2;11;14;14;11
16/07/2023;1;10;11;12;11
15/07/2023;1;14;15;8;8
14/07/2023;4;19;25;13;12
13/07/2023;1;13;15;8;6
12/07/2023;6;11;20;8;7
11/07/2023;3;13;18;16;9
10/07/2023;2;12;15;14;8
09/07/2023;0;6;6;7;5
08/07/2023;0;9;10;12;11
07/07/2023;5;15;22;17;13
06/07/2023;3;10;14;8;8
05/07/2023;4;10;15;8;7
04/07/2023;6;12;21;13;10
03/07/2023;3;9;15;11;8
02/07/2023;1;8;9;7;6
01/07/2023;1;11;13;12;8
30/06/2023;1;11;13;12;7
29/06/2023;4;16;22;20;8
28/06/2023;2;11;15;23;8
27/06/2023;0;6;7;16;6
26/06/2023;2;8;11;16;8
25/06/2023;0;7;7;24;12
24/06/2023;2;17;20;36;28
23/06/2023;4;12;19;31;22
22/06/2023;2;11;14;15;9
21/06/2023;2;17;20;14;8
20/06/2023;3;16;20;21;16
19/06/2023;3;21;25;19;13
18/06/2023;3;12;17;15;11
17/06/2023;3;11;16;19;14
16/06/2023;;;;17;11
15/06/2023;5;14;21;13;9
14/06/2023;1;10;12;12;7
13/06/2023;5;16;24;13;9
12/06/2023;3;14;19;11;9
11/06/2023;1;7;9;8;6
10/06/2023;4;11;18;12;9
09/06/2023;2;18;21;14;8
08/06/2023;2;15;17;12;10
07/06/2023;2;17;20;17;13
06/06/2023;5;22;30;24;18
05/06/2023;4;17;22;22;17
04/06/2023;1;6;9;23;18
03/06/2023;2;12;15;20;18
02/06/2023;4;20;26;19;15
01/06/2023;2;20;22;31;24
31/05/2023;2;14;17;27;21
30/05/2023;5;18;25;30;24
29/05/2023;4;19;24;28;23
28/05/2023;2;10;13;24;18
27/05/2023;2;14;16;23;17
26/05/2023;4;17;23;14;12
25/05/2023;2;15;19;18;12
24/05/2023;1;9;11;20;14
23/05/2023;1;7;9;20;14
22/05/2023;4;14;21;16;15
21/05/2023;1;8;10;16;15
20/05/2023;1;6;8;17;13
19/05/2023;1;6;8;15;9
18/05/2023;10;12;28;14;10
17/05/2023;8;14;27;11;9
16/05/2023;2;11;14;9;7
15/05/2023;1;11;13;12;10
14/05/2023;1;3;5;12;10
13/05/2023;2;7;11;6;7
12/05/2023;2;13;16;4;5
11/05/2023;2;14;18;7;4
10/05/2023;3;13;17;9;5
09/05/2023;5;20;28;12;11
08/05/2023;8;20;33;9;9
07/05/2023;2;11;14;8;9
06/05/2023;3;17;21;7;9
05/05/2023;5;21;28;9;8
04/05/2023;1;10;12;7;6
03/05/2023;4;16;22;16;12
02/05/2023;5;15;23;5;7
01/05/2023;1;10;11;2;4
30/04/2023;0;3;3;2;4
29/04/2023;1;4;5;2;3
28/04/2023;9;19;33;14;15
27/04/2023;8;25;37;13;13
26/04/2023;6;21;30;9;10
25/04/2023;8;21;33;11;11
24/04/2023;6;16;25;7;8
23/04/2023;1;8;9;4;5
22/04/2023;1;15;16;8;10
21/04/2023;4;24;29;22;20
20/04/2023;11;22;38;19;16
19/04/2023;9;24;37;17;12
18/04/2023;6;18;28;15;12
17/04/2023;8;15;28;11;8
16/04/2023;1;8;9;4;3
15/04/2023;0;4;4;8;5
14/04/2023;1;10;11;14;9
13/04/2023;2;19;22;7;6
12/04/2023;3;20;24;11;7
11/04/2023;1;12;13;12;7
10/04/2023;2;9;12;9;7
09/04/2023;1;14;15;12;11
08/04/2023;3;23;27;11;11
07/04/2023;1;19;20;11;10
06/04/2023;3;19;24;11;10
05/04/2023;8;26;38;19;12
04/04/2023;8;18;30;11;6
03/04/2023;4;17;23;10;6
02/04/2023;0;5;6;11;5
01/04/2023;0;6;7;14;7
31/03/2023;1;9;10;31;14
30/03/2023;10;19;34;21;12
29/03/2023;1;15;16;17;9
28/03/2023;4;24;31;17;10
27/03/2023;4;17;24;15;7
