Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
06/02/2023;0,35;0,21;0,19;0,08;3;22;25;0,48;11;7;7;0,82
05/02/2023;0,51;0,28;0,28;0,21;5;30;37;0,96;11;7;7;1,52
04/02/2023;0,68;0,34;0,35;0,27;21;36;68;1,12;23;16;16;1,44
03/02/2023;0,7;0,39;0,39;0,46;32;41;89;1,83;29;20;16;2,07
02/02/2023;0,53;0,33;0,32;0,42;21;38;71;1,67;22;13;13;2,54
01/02/2023;0,35;0,3;0,29;0,19;9;37;50;0,86;10;7;7;1,3
31/01/2023;0,51;0,34;0,36;0,33;24;38;74;1,28;19;12;20;1,68
30/01/2023;0,51;0,32;0,3;0,18;18;38;65;0,8;18;12;16;1,3
29/01/2023;0,34;0,23;0,23;0;1;13;14;0,12;9;6;5;0,41
28/01/2023;0,25;0,21;0,2;0;1;13;15;0,17;6;4;5;0,41
27/01/2023;0,34;0,23;0,24;0,08;2;22;25;0,44;8;5;5;0,71
26/01/2023;0,42;0,26;0,27;0,06;3;23;27;0,37;13;10;6;0,74
25/01/2023;0,96;0,39;0,41;0,3;22;33;66;1,11;23;18;10;1,99
24/01/2023;0,71;0,27;0,23;0,1;9;25;39;0,47;13;11;6;1,05
23/01/2023;0,44;0,23;0,24;0,06;2;21;24;0,26;12;9;5;0,61
22/01/2023;0,4;0,24;0,23;0,07;4;16;22;0,37;10;6;6;0,82
21/01/2023;0,57;0,27;0,29;0,15;13;25;43;0,65;17;12;11;1,16
20/01/2023;0,41;0,27;0,25;0,11;10;31;47;0,49;10;5;5;0,95
19/01/2023;0,25;0,23;0,24;0,03;4;22;28;0,28;6;3;5;0,5
18/01/2023;0,32;0,25;0,23;0,09;10;41;57;0,46;8;4;6;0,86
17/01/2023;0,13;0,14;0,15;0;1;11;13;0,13;4;2;5;0,35
16/01/2023;0,28;0,23;0,22;0,14;8;38;49;0,59;6;3;5;0,82
15/01/2023;0,17;0,19;0,18;0,01;2;15;17;0,12;8;4;6;0,35
14/01/2023;0,21;0,17;0,19;0,07;2;14;16;0,47;5;3;6;0,84
13/01/2023;0,46;0,29;0,3;0,27;12;41;58;1,11;12;8;10;1,63
12/01/2023;0,5;0,31;0,29;0,29;20;41;71;1,18;19;11;11;1,87
11/01/2023;0,2;0,26;0,26;0,2;4;27;32;0,96;11;6;6;1,12
10/01/2023;0,54;0,29;0,3;0,33;19;47;76;1,35;15;8;12;2,15
09/01/2023;0,2;0,22;0,2;0,05;6;24;33;0,32;13;7;5;0,75
08/01/2023;0,23;0,31;0,33;0,01;2;15;19;0,23;6;3;4;0,56
07/01/2023;0,17;0,18;0,16;0,01;2;12;15;0,19;7;4;4;0,44
06/01/2023;0,5;0,26;0,29;0,22;17;35;61;0,96;11;7;10;1,47
05/01/2023;0,69;0,36;0,36;0,41;30;48;94;1,6;14;9;11;2,66
04/01/2023;0,71;0,33;0,31;0,48;34;46;98;2;14;8;12;3,25
03/01/2023;0,43;0,27;0,27;0,28;17;36;61;1,15;11;6;10;1,99
02/01/2023;0,26;0,3;0,29;0,16;5;25;33;0,69;8;4;5;1,27
01/01/2023;0,07;0,22;0,21;0,03;2;8;12;0,44;19;8;4;0,83
