Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2023;0,2;0,18;3;5;10;69;72;33;9;4
30/12/2023;0,17;0,2;4;10;16;47;38;7;4;3
29/12/2023;0,25;0,23;5;18;26;34;40;28;9;3
28/12/2023;0,16;0,16;3;10;15;59;62;11;4;3
27/12/2023;0,13;0,16;3;6;11;66;58;7;2;5
26/12/2023;0,28;0,28;14;29;50;17;15;15;10;8
25/12/2023;0,24;0,24;9;25;38;19;20;16;10;7
24/12/2023;0,24;0,23;8;20;31;30;29;15;8;6
23/12/2023;0,19;0,16;5;15;22;57;67;33;9;6
22/12/2023;0,16;0,16;3;3;7;77;78;40;11;5
21/12/2023;0,16;0,15;3;4;8;75;74;23;7;5
20/12/2023;0,13;0,15;3;4;9;74;66;15;4;6
19/12/2023;0,29;0,32;11;30;46;17;16;22;15;8
18/12/2023;0,3;0,29;21;30;62;23;24;22;12;7
17/12/2023;0,24;0,23;7;23;34;20;21;18;9;6
16/12/2023;0,21;0,21;5;21;28;35;34;13;8;5
15/12/2023;0,19;0,15;5;16;23;53;61;14;4;6
14/12/2023;0,12;0,14;3;4;8;68;68;21;5;5
13/12/2023;0,16;;3;3;8;65;63;18;5;6
12/12/2023;0,17;0,17;5;17;24;52;53;17;5;6
11/12/2023;0,16;0,16;3;8;13;56;55;12;3;6
10/12/2023;0,19;0,19;3;9;14;44;43;8;3;6
09/12/2023;0,15;0,16;3;7;12;59;57;16;3;6
08/12/2023;0,18;0,16;3;12;17;62;65;23;7;6
07/12/2023;0,17;0,18;3;7;12;61;59;6;2;6
06/12/2023;0,25;0,26;6;26;35;24;21;13;8;7
05/12/2023;0,19;0,17;5;25;32;47;57;22;6;7
04/12/2023;0,16;0,16;3;5;9;70;69;12;3;6
03/12/2023;0,18;0,21;3;10;15;48;40;7;3;6
02/12/2023;0,18;0,16;4;14;19;48;58;10;4;6
01/12/2023;0,16;0,16;4;12;18;63;60;9;2;6
30/11/2023;0,18;0,18;3;13;18;60;57;9;2;5
29/11/2023;0,19;0,18;5;14;21;39;38;10;4;5
28/11/2023;0,13;0,14;3;10;15;65;69;10;2;5
27/11/2023;0,21;0,24;12;19;37;40;29;17;8;8
26/11/2023;0,22;0,2;11;21;37;25;31;16;9;6
25/11/2023;0,22;0,21;5;14;21;44;43;17;7;5
24/11/2023;0,27;0,28;12;33;51;24;20;31;17;7
23/11/2023;0,23;0,2;12;24;43;35;42;19;9;6
22/11/2023;0,15;0,15;3;6;11;61;61;14;3;5
21/11/2023;0,15;0,14;3;4;9;64;66;17;4;5
20/11/2023;0,2;0,23;11;19;36;41;33;18;8;6
