Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2023;0,21;0,2;1;14;16;13;7;5
30/12/2023;0,2;0,21;4;15;21;8;5;4
29/12/2023;0,3;0,29;16;39;63;21;10;3
28/12/2023;0,18;0,17;1;11;11;6;3;3
27/12/2023;0,16;0,18;1;14;16;7;4;3
26/12/2023;0,27;0,27;22;36;69;16;8;8
25/12/2023;0,24;0,24;12;31;49;11;7;8
24/12/2023;0,22;0,22;6;22;30;11;6;3
23/12/2023;0,22;0,21;4;28;34;13;6;4
22/12/2023;0,21;0,21;1;17;19;23;9;8
21/12/2023;0,2;0,21;1;14;15;19;9;12
20/12/2023;0,23;0,22;2;17;19;14;7;5
19/12/2023;0,27;0,28;11;36;52;23;11;8
18/12/2023;0,29;0,28;27;42;82;20;11;8
17/12/2023;0,26;0,26;10;34;49;14;7;7
16/12/2023;0,24;0,25;7;32;42;12;6;3
15/12/2023;0,25;0,25;7;36;45;11;5;5
14/12/2023;0,23;0,23;2;22;25;17;6;7
13/12/2023;0,21;0,21;2;12;14;14;8;6
12/12/2023;0,23;0,22;5;34;40;12;6;4
11/12/2023;0,17;0,17;2;9;11;6;3;3
10/12/2023;0,2;0,23;1;10;12;5;3;4
09/12/2023;0,24;0,22;2;18;21;5;3;4
08/12/2023;0,21;0,2;2;17;19;10;4;7
07/12/2023;0,17;0,17;1;9;11;3;2;4
06/12/2023;0,24;0,24;9;29;41;12;7;9
05/12/2023;0,22;0,21;6;33;42;11;5;5
04/12/2023;0,19;0,19;2;10;13;8;4;5
03/12/2023;0,2;0,21;2;15;17;6;4;4
02/12/2023;0,24;0,22;4;27;33;8;4;6
01/12/2023;0,18;0,18;3;22;25;7;3;4
30/11/2023;0,2;0,19;3;34;37;9;5;4
29/11/2023;0,23;0,24;10;24;38;13;7;5
28/11/2023;0,21;0,21;2;27;30;12;9;5
27/11/2023;0,25;0,26;17;25;51;18;9;9
26/11/2023;0,25;0,24;13;30;50;20;9;9
25/11/2023;0,19;0,19;1;19;20;13;5;4
24/11/2023;0,3;0,32;20;41;71;27;10;9
23/11/2023;0,32;0,3;22;33;66;17;11;6
22/11/2023;0,2;0,2;1;13;14;11;5;3
21/11/2023;0,2;0,21;1;10;11;16;7;5
20/11/2023;0,23;0,24;8;15;27;21;9;7
19/11/2023;0,24;0,25;9;10;24;19;9;9
18/11/2023;0,29;0,28;11;13;29;20;9;14
17/11/2023;0,25;0,24;8;12;23;19;8;10
16/11/2023;0,18;0,18;1;6;8;10;4;5
15/11/2023;0,25;0,25;10;14;29;15;6;5
14/11/2023;0,18;0,16;1;7;9;11;5;3
13/11/2023;0,15;0,14;1;2;4;4;2;3
12/11/2023;0,19;0,21;3;7;11;9;4;4
11/11/2023;0,3;0,3;12;12;30;12;8;4
10/11/2023;0,25;0,25;6;14;23;15;8;5
09/11/2023;0,22;0,2;4;11;17;15;7;5
08/11/2023;0,19;0,19;2;5;7;7;4;5
07/11/2023;0,19;0,19;1;7;8;7;3;4
06/11/2023;0,2;0,19;3;7;11;10;4;4
05/11/2023;0,18;0,17;1;3;5;7;3;4
04/11/2023;0,16;0,17;1;2;4;6;3;4
03/11/2023;0,18;0,16;1;5;7;;4;5
