Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
15/09/2021;0,25;0,26;4;11;39;22;24;8;2
14/09/2021;0,31;0,31;6;14;55;34;39;10;2
13/09/2021;0,31;0,32;4;7;45;34;37;14;3
12/09/2021;0,32;0,31;3;7;41;31;31;13;2
11/09/2021;0,26;0,25;2;6;27;19;22;8;2
10/09/2021;0,24;0,24;2;7;31;21;16;5;2
09/09/2021;0,27;0,28;3;9;37;24;17;6;2
08/09/2021;0,31;0,3;5;8;35;23;42;13;2
07/09/2021;0,27;0,29;6;6;36;27;43;17;5
06/09/2021;0,35;0,35;4;12;67;49;45;20;3
05/09/2021;0,28;0,26;3;4;27;22;30;15;2
04/09/2021;0,31;0,32;4;5;23;15;24;10;2
03/09/2021;0,34;0,33;4;9;33;20;26;10;2
02/09/2021;0,3;0,3;4;12;44;26;26;11;2
01/09/2021;0,34;0,34;4;15;51;29;36;15;3
31/08/2021;0,3;0,3;2;14;47;27;29;12;5
30/08/2021;0,28;0,28;2;9;35;22;25;10;7
29/08/2021;0,25;0,23;2;3;20;16;19;8;6
28/08/2021;0,25;0,26;2;5;23;16;19;10;5
27/08/2021;0,3;0,3;2;8;34;22;28;13;5
26/08/2021;0,34;0,34;3;11;39;23;31;14;4
25/08/2021;0,32;0,31;2;10;39;24;27;11;4
24/08/2021;0,27;0,28;1;10;33;18;22;8;4
23/08/2021;0,25;0,24;2;7;26;16;14;5;3
22/08/2021;0,24;0,23;1;3;17;12;14;7;4
21/08/2021;0,24;0,24;1;3;18;14;21;11;4
20/08/2021;0,28;0,27;1;9;30;16;19;8;3
19/08/2021;0,22;0,21;1;5;24;17;9;2;3
18/08/2021;0,2;0,2;1;5;24;16;15;5;4
17/08/2021;0,18;0,18;1;3;13;9;14;;3
16/08/2021;0,19;0,2;1;3;13;8;11;3;3
15/08/2021;0,23;0,23;1;1;10;9;18;4;2
14/08/2021;0,25;0,25;2;1;9;8;23;6;2
13/08/2021;0,27;0,28;2;10;30;15;22;8;3
12/08/2021;0,26;0,25;1;6;22;14;17;6;2
11/08/2021;0,24;0,24;1;8;27;15;21;6;3
10/08/2021;0,23;0,23;1;8;29;16;20;7;4
09/08/2021;0,24;0,23;1;6;27;18;28;10;5
08/08/2021;0,2;0,2;1;1;10;9;12;3;3
07/08/2021;0,21;0,21;1;2;15;13;15;3;4
06/08/2021;0,22;0,23;2;4;19;14;16;5;4
05/08/2021;0,23;0,22;2;9;29;15;17;6;3
04/08/2021;0,23;0,23;1;5;22;16;17;6;3
03/08/2021;0,22;0,2;1;11;37;21;24;9;4
02/08/2021;0,21;0,22;1;12;35;17;18;8;4
01/08/2021;0,18;0,18;1;1;11;10;11;4;4
31/07/2021;0,17;0,16;1;2;12;10;14;4;6
30/07/2021;0,21;0,21;2;10;31;16;23;8;4
29/07/2021;0,21;0,21;2;14;40;20;23;7;4
28/07/2021;0,19;0,19;1;6;28;19;19;6;4
27/07/2021;0,23;0,23;1;11;36;20;27;10;5
26/07/2021;0,19;0,19;1;4;21;15;17;7;5
25/07/2021;0,17;0,17;1;1;8;6;13;4;5
24/07/2021;0,2;0,21;2;5;21;14;16;7;5
23/07/2021;0,32;0,34;2;5;24;18;21;8;3
22/07/2021;0,29;0,29;2;5;22;15;24;8;3
21/07/2021;0,32;0,32;2;6;24;15;46;18;3
20/07/2021;0,28;0,29;2;10;36;22;44;18;7
19/07/2021;0,4;0,43;2;11;41;24;37;18;5
18/07/2021;0,37;0,33;2;4;23;18;30;15;5
17/07/2021;0,24;0,23;2;7;29;19;36;12;5
16/07/2021;0,21;0,21;1;13;40;20;26;10;6
15/07/2021;0,2;0,19;1;10;34;19;26;9;4
14/07/2021;0,17;0,17;1;6;24;15;21;8;4
13/07/2021;0,18;0,18;1;4;19;12;22;7;6
12/07/2021;0,2;0,2;2;4;21;14;22;8;6
11/07/2021;0,2;0,2;1;3;15;11;21;;5
10/07/2021;0,17;0,16;1;2;12;9;21;8;5
09/07/2021;0,17;0,17;1;11;32;16;22;7;5
08/07/2021;0,16;0,15;1;6;24;15;18;5;8
07/07/2021;0,18;0,18;1;12;36;18;22;7;7
06/07/2021;0,17;0,17;1;4;22;16;16;5;5
05/07/2021;0,19;0,19;2;13;42;22;29;8;5
04/07/2021;0,18;0,18;1;1;11;10;10;4;4
03/07/2021;0,23;0,23;2;1;14;12;22;10;3
02/07/2021;0,22;0,22;2;6;29;20;;11;4
01/07/2021;0,21;0,2;2;5;26;18;22;7;4
30/06/2021;0,18;0,18;1;7;26;15;23;8;4
29/06/2021;0,15;0,15;1;4;17;11;26;9;6
28/06/2021;0,19;0,19;1;6;29;21;23;9;5
27/06/2021;0,16;0,15;1;2;17;15;21;9;3
26/06/2021;0,24;0,26;2;4;19;14;24;11;4
25/06/2021;0,23;0,22;1;11;36;20;32;13;4
24/06/2021;0,18;0,18;2;6;28;20;22;8;4
23/06/2021;0,17;0,17;1;3;21;16;20;7;4
22/06/2021;0,19;0,19;1;5;22;15;19;7;4
21/06/2021;0,18;0,17;1;4;23;17;15;5;4
20/06/2021;0,15;0,16;1;1;10;8;17;7;3
19/06/2021;0,21;0,22;3;2;13;9;14;6;2
18/06/2021;0,25;0,25;4;9;29;16;23;10;3
17/06/2021;0,23;0,24;5;6;29;20;26;10;2
16/06/2021;0,28;0,26;5;5;32;25;40;13;3
15/06/2021;0,28;0,29;5;14;44;23;39;18;3
14/06/2021;0,29;0,28;3;7;36;25;39;15;3
13/06/2021;0,23;0,2;2;5;30;23;38;19;4
