Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2021;1;5;4;5;
30/12/2021;2;9;7;3;
29/12/2021;1;9;7;6;
28/12/2021;2;12;9;11;
27/12/2021;3;10;6;7;
26/12/2021;1;7;5;5;
25/12/2021;1;5;4;4;
24/12/2021;1;5;4;4;
23/12/2021;1;9;7;6;
22/12/2021;3;15;11;10;
21/12/2021;2;11;9;10;
20/12/2021;6;22;14;14;
19/12/2021;2;12;9;9;
18/12/2021;1;10;8;7;
17/12/2021;3;17;12;9;
16/12/2021;13;35;16;15;
15/12/2021;22;50;17;16;
14/12/2021;13;34;15;13;
13/12/2021;2;9;7;6;
12/12/2021;3;14;10;7;
11/12/2021;1;12;11;6;
10/12/2021;2;5;3;11;
09/12/2021;1;5;4;3;
08/12/2021;1;3;2;3;
07/12/2021;2;7;5;5;
06/12/2021;1;6;5;7;
05/12/2021;1;4;3;8;
04/12/2021;1;5;4;7;
03/12/2021;4;20;14;8;
02/12/2021;3;13;9;8;
01/12/2021;1;9;8;4;
30/11/2021;5;19;12;7;
29/11/2021;2;16;14;5;
28/11/2021;1;7;5;5;
27/11/2021;1;5;4;6;
26/11/2021;1;11;9;7;
25/11/2021;1;11;9;5;
24/11/2021;3;18;14;7;
23/11/2021;2;17;14;12;
22/11/2021;2;10;8;5;
21/11/2021;2;15;11;14;
20/11/2021;1;11;9;13;
19/11/2021;5;21;13;11;
18/11/2021;5;22;15;14;
17/11/2021;2;16;13;13;
16/11/2021;3;21;16;13;8
15/11/2021;4;22;16;11;7
14/11/2021;1;8;6;11;5
13/11/2021;2;14;11;16;10
12/11/2021;4;25;19;22;15
11/11/2021;3;24;19;20;12
10/11/2021;3;17;13;17;10
09/11/2021;3;18;13;18;7
08/11/2021;3;19;16;14;7
07/11/2021;2;13;11;8;6
06/11/2021;2;14;10;8;5
05/11/2021;2;16;13;6;4
04/11/2021;1;8;6;3;2
03/11/2021;1;5;4;2;1
02/11/2021;1;6;5;4;2
01/11/2021;1;7;6;6;3
31/10/2021;1;6;5;5;2
30/10/2021;1;12;10;8;4
29/10/2021;1;10;9;10;7
28/10/2021;1;9;8;15;8
27/10/2021;5;28;20;15;8
26/10/2021;2;14;11;8;5
25/10/2021;2;16;13;11;6
24/10/2021;2;12;10;9;6
23/10/2021;1;9;7;8;5
22/10/2021;2;12;9;9;5
21/10/2021;1;7;5;15;5
20/10/2021;4;20;14;16;9
19/10/2021;1;7;5;10;7
18/10/2021;2;14;11;10;7
17/10/2021;2;12;10;12;8
16/10/2021;2;16;13;16;11
15/10/2021;4;22;17;15;9
14/10/2021;3;22;17;14;8
13/10/2021;2;14;10;12;8
12/10/2021;1;11;9;14;10
11/10/2021;2;12;9;16;12
10/10/2021;1;11;9;14;10
09/10/2021;1;12;10;11;7
08/10/2021;2;14;11;12;6
07/10/2021;2;13;10;12;6
06/10/2021;2;11;8;13;4
05/10/2021;1;9;7;7;2
04/10/2021;2;12;9;9;4
03/10/2021;1;6;4;7;3
02/10/2021;1;8;6;7;4
01/10/2021;6;29;20;17;10
30/09/2021;2;14;11;10;5
29/09/2021;2;11;8;8;4
28/09/2021;3;16;12;16;8
27/09/2021;1;12;10;11;4
26/09/2021;1;8;6;9;5
25/09/2021;2;9;7;12;7
24/09/2021;4;20;14;18;11
23/09/2021;3;15;11;18;9
22/09/2021;2;11;9;10;5
21/09/2021;2;12;10;10;5
20/09/2021;1;9;7;10;5
19/09/2021;1;7;5;8;3
18/09/2021;1;5;3;7;3
17/09/2021;4;18;13;13;8
16/09/2021;2;12;9;10;5
15/09/2021;3;11;8;12;6
14/09/2021;1;11;8;12;7
13/09/2021;1;10;9;17;9
12/09/2021;2;14;11;13;8
11/09/2021;2;12;9;9;6
10/09/2021;2;13;10;10;5
09/09/2021;2;12;10;10;6
08/09/2021;1;9;8;17;9
07/09/2021;1;14;12;22;11
06/09/2021;;;;19;11
05/09/2021;;;;25;16
04/09/2021;;;;16;11
