Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
31/12/2021;1;14;12;7;5
30/12/2021;4;29;22;7;5
29/12/2021;1;16;15;7;5
28/12/2021;6;24;16;10;5
27/12/2021;7;22;12;8;3
26/12/2021;2;16;13;5;4
25/12/2021;0;10;10;4;3
24/12/2021;0;6;6;5;4
23/12/2021;0;11;10;5;3
22/12/2021;6;29;20;15;8
21/12/2021;8;47;34;22;12
20/12/2021;14;55;34;20;9
19/12/2021;1;17;14;8;6
18/12/2021;2;22;19;8;6
17/12/2021;24;76;39;15;9
16/12/2021;80;162;39;29;19
15/12/2021;87;175;41;39;23
14/12/2021;53;120;38;27;16
13/12/2021;13;49;29;10;7
12/12/2021;5;26;19;9;7
11/12/2021;0;11;11;6;3
10/12/2021;0;9;8;18;4
09/12/2021;1;17;16;5;3
08/12/2021;0;5;5;5;2
07/12/2021;0;10;10;9;5
06/12/2021;0;10;10;9;3
05/12/2021;0;4;4;10;4
04/12/2021;0;8;8;9;5
03/12/2021;5;36;28;10;5
02/12/2021;1;14;12;12;3
01/12/2021;2;22;20;7;4
30/11/2021;18;64;36;14;7
29/11/2021;2;27;24;5;3
28/11/2021;0;5;5;9;3
27/11/2021;0;8;8;9;4
26/11/2021;5;29;22;11;5
25/11/2021;1;12;11;7;3
24/11/2021;10;43;28;11;9
23/11/2021;5;24;18;10;5
22/11/2021;5;27;20;7;3
21/11/2021;9;39;26;17;12
20/11/2021;5;35;28;20;13
19/11/2021;27;75;33;22;13
18/11/2021;34;82;30;24;13
17/11/2021;7;31;21;14;8
16/11/2021;16;51;27;20;12
15/11/2021;14;44;23;14;7
14/11/2021;2;13;10;13;6
13/11/2021;10;37;22;23;11
12/11/2021;21;61;29;37;22
11/11/2021;24;71;35;28;14
10/11/2021;26;73;33;24;12
09/11/2021;18;51;24;23;10
08/11/2021;19;55;26;19;8
07/11/2021;12;38;19;14;9
06/11/2021;13;41;22;13;7
05/11/2021;9;42;28;11;7
04/11/2021;1;25;24;6;3
03/11/2021;1;22;21;6;3
02/11/2021;0;10;10;7;3
01/11/2021;1;17;15;12;5
31/10/2021;0;7;7;6;4
30/10/2021;1;12;12;7;6
29/10/2021;1;15;14;13;6
28/10/2021;12;38;20;28;12
27/10/2021;22;67;34;27;14
26/10/2021;27;66;25;19;9
25/10/2021;16;53;28;23;13
24/10/2021;5;31;23;14;9
