Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
23/10/2021;5;31;23;15;8
22/10/2021;5;30;22;16;7
21/10/2021;1;21;19;25;9
20/10/2021;4;25;20;25;13
19/10/2021;0;9;9;17;11
18/10/2021;20;60;29;26;14
17/10/2021;5;30;23;17;11
16/10/2021;5;34;26;22;14
15/10/2021;24;62;25;24;14
14/10/2021;23;68;34;24;12
13/10/2021;22;59;26;24;13
12/10/2021;6;27;19;21;15
11/10/2021;9;32;19;21;13
10/10/2021;2;15;12;17;12
09/10/2021;7;33;22;18;11
08/10/2021;22;61;27;19;10
07/10/2021;18;52;24;22;11
06/10/2021;12;41;23;18;7
05/10/2021;1;23;21;12;4
04/10/2021;11;41;24;15;6
03/10/2021;1;13;11;11;4
02/10/2021;5;20;13;13;6
01/10/2021;16;53;29;22;11
30/09/2021;8;32;21;15;6
29/09/2021;6;28;19;15;6
28/09/2021;7;28;18;21;8
27/09/2021;1;14;12;15;6
26/09/2021;4;32;27;14;10
25/09/2021;0;9;9;16;9
24/09/2021;8;37;26;30;18
23/09/2021;11;34;17;23;13
22/09/2021;4;25;18;18;10
21/09/2021;8;31;19;15;8
20/09/2021;4;25;20;10;5
19/09/2021;0;8;8;9;5
18/09/2021;1;8;8;11;6
17/09/2021;10;33;18;20;11
16/09/2021;2;18;16;14;7
15/09/2021;6;23;14;18;9
14/09/2021;3;25;20;20;12
13/09/2021;2;23;19;28;15
12/09/2021;6;32;24;21;14
11/09/2021;4;20;13;16;10
10/09/2021;5;23;16;14;7
09/09/2021;2;15;12;12;7
08/09/2021;4;24;19;28;15
07/09/2021;0;9;9;27;15
06/09/2021;6;35;25;32;22
05/09/2021;1;17;16;25;18
04/09/2021;3;17;12;18;12
03/09/2021;2;18;15;23;14
02/09/2021;2;20;17;19;13
01/09/2021;5;29;21;27;16
31/08/2021;5;23;16;18;12
30/08/2021;5;23;15;16;8
29/08/2021;1;13;11;12;9
28/08/2021;3;15;11;14;9
27/08/2021;5;23;16;22;14
26/08/2021;5;23;16;22;13
25/08/2021;4;23;17;21;12
24/08/2021;5;19;10;15;9
23/08/2021;2;12;9;10;5
22/08/2021;2;12;8;11;7
21/08/2021;2;10;8;13;10
20/08/2021;4;16;9;17;9
19/08/2021;1;12;11;5;3
18/08/2021;0;7;6;7;5
17/08/2021;1;9;7;13;5
16/08/2021;0;7;7;10;4
15/08/2021;0;5;5;10;6
14/08/2021;0;4;4;17;8
13/08/2021;4;13;7;15;9
12/08/2021;2;11;9;15;8
11/08/2021;2;11;8;14;6
10/08/2021;4;16;9;15;8
09/08/2021;4;18;12;16;6
08/08/2021;0;6;5;8;6
07/08/2021;1;10;9;11;5
06/08/2021;1;9;8;12;5
05/08/2021;3;14;9;14;6
04/08/2021;1;12;11;12;8
03/08/2021;5;21;14;13;9
02/08/2021;7;21;11;10;8
01/08/2021;0;7;7;7;5
31/07/2021;0;9;8;8;4
30/07/2021;5;18;10;11;7
29/07/2021;10;28;13;13;8
28/07/2021;1;14;12;9;7
27/07/2021;6;25;15;17;11
26/07/2021;2;13;11;12;9
25/07/2021;0;6;6;9;7
24/07/2021;3;17;12;12;9
23/07/2021;1;14;12;15;10
22/07/2021;0;6;6;17;12
21/07/2021;0;8;8;34;24
20/07/2021;5;25;17;28;23
19/07/2021;6;25;16;26;20
18/07/2021;3;14;11;19;16
17/07/2021;5;21;14;18;14
16/07/2021;9;26;13;15;12
15/07/2021;5;18;10;11;9
14/07/2021;4;18;11;12;7
13/07/2021;2;12;9;15;7
12/07/2021;1;11;8;9;5
11/07/2021;2;9;6;13;12
10/07/2021;1;8;6;13;11
09/07/2021;5;18;10;12;9
08/07/2021;3;14;10;9;4
07/07/2021;6;23;13;12;7
06/07/2021;1;9;8;11;4
05/07/2021;7;25;15;16;11
04/07/2021;2;12;10;6;8
03/07/2021;1;7;6;12;12
02/07/2021;2;15;12;17;16
01/07/2021;1;10;9;12;8
30/06/2021;2;13;9;11;9
29/06/2021;2;11;9;16;8
28/06/2021;3;23;19;14;8
27/06/2021;1;9;8;9;5
26/06/2021;3;14;9;11;11
25/06/2021;6;22;13;15;10
24/06/2021;2;17;13;15;9
23/06/2021;2;20;18;13;8
22/06/2021;3;19;14;9;4
21/06/2021;2;16;13;9;4
20/06/2021;1;7;5;11;7
19/06/2021;2;9;7;8;6
18/06/2021;3;17;12;18;14
17/06/2021;1;12;10;15;11
16/06/2021;1;18;17;22;15
15/06/2021;7;26;15;24;19
14/06/2021;1;16;14;23;19
13/06/2021;3;18;14;24;25
12/06/2021;1;8;6;15;13
11/06/2021;4;16;9;12;8
10/06/2021;5;20;12;13;9
09/06/2021;1;10;8;13;9
08/06/2021;7;21;11;17;14
07/06/2021;6;20;11;15;12
06/06/2021;1;8;6;11;7
05/06/2021;4;15;10;8;8
04/06/2021;2;20;17;7;5
03/06/2021;1;9;8;9;4
02/06/2021;4;22;17;25;17
01/06/2021;1;8;7;21;13
31/05/2021;5;30;22;24;17
30/05/2021;2;13;10;13;11
29/05/2021;1;8;7;16;11
28/05/2021;7;31;20;24;16
27/05/2021;6;25;16;21;12
26/05/2021;7;30;20;21;11
25/05/2021;3;18;13;19;9
24/05/2021;2;18;15;19;8
23/05/2021;3;14;10;8;7
22/05/2021;3;21;17;10;6
21/05/2021;5;34;26;13;8
20/05/2021;5;28;20;12;8
19/05/2021;4;20;14;9;4
18/05/2021;4;23;17;12;6
17/05/2021;1;11;9;17;4
16/05/2021;1;9;7;9;5
15/05/2021;2;17;14;8;8
14/05/2021;2;15;13;10;5
13/05/2021;3;20;16;9;4
12/05/2021;1;10;8;13;5
11/05/2021;2;13;10;9;4
10/05/2021;2;12;10;9;4
09/05/2021;1;7;5;11;8
08/05/2021;1;12;10;12;11
07/05/2021;5;18;10;12;9
06/05/2021;8;24;12;9;7
05/05/2021;1;15;13;6;4
04/05/2021;12;36;17;15;
03/05/2021;7;36;26;15;
02/05/2021;1;12;10;14;9
01/05/2021;1;9;7;11;9
30/04/2021;3;25;20;15;11
29/04/2021;2;21;18;8;4
28/04/2021;1;11;10;23;10
27/04/2021;1;14;13;16;10
26/04/2021;2;18;15;16;10
25/04/2021;1;8;7;9;7
24/04/2021;0;4;3;11;5
23/04/2021;1;9;8;13;7
22/04/2021;1;6;5;9;6
21/04/2021;4;20;14;24;14
20/04/2021;9;35;21;23;14
19/04/2021;10;42;27;29;18
18/04/2021;1;14;12;19;13
17/04/2021;2;19;16;14;10
16/04/2021;14;44;22;17;9
15/04/2021;12;39;21;19;11
14/04/2021;13;40;20;19;10
13/04/2021;11;37;20;18;9
12/04/2021;7;25;13;9;5
11/04/2021;0;6;5;8;4
10/04/2021;1;10;9;12;8
09/04/2021;3;20;15;17;10
08/04/2021;3;22;17;21;10
07/04/2021;4;21;15;9;5
06/04/2021;1;10;8;14;6
05/04/2021;2;14;10;23;13
04/04/2021;1;9;8;20;11
03/04/2021;1;6;4;33;17
02/04/2021;2;14;10;46;21
01/04/2021;1;17;15;29;9
31/03/2021;1;12;9;36;12
30/03/2021;1;16;14;;15
29/03/2021;1;11;8;;9
28/03/2021;3;23;19;25;14
27/03/2021;2;17;14;13;6
26/03/2021;14;40;18;21;11
25/03/2021;11;40;23;19;11
24/03/2021;14;44;22;27;15
23/03/2021;14;56;35;24;15
22/03/2021;6;30;20;14;12
21/03/2021;1;9;6;15;9
20/03/2021;1;5;3;10;8
19/03/2021;1;5;3;9;6
18/03/2021;10;29;14;14;5
17/03/2021;2;10;8;12;5
16/03/2021;14;44;23;17;5
15/03/2021;8;33;20;21;8
14/03/2021;1;10;9;17;8
13/03/2021;5;23;15;17;9
12/03/2021;7;31;22;16;4
11/03/2021;17;49;24;24;13
10/03/2021;13;58;38;27;18
09/03/2021;8;41;30;28;22
08/03/2021;10;33;18;27;15
07/03/2021;2;17;14;23;15
06/03/2021;1;7;5;19;12
05/03/2021;14;41;19;50;25
04/03/2021;7;34;23;67;30
03/03/2021;6;35;27;59;24
02/03/2021;1;9;7;42;16
01/03/2021;1;7;5;29;13
28/02/2021;2;14;11;21;15
27/02/2021;1;9;7;24;13
26/02/2021;1;12;10;22;8
25/02/2021;2;15;12;37;14
24/02/2021;2;12;9;27;13
23/02/2021;1;14;12;7;6
22/02/2021;3;31;26;10;5
21/02/2021;1;5;3;37;12
20/02/2021;1;6;4;25;11
19/02/2021;1;8;6;76;20
18/02/2021;2;22;19;23;8
17/02/2021;15;43;20;15;11
16/02/2021;;;;13;7
15/02/2021;;;;8;5
14/02/2021;;;;10;7
13/02/2021;;;;17;12
12/02/2021;;;;13;8
11/02/2021;;;;16;11
10/02/2021;5;32;25;13;5
09/02/2021;1;8;6;4;3
08/02/2021;7;26;16;7;4
07/02/2021;1;8;6;6;2
06/02/2021;1;8;6;12;5
05/02/2021;9;37;23;20;13
04/02/2021;5;35;28;17;6
03/02/2021;2;17;13;14;5
02/02/2021;1;11;9;6;3
01/02/2021;2;19;16;31;12
31/01/2021;2;11;8;13;7
30/01/2021;1;9;7;10;5
29/01/2021;21;56;24;17;10
28/01/2021;22;57;23;19;9
27/01/2021;10;40;26;15;6
26/01/2021;7;38;28;16;9
25/01/2021;11;38;22;13;7
24/01/2021;1;9;7;5;3
23/01/2021;1;12;10;10;5
22/01/2021;2;21;18;10;4
21/01/2021;1;4;3;7;2
20/01/2021;0;5;5;11;6
19/01/2021;6;27;17;13;8
18/01/2021;22;64;30;18;9
17/01/2021;3;26;22;13;9
16/01/2021;10;45;30;21;13
15/01/2021;12;50;32;23;9
14/01/2021;16;54;29;22;12
13/01/2021;36;97;42;28;16
12/01/2021;27;84;43;29;19
11/01/2021;14;47;26;16;8
10/01/2021;6;26;17;18;14
09/01/2021;9;34;21;20;18
08/01/2021;20;58;28;25;17
07/01/2021;21;61;30;22;15
06/01/2021;4;29;23;16;14
05/01/2021;8;41;30;13;9
04/01/2021;2;25;22;5;4
03/01/2021;1;12;11;6;3
02/01/2021;4;18;12;8;5
01/01/2021;1;7;5;6;4
