Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
30/09/2021;0,24;1,17;8;36;24;37;40;13;1;3;2,67
29/09/2021;0,16;0,47;7;29;18;48;53;10;2;5;1,26
28/09/2021;0,21;0,88;10;35;20;46;43;16;2;4;1,99
27/09/2021;0,1;0,14;2;13;11;63;64;10;2;4;0,23
26/09/2021;0,18;0,36;2;17;14;73;77;12;3;5;0,52
25/09/2021;0,13;0,19;1;8;6;79;75;11;3;2;0,33
24/09/2021;0,41;1,08;14;53;31;33;33;27;3;1;2,18
23/09/2021;0,23;1,07;12;41;23;46;45;20;2;2;1,91
22/09/2021;0,18;0,79;10;38;22;51;56;15;2;2;1,62
21/09/2021;0,17;0,36;2;16;12;60;54;9;2;2;0,58
20/09/2021;0,13;0,18;;;6;53;56;5;;3;0,29
19/09/2021;0,1;0,1;;;;73;72;7;;7;0,15
18/09/2021;0,12;0,13;;;;59;59;7;;7;0,18
17/09/2021;0,25;0,63;13;41;21;43;40;16;;3;1,63
16/09/2021;0,13;0,28;1;13;12;62;65;9;2;5;0,53
15/09/2021;0,18;0,34;2;17;14;54;47;11;2;6;0,55
14/09/2021;0,25;0,53;3;30;25;43;50;12;3;5;0,96
13/09/2021;0,2;0,44;1;21;19;59;54;20;3;5;0,92
12/09/2021;0,6;0,58;6;31;23;44;47;16;2;1;1,01
11/09/2021;0,13;0,57;4;25;20;46;44;13;2;2;0,91
10/09/2021;0,12;0,35;1;16;14;57;58;7;2;5;0,5
09/09/2021;0,22;0,64;3;24;19;51;54;10;2;3;1,32
08/09/2021;0,28;0,6;4;22;17;61;65;18;3;5;1,38
07/09/2021;0,25;2,18;2;18;15;78;70;26;3;6;2,8
06/09/2021;0,97;2,07;7;55;45;55;56;29;3;7;3,43
05/09/2021;0,16;0,37;2;19;17;59;61;18;2;5;0,61
04/09/2021;0,16;0,52;3;19;14;53;55;16;2;0;0,85
03/09/2021;0,2;0,5;3;23;19;59;60;17;2;3;1,89
02/09/2021;0,34;0,57;5;27;20;51;50;16;2;3;1,15
01/09/2021;0,45;0,84;8;38;27;52;50;22;2;1;1,84
31/08/2021;0,47;0,56;7;35;24;53;53;21;2;5;1,23
30/08/2021;0,29;0,69;5;26;19;52;52;12;2;2;1,04
29/08/2021;0,26;0,88;1;15;14;57;58;10;2;1;3,08
28/08/2021;0,18;0,42;1;13;11;62;62;13;2;2;0,65
27/08/2021;0,4;0,72;7;31;20;60;61;19;2;2;1,51
26/08/2021;0,35;0,69;7;29;19;60;59;17;2;2;1,2
25/08/2021;;;7;31;21;;;14;3;2;
24/08/2021;0,2;0,49;2;16;13;61;58;12;4;0;0,95
23/08/2021;0,14;0,2;1;10;9;52;51;7;3;1;0,63
22/08/2021;0,2;0,29;1;11;9;45;46;9;3;2;0,88
21/08/2021;0,16;0,28;2;13;11;63;65;12;3;2;0,77
20/08/2021;0,18;0,46;4;21;15;48;43;11;3;1;1,21
19/08/2021;0,13;0,16;1;10;9;56;61;3;3;1;0,42
18/08/2021;0,14;0,18;0;10;9;73;74;6;3;0;0,44
17/08/2021;0,1;0,08;0;7;6;77;75;9;3;1;0,16
16/08/2021;0,15;0,14;0;7;7;60;59;7;3;0;0,22
15/08/2021;0,13;0,11;0;6;6;57;58;7;3;1;0,31
14/08/2021;0,21;0,15;1;8;7;52;52;13;3;1;0,46
13/08/2021;0,19;0,52;4;21;14;44;44;14;3;1;1,16
12/08/2021;0,17;0,34;3;16;12;44;43;11;3;2;0,65
