Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
31/12/2021;0,36;0,14;0,16;0,41;7;36;26;1,76;7;4;4;2,87
30/12/2021;0,46;0,23;0,22;0,56;19;69;40;2,3;8;4;5;3,9
29/12/2021;0,31;0,19;0,19;0,37;7;40;29;1,57;8;4;3;2,64
28/12/2021;0,19;0,2;0,18;0,09;5;28;20;0,61;8;5;2;1,11
27/12/2021;0,15;0,22;0,23;0,08;6;26;17;0,59;7;4;3;0,95
26/12/2021;0,29;0,21;0,21;0,18;6;34;26;0,84;5;3;5;1,6
25/12/2021;0,19;0,18;0,17;0,1;3;23;19;0,61;4;2;3;1
24/12/2021;0,28;0,19;0,2;0,2;4;23;16;0,84;6;4;3;1,21
23/12/2021;0,37;0,22;0,22;0,34;6;33;24;1,33;6;3;4;1,75
22/12/2021;0,58;0,29;0,3;0,5;23;76;40;2,07;13;7;5;2,88
21/12/2021;0,71;0,32;0,32;0,63;27;90;50;2,58;17;9;6;3,76
20/12/2021;0,58;0,26;0,25;0,43;22;72;39;1,68;17;8;5;2,28
19/12/2021;0,38;0,22;0,22;0,19;6;35;26;0,73;11;6;4;1,16
18/12/2021;0,45;0,24;0,24;0,3;10;46;32;1,17;10;8;6;1,7
17/12/2021;0,73;0,26;0,28;0,59;31;93;46;2,42;17;9;8;3,73
16/12/2021;1,23;0,33;0,31;1,16;82;168;43;4,85;30;19;13;6,73
15/12/2021;0,97;0,32;0,33;0,92;75;154;39;3,56;34;21;15;5,45
14/12/2021;0,63;0,29;0,26;0,53;47;110;39;2,03;22;12;12;3,34
13/12/2021;0,47;0,22;0,23;0,35;24;78;42;1,45;10;5;7;2,35
12/12/2021;0,24;0,25;0,23;0,16;10;46;30;0,72;9;6;6;1,27
11/12/2021;0,17;0,24;0,24;0,03;3;25;21;0,21;5;3;3;0,46
10/12/2021;0,12;0,19;0,18;0;2;15;12;0,14;14;7;4;0,35
09/12/2021;0,2;0,22;0,22;0,08;8;40;28;0,36;3;2;3;0,67
08/12/2021;0,17;0,11;0,11;0;2;13;11;0,08;4;2;3;0,24
07/12/2021;0,17;0,19;0,2;0,07;4;25;20;0,38;7;4;4;0,7
06/12/2021;0,24;0,25;0,24;0,05;5;35;28;0,35;9;5;4;0,64
