Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
27/06/2021;1;14;12;17;1
26/06/2021;3;18;12;20;1
25/06/2021;7;25;14;16;1
24/06/2021;4;25;18;17;1
23/06/2021;2;21;18;10;1
22/06/2021;5;24;17;13;1
21/06/2021;4;27;22;15;1
20/06/2021;1;11;9;12;1
19/06/2021;2;12;9;12;1
18/06/2021;3;21;16;19;1
17/06/2021;2;20;18;21;1
16/06/2021;2;26;22;33;1
15/06/2021;7;34;23;26;2
14/06/2021;2;17;15;32;1
13/06/2021;4;20;14;29;1
12/06/2021;2;15;12;25;1
11/06/2021;5;23;15;20;1
10/06/2021;7;28;19;26;2
09/06/2021;1;17;16;19;1
08/06/2021;8;27;16;25;2
07/06/2021;4;21;15;21;2
06/06/2021;2;12;9;17;1
05/06/2021;5;21;13;17;1
04/06/2021;2;21;18;9;1
03/06/2021;1;17;15;12;1
02/06/2021;5;26;18;26;1
01/06/2021;1;15;13;21;1
31/05/2021;4;30;23;32;1
30/05/2021;2;18;15;17;2
29/05/2021;1;13;11;20;1
28/05/2021;11;47;30;38;2
27/05/2021;9;34;21;28;3
26/05/2021;7;33;23;28;3
25/05/2021;6;28;19;31;3
24/05/2021;4;26;21;25;3
23/05/2021;3;17;12;14;3
22/05/2021;3;21;18;14;2
21/05/2021;9;42;29;23;5
20/05/2021;6;31;22;15;3
19/05/2021;4;24;18;14;2
18/05/2021;6;28;20;16;3
17/05/2021;4;20;14;26;2
16/05/2021;1;14;13;13;2
15/05/2021;4;25;19;14;2
14/05/2021;3;24;20;16;2
13/05/2021;4;26;20;14;2
12/05/2021;1;12;10;12;2
11/05/2021;3;18;14;13;2
10/05/2021;6;24;16;12;2
09/05/2021;2;16;13;22;2
08/05/2021;3;23;19;24;3
07/05/2021;6;25;15;20;2
06/05/2021;8;28;16;17;2
05/05/2021;4;28;23;13;2
04/05/2021;11;40;23;25;4
03/05/2021;8;38;27;21;3
02/05/2021;2;18;16;12;3
01/05/2021;2;12;9;12;2
30/04/2021;4;30;25;18;2
29/04/2021;3;27;23;13;1
28/04/2021;2;20;16;21;1
27/04/2021;5;24;17;16;1
26/04/2021
25/04/2021;2;12;9;12;2
24/04/2021;2;9;6;9;1
23/04/2021;6;31;22;26;3
22/04/2021;3;17;13;11;1
21/04/2021;9;37;24;27;3
20/04/2021;10;44;28;26;6
19/04/2021;12;50;31;28;5
18/04/2021;3;25;20;25;5
17/04/2021;4;27;21;25;4
16/04/2021;10;40;25;31;4
15/04/2021;11;41;24;24;3
14/04/2021;15;44;22;24;3
13/04/2021;13;43;23;20;3
12/04/2021;7;30;19;19;2
11/04/2021;2;12;9;9;1
10/04/2021;3;15;11;14;2
09/04/2021;4;24;18;19;2
08/04/2021;5;29;22;21;3
07/04/2021;3;20;15;14;1
06/04/2021;3;15;11;15;2
05/04/2021;4;19;13;21;3
04/04/2021;2;13;10;19;2
03/04/2021;2;11;8;30;2
02/04/2021;6;29;19;56;5
01/04/2021;3;24;20;33;7
31/03/2021;5;31;24;51;8
30/03/2021;6;36;27;52;8
29/03/2021;8;35;24;32;3
28/03/2021;5;29;21;21;3
27/03/2021;3;20;15;18;2
26/03/2021;17;49;24;26;2
25/03/2021;9;37;23;22;2
24/03/2021;15;49;27;39;8
23/03/2021;14;58;36;29;3
22/03/2021;10;40;25;18;1
21/03/2021;2;13;10;13;1
20/03/2021;1;7;5;9;1
19/03/2021;1;7;5;9;1
18/03/2021;10;31;16;16;1
17/03/2021;3;17;12;12;1
16/03/2021;11;41;25;26;1
15/03/2021;11;42;25;26;2
14/03/2021;2;16;12;20;1
13/03/2021;6;26;17;19;3
12/03/2021;6;34;25;21;2
11/03/2021;22;61;28;28;3
10/03/2021;11;56;39;27;4
09/03/2021;6;39;30;25;1
08/03/2021;11;40;24;26;1
07/03/2021;3;22;17;22;1
06/03/2021;2;10;6;15;1
05/03/2021;24;62;25;57;2
04/03/2021;9;48;35;71;3
03/03/2021;7;46;36;72;2
02/03/2021;3;16;12;43;1
01/03/2021;3;12;8;31;1
28/02/2021;3;22;17;24;1
27/02/2021;3;14;10;23;1
26/02/2021;3;21;16;26;1
25/02/2021;5;30;22;56;2
24/02/2021;6;28;19;42;2
23/02/2021;4;24;18;13;3
22/02/2021;5;38;30;16;2
21/02/2021;2;8;5;37;2
20/02/2021;2;12;9;29;3
19/02/2021;3;18;14;92;4
18/02/2021;3;23;19;29;3
17/02/2021;17;50;25;23;3
16/02/2021;3;27;22;16;2
15/02/2021;4;18;11;12;3
14/02/2021;4;19;13;12;3
13/02/2021;7;36;26;24;4
12/02/2021;8;38;26;18;3
11/02/2021;13;51;31;19;4
10/02/2021;6;35;26;16;2
09/02/2021;2;18;15;7;3
08/02/2021;11;45;29;11;2
07/02/2021;3;20;16;8;2
06/02/2021;2;18;15;10;2
05/02/2021;13;49;29;20;2
04/02/2021;17;68;42;26;3
03/02/2021;3;22;17;9;3
02/02/2021;4;24;18;9;3
01/02/2021;4;27;21;33;2
31/01/2021;6;24;16;13;2
30/01/2021;3;15;11;8;2
29/01/2021;28;74;31;22;2
28/01/2021;20;59;28;17;2
