Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2021;165;0,17;1;14;11;9;6;6
30/12/2021;178;0,19;3;26;22;7;4;8
29/12/2021;195;0,2;1;16;15;7;5;6
28/12/2021;205;0,21;7;27;18;13;8;7
27/12/2021;150;0,16;19;40;12;16;13;12
26/12/2021;202;0,22;14;39;17;15;14;13
25/12/2021;165;0,15;15;35;12;13;12;10
24/12/2021;158;0,17;12;28;9;15;14;9
23/12/2021;172;0,17;13;37;18;16;14;9
22/12/2021;193;0,19;18;53;27;24;19;10
21/12/2021;185;0,2;13;41;22;24;19;11
20/12/2021;248;0,23;14;52;31;28;17;17
19/12/2021;185;0,19;3;19;15;14;11;8
18/12/2021;191;0,18;5;32;25;16;12;9
17/12/2021;256;0,28;22;68;36;28;18;
16/12/2021;384;0,39;58;124;35;38;24;
15/12/2021
14/12/2021
13/12/2021
12/12/2021
11/12/2021;203;0,2;2;18;15;7;5;2
10/12/2021;173;0,18;2;8;5;17;7;3
09/12/2021;203;0,21;3;18;14;6;4;10
08/12/2021;173;0,17;2;9;7;7;4;3
07/12/2021;190;0,19;2;13;10;9;5;3
06/12/2021;208;0,21;2;15;12;11;5;4
05/12/2021;173;0,18;2;8;6;14;6;4
04/12/2021;208;0,21;2;12;9;9;5;5
03/12/2021;254;0,26;7;36;25;15;9;6
02/12/2021;214;0,21;3;18;14;17;8;5
01/12/2021;194;0,2;4;25;19;9;6;5
30/11/2021;239;0,24;10;44;29;16;9;9
29/11/2021;236;0,23;3;22;19;9;5;3
28/11/2021;201;0,2;2;11;8;12;5;4
27/11/2021;203;0,2;2;11;8;11;5;5
26/11/2021;224;0,23;5;27;20;13;8;5
25/11/2021;239;0,25;3;18;15;16;10;4
24/11/2021;277;0,28;8;32;21;12;8;6
23/11/2021;250;0,24;3;19;15;13;10;3
22/11/2021;221;0,22;4;28;22;10;6;5
21/11/2021;263;0,27;9;42;29;21;15;6
20/11/2021;239;0,25;3;27;22;23;14;9
19/11/2021;291;0,28;17;58;33;23;15;11
18/11/2021;292;0,29;18;53;27;23;13;5
17/11/2021;234;0,24;4;23;18;15;10;4
16/11/2021;260;0,26;6;36;28;19;13;5
15/11/2021;245;0,23;8;33;22;15;9;3
14/11/2021;186;0,19;2;10;8;15;7;5
13/11/2021;262;0,28;6;29;21;23;13;6
12/11/2021;330;0,33;18;61;33;34;22;7
11/11/2021;287;0,28;12;49;31;29;19;8
10/11/2021;251;0,25;9;42;28;23;14;7
09/11/2021;270;0,28;19;59;30;24;13;3
08/11/2021;273;0,25;11;43;27;24;13;6
07/11/2021;314;0,33;9;34;20;17;11;8
06/11/2021;270;0,28;10;37;22;14;10;5
05/11/2021;262;0,24;7;39;29;12;9;5
04/11/2021;190;0,19;3;26;22;7;5;3
03/11/2021;166;0,17;2;18;15;6;4;2
02/11/2021;182;0,19;2;14;11;8;5;3
01/11/2021;198;0,2;3;20;16;11;5;5
31/10/2021;191;0,2;2;10;8;11;6;2
30/10/2021;229;0,22;3;20;16;11;6;3
29/10/2021;238;0,23;3;22;18;15;9;2
28/10/2021;209;0,23;4;26;21;25;12;5
27/10/2021;296;0,29;21;69;37;33;19;12
26/10/2021;256;0,26;7;33;23;17;10;3
25/10/2021;282;0,29;11;41;26;24;13;9
24/10/2021;257;0,26;5;32;25;20;13;14
23/10/2021;232;0,23;4;25;19;15;8;5
22/10/2021;242;0,24;3;22;18;17;8;3
21/10/2021;217;0,22;2;16;13;26;10;6
20/10/2021;265;0,26;4;25;19;29;16;4
19/10/2021;215;0,22;1;12;11;17;10;3
18/10/2021;249;0,26;5;29;22;21;14;7
17/10/2021;287;0,3;3;26;22;22;16;8
16/10/2021;301;0,28;5;32;25;24;17;5
15/10/2021;288;0,3;12;44;25;26;15;7
14/10/2021;308;0,3;16;57;33;28;18;8
13/10/2021;259;0,27;10;35;21;22;15;5
12/10/2021;295;0,3;4;23;18;22;17;4
11/10/2021;295;0,29;8;30;18;24;18;5
10/10/2021;274;0,29;2;15;12;19;14;3
09/10/2021;285;0,28;4;25;19;18;12;6
08/10/2021;299;0,3;13;40;21;22;13;3
07/10/2021;283;0,28;13;38;19;23;14;4
06/10/2021;261;0,26;7;30;20;21;10;3
05/10/2021;261;0,26;2;18;15;11;6;2
04/10/2021;235;0,23;4;23;18;15;8;5
03/10/2021;230;0,23;1;9;8;11;5;4
02/10/2021;246;0,27;4;19;12;15;9;4
01/10/2021;345;0,34;14;47;27;26;15;9
30/09/2021;287;0,28;7;30;20;18;11;2
29/09/2021;298;0,31;6;30;21;18;9;5
28/09/2021;327;0,32;9;33;19;24;13;3
27/09/2021;245;0,25;2;14;12;17;8;2
26/09/2021;285;0,28;2;19;16;15;10;3
25/09/2021;264;0,28;2;16;14;17;12;2
24/09/2021;383;0,38;8;37;25;32;22;4
23/09/2021;370;0,37;8;24;12;29;19;4
22/09/2021;338;0,34;4;17;12;20;14;4
21/09/2021;319;0,31;7;22;12;19;12;5
20/09/2021;291;0,3;2;13;11;16;10;4
19/09/2021;280;0,28;1;7;5;13;7;4
18/09/2021;300;0,31;1;8;6;12;6;4
17/09/2021;336;0,32;7;26;15;26;16;6
16/09/2021;292;0,3;2;14;12;19;12;2
15/09/2021;309;0,31;5;23;15;21;12;5
14/09/2021;356;0,36;5;29;22;23;14;3
13/09/2021;333;0,35;3;29;24;32;20;4
12/09/2021;358;0,35;4;27;22;29;21;3
11/09/2021;308;0,31;4;19;13;20;14;3
10/09/2021;307;0,3;4;20;15;18;11;2
09/09/2021;315;0,33;4;25;19;19;11;2
08/09/2021;386;0,39;4;25;19;33;21;2
07/09/2021;377;0,38;3;28;23;42;24;4
06/09/2021;386;0,39;5;46;39;41;27;5
05/09/2021;416;0,41;2;21;18;33;24;1
04/09/2021;371;0,37;4;18;13;25;19;1
03/09/2021;396;0,39;4;24;18;31;21;2
02/09/2021;381;0,39;6;32;22;29;21;2
01/09/2021;375;0,37;8;34;22;30;20;3
31/08/2021;321;0,32;5;23;16;21;14;4
30/08/2021;325;0,32;4;20;14;20;12;3
29/08/2021;284;0,28;2;12;9;16;10;3
28/08/2021;287;0,29;2;13;10;17;12;2
27/08/2021;319;0,33;4;21;15;24;16;3
26/08/2021;351;0,35;5;23;16;25;16;2
25/08/2021;304;0,31;3;17;14;21;14;2
24/08/2021;277;0,27;6;21;11;17;10;3
23/08/2021;265;0,27;2;11;8;11;7;3
22/08/2021;292;0,29;2;11;8;13;10;3
21/08/2021;325;0,32;2;12;9;22;16;3
20/08/2021;349;0,35;6;21;12;24;15;4
19/08/2021;285;0,27;2;12;10;8;6;3
18/08/2021;233;0,23;1;10;8;10;7;3
17/08/2021;243;0,24;1;7;5;17;9;3
16/08/2021;243;0,25;3;12;8;15;8;3
15/08/2021;297;0,3;1;8;7;17;11;3
14/08/2021;330;0,33;2;10;8;24;14;2
13/08/2021;341;0,34;5;19;12;21;13;3
12/08/2021;332;0,33;4;18;12;23;13;3
11/08/2021;314;0,31;6;20;12;21;12;3
10/08/2021;323;0,33;5;20;12;24;14;4
09/08/2021;297;0,29;4;18;12;20;11;5
08/08/2021;244;0,25;1;8;6;12;8;5
07/08/2021;252;0,25;2;11;9;13;8;5
06/08/2021;257;0,26;2;12;9;13;7;5
05/08/2021;272;0,28;6;20;12;17;10;5
04/08/2021;295;0,3;4;21;14;17;11;4
03/08/2021;287;0,28;5;23;15;20;14;7
02/08/2021;303;0,3;7;22;11;19;12;6
01/08/2021;216;0,22;1;8;6;12;9;6
31/07/2021;226;0,24;1;9;8;13;9;9
30/07/2021;282;0,28;5;18;11;23;14;6
29/07/2021;259;0,25;5;22;14;18;11;3
28/07/2021;283;0,29;4;18;13;17;9;4
27/07/2021;279;0,28;5;24;17;23;14;7
26/07/2021;251;0,25;2;12;10;17;11;4
25/07/2021;233;0,24;1;6;5;14;9;5
24/07/2021;244;0,24;4;15;10;17;12;5
23/07/2021;369;0,39;2;17;14;24;15;3
22/07/2021;380;0,38;2;12;10;29;19;2
21/07/2021;383;0,38;2;11;10;44;28;2
20/07/2021;318;0,32;4;22;16;36;25;4
19/07/2021;358;0,36;6;29;21;41;27;4
18/07/2021;310;0,31;3;16;13;28;21;3
17/07/2021;308;0,3;4;17;12;24;18;3
16/07/2021;262;0,26;6;22;13;18;12;3
15/07/2021;255;0,25;5;21;13;15;10;4
14/07/2021;239;0,24;4;18;12;18;11;5
13/07/2021;262;0,28;2;11;9;21;12;6
12/07/2021;245;0,23;2;10;8;14;8;6
11/07/2021;272;0,27;3;15;10;22;16;5
10/07/2021;253;0,25;2;10;8;18;13;5
09/07/2021;231;0,23;7;20;10;16;9;5
08/07/2021;217;0,22;2;12;9;12;6;5
07/07/2021;242;0,23;6;22;13;13;8;6
06/07/2021;208;0,22;2;16;14;17;8;5
05/07/2021;340;0,33;8;32;20;29;16;4
04/07/2021;237;0,25;1;9;8;11;8;3
03/07/2021;330;0,33;1;13;11;22;16;4
02/07/2021;292;0,29;3;23;19;27;19;4
01/07/2021;264;0,26;2;19;16;23;14;5
30/06/2021;263;0,26;4;19;13;21;13;6
29/06/2021;233;0,23;2;14;11;24;13;9
28/06/2021;244;0,25;3;21;17;20;13;9
27/06/2021;236;0,24;1;12;11;15;10;5
26/06/2021;254;0,25;2;13;10;18;13;5
25/06/2021;248;0,25;5;20;14;20;13;5
24/06/2021;226;0,24;2;13;11;19;11;5
23/06/2021;247;0,25;1;13;11;16;10;4
22/06/2021;285;0,28;2;15;12;11;6;4
21/06/2021;238;0,22;2;16;13;13;7;4
20/06/2021;205;0,21;1;10;9;13;8;4
19/06/2021;255;0,26;2;13;10;15;11;3
18/06/2021;292;0,29;5;22;15;26;19;3
17/06/2021;264;0,27;2;17;15;21;14;3
16/06/2021;292;0,3;2;23;20;26;17;3
15/06/2021;329;0,34;7;31;21;37;23;5
14/06/2021;364;0,36;3;23;20;40;26;3
13/06/2021;379;0,37;4;27;21;54;39;5
12/06/2021;258;0,25;2;12;10;27;20;5
11/06/2021;229;0,23;4;19;13;20;13;8
10/06/2021;245;0,24;4;20;13;22;13;7
09/06/2021;267;0,28;1;8;7;19;12;5
08/06/2021;275;0,28;5;21;14;28;17;4
07/06/2021;302;0,29;3;18;13;25;15;6
06/06/2021;235;0,23;2;9;6;18;11;6
05/06/2021;208;0,21;3;14;7;14;9;5
04/06/2021;209;0,22;2;12;10;14;8;5
03/06/2021;267;0,26;1;10;9;22;14;4
02/06/2021;351;0,36;4;26;20;39;23;7
01/06/2021;263;0,28;1;12;10;27;17;3
31/05/2021;366;0,36;5;30;24;37;24;7
30/05/2021;288;0,28;2;14;12;27;18;11
29/05/2021;252;0,26;1;10;9;26;16;4
28/05/2021;322;0,31;10;39;24;41;26;8
27/05/2021;285;0,29;7;26;16;32;18;11
26/05/2021;283;0,28;6;23;15;25;13;6
25/05/2021;207;0,21;3;15;11;24;11;6
24/05/2021;248;0,24;1;13;12;34;18;10
23/05/2021;223;0,23;2;11;7;12;7;5
22/05/2021;224;0,23;2;15;13;15;9;6
21/05/2021;245;0,23;4;28;22;17;10;9
20/05/2021;221;0,23;6;29;20;21;11;12
19/05/2021;199;0,2;3;15;11;12;7;6
18/05/2021;240;0,24;5;24;17;18;9;8
17/05/2021;199;0,2;1;8;7;22;9;8
16/05/2021;230;0,25;1;8;7;13;7;8
15/05/2021;286;0,27;3;22;18;15;10;7
14/05/2021;216;0,22;1;11;10;13;7;4
13/05/2021;237;0,24;2;16;13;13;7;6
12/05/2021;211;0,2;1;7;6;13;5;7
11/05/2021;208;0,21;1;10;8;13;5;6
10/05/2021;205;0,21;1;11;9;11;7;8
09/05/2021;233;0,24;1;9;8;18;11;4
08/05/2021;242;0,24;2;14;11;22;14;7
07/05/2021;240;0,24;5;18;11;23;13;8
06/05/2021;227;0,23;6;21;12;17;9;7
05/05/2021;253;0,25;1;15;13;14;8;11
04/05/2021;278;0,28;7;28;17;25;15;13
03/05/2021;300;0,29;5;28;20;20;13;10
02/05/2021;208;0,2;1;7;5;10;8;4
01/05/2021;201;0,21;1;7;6;12;8;5
30/04/2021;250;0,25;5;26;19;14;11;5
29/04/2021;218;0,22;3;21;17;11;7;7
28/04/2021;245;0,25;1;12;11;26;15;7
27/04/2021;240;0,24;1;14;13;17;12;4
26/04/2021;258;0,26;4;25;19;21;15;6
25/04/2021;202;0,19;1;8;8;10;7;5
24/04/2021;175;0,18;1;7;6;10;7;4
23/04/2021;221;0,22;1;16;15;19;13;7
22/04/2021;198;0,21;1;16;15;12;8;5
21/04/2021;242;0,24;5;28;20;25;16;10
20/04/2021;286;0,29;7;34;24;28;19;11
19/04/2021;281;0,28;9;38;25;32;22;12
