Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2021;0,16;0,15;10;24;9;58;56;8;3;6
30/12/2021;0,16;0,17;10;28;12;45;42;5;2;5
29/12/2021;0,19;0,2;11;29;13;47;46;10;4;6
28/12/2021;0,22;0,17;10;30;14;55;62;21;6;5
27/12/2021;0,14;0,15;5;17;10;59;56;11;4;5
26/12/2021;0,22;0,25;3;15;11;49;46;7;3;6
25/12/2021;0,19;0,17;2;10;8;64;66;10;3;5
24/12/2021;0,17;0,16;1;9;7;51;50;8;4;5
23/12/2021;0,17;0,18;1;11;9;58;58;6;3;6
22/12/2021;0,18;0,19;2;18;14;47;44;10;6;6
21/12/2021;0,19;0,18;4;30;23;38;38;14;8;6
20/12/2021;0,2;0,19;7;35;24;30;29;16;8;7
19/12/2021;0,18;0,18;3;18;14;38;38;9;5;6
18/12/2021;0,19;0,18;4;25;19;37;37;8;7;6
17/12/2021;0,24;0,28;16;57;32;16;13;23;13;7
16/12/2021;0,41;0,41;52;115;36;4;;37;21;8
15/12/2021;0,36;0,39;40;91;30;6;6;32;20;7
14/12/2021;0,31;0,28;30;73;27;13;15;25;14;7
13/12/2021;0,18;0,17;12;40;22;29;30;25;8;6
12/12/2021;0,21;0,2;10;31;16;39;47;16;5;5
11/12/2021;0,17;0,16;8;20;8;69;72;14;3;5
10/12/2021;;;6;12;4;82;81;27;7;5
09/12/2021;;;5;16;8;73;75;18;3;5
08/12/2021;0,18;0,17;3;8;4;85;83;22;4;5
07/12/2021;0,18;0,18;4;12;7;62;59;14;3;5
06/12/2021;0,19;0,17;4;12;7;69;71;16;4;5
05/12/2021;0,12;0,12;4;9;3;79;80;19;4;5
04/12/2021;0,16;0,17;4;11;6;69;60;18;5;6
03/12/2021;0,19;0,19;4;19;13;54;62;11;4;5
02/12/2021;0,16;0,16;4;10;4;73;73;15;3;5
01/12/2021;0,18;0,19;5;20;12;58;49;10;3;6
30/11/2021;0,2;0,2;11;46;29;43;51;11;5;6
29/11/2021;0,18;0,18;5;12;5;73;73;6;1;5
28/11/2021;0,16;0,16;3;7;4;78;78;18;3;5
27/11/2021;0,16;0,16;3;8;4;77;78;20;5;5
26/11/2021;0,17;0,17;4;12;6;69;66;12;3;5
25/11/2021;0,18;0,18;4;11;5;68;67;10;4;5
24/11/2021;0,24;0,24;8;28;17;29;25;10;5;6
23/11/2021;0,21;0,21;6;21;13;34;38;10;5;5
22/11/2021;0,16;0,17;5;17;10;56;57;15;2;5
21/11/2021;0,23;0,24;6;27;19;36;34;19;10;7
20/11/2021;0,21;0,2;4;22;17;46;47;19;12;6
19/11/2021;0,23;0,24;8;40;28;24;20;17;12;8
18/11/2021;0,29;0,29;20;60;30;16;19;29;14;6
17/11/2021
15/11/2021
14/11/2021;0,15;0,14;0;1;3;77;78;19;5;4
13/11/2021;0,21;0,23;2;17;15;49;41;32;12;5
12/11/2021;0,28;0,28;8;37;26;29;30;28;14;7
11/11/2021;0,27;0,27;9;41;28;33;28;30;14;8
10/11/2021;0,26;0,25;6;41;31;29;30;26;12;7
09/11/2021;0,17;0,16;3;19;18;47;54;22;8;4
08/11/2021;0,16;0,17;0;2;7;70;70;19;5;5
07/11/2021;0,23;0,23;3;22;20;38;28;13;7;7
06/11/2021;0,29;0,3;5;31;25;26;29;15;10;5
05/11/2021;0,2;0,17;2;17;16;53;57;12;6;5
04/11/2021;0,14;0,14;0;15;15;68;68;13;2;7
03/11/2021;0,15;0,15;0;14;15;74;76;9;2;5
02/11/2021;0,16;0,16;2;21;19;65;61;15;5;5
01/11/2021;0,16;0,15;2;24;21;70;72;22;5;5
31/10/2021;0,18;0,2;2;22;18;66;62;10;3;4
30/10/2021;0,24;0,24;9;35;21;59;62;13;4;4
29/10/2021;0,22;0,23;4;28;22;71;75;22;8;4
28/10/2021;0,23;0,26;5;34;26;66;55;24;11;6
27/10/2021;0,31;0,29;20;57;27;24;29;24;12;6
26/10/2021;0,34;0,35;16;47;23;34;33;24;11;7
25/10/2021;0,37;0,38;13;45;25;30;31;25;11;8
24/10/2021;0,26;0,25;8;30;17;42;44;13;;6
23/10/2021;0,25;0,21;8;29;16;40;44;15;;5
22/10/2021;0,18;0,18;8;23;11;62;64;20;5;5
21/10/2021;0,19;0,21;12;26;7;71;71;34;7;6
20/10/2021;0,26;0,26;17;42;15;54;55;21;9;7
19/10/2021;0,21;0,22;22;44;10;55;48;14;6;7
18/10/2021;0,24;0,22;20;55;24;28;27;15;;6
17/10/2021;0,24;0,26;15;43;20;31;32;17;11;6
16/10/2021;0,29;0,27;15;43;20;47;54;20;15;6
15/10/2021;0,3;0,33;23;57;23;51;40;24;13;9
14/10/2021;0,31;0,28;19;61;32;30;31;;13;8
13/10/2021;0,29;0,3;20;55;25;35;34;21;15;7
12/10/2021;0,3;0,31;15;43;19;35;37;20;16;6
11/10/2021;0,29;0,27;15;39;17;44;47;21;18;6
10/10/2021;0,26;0,26;11;25;8;64;63;16;13;6
09/10/2021;0,29;0,28;13;38;18;46;42;19;10;7
08/10/2021;0,3;0,31;21;57;24;32;33;27;22;7
07/10/2021;0,28;0,27;20;52;22;32;31;24;14;7
06/10/2021;0,25;0,22;13;37;16;43;49;28;11;6
05/10/2021;0,22;0,22;11;27;9;61;57;22;4;5
04/10/2021;0,24;0,23;13;39;19;37;39;18;6;6
03/10/2021;0,19;0,17;10;20;5;68;71;;5;5
02/10/2021;0,21;0,23;9;26;12;43;40;16;8;6
01/10/2021;0,27;0,26;15;43;20;33;33;21;10;6
30/09/2021;0,24;0,24;11;30;14;46;48;15;6;5
29/09/2021;0,24;0,23;13;36;15;45;50;28;9;5
28/09/2021;0,25;0,25;13;35;15;49;47;31;10;5
27/09/2021;0,22;0,24;10;23;7;63;64;24;6;5
26/09/2021;0,23;0,21;13;31;11;67;69;13;7;6
25/09/2021;0,22;0,22;11;24;8;73;68;19;11;5
24/09/2021;0,29;0,29;11;35;18;38;41;24;17;5
23/09/2021;0,32;0,32;14;37;16;46;42;25;17;5
22/09/2021;0,31;0,29;8;28;16;50;56;22;14;5
21/09/2021;0,28;0,28;4;17;11;51;43;24;9;5
20/09/2021;0,2;0,19;1;8;6;55;60;16;5;5
19/09/2021;0,18;0,18;1;5;4;73;71;21;5;5
18/09/2021;0,19;0,19;1;4;3;63;63;16;4;5
17/09/2021;0,27;0,3;5;23;15;40;34;20;12;5
16/09/2021;0,25;0,23;1;10;9;59;63;18;9;5
15/09/2021;0,23;0,23;3;14;9;52;49;27;11;5
