Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
18/07/2021;3;19;14;20;18;3
17/07/2021;4;21;15;17;13;4
16/07/2021;7;27;16;15;10;4
15/07/2021;5;23;16;9;6;4
14/07/2021;4;16;9;9;4;3
13/07/2021;3;13;8;9;3;3
12/07/2021;4;17;10;8;2;4
11/07/2021;3;16;11;12;9;4
10/07/2021;2;11;8;10;8;4
09/07/2021;10;29;13;13;8;5
08/07/2021;3;14;10;8;4;5
07/07/2021;6;27;18;11;5;4
06/07/2021;3;22;16;11;3;3
05/07/2021;8;35;22;18;8;3
04/07/2021;2;11;8;7;6;3
03/07/2021;1;14;12;12;11;3
02/07/2021;3;25;19;17;12;3
01/07/2021;3;19;14;14;7;3
30/06/2021;3;19;13;12;7;3
29/06/2021;4;22;15;15;8;4
28/06/2021;6;31;21;12;7;4
27/06/2021;1;9;7;7;4;3
26/06/2021;2;14;10;13;10;3
25/06/2021;9;32;19;16;12;3
24/06/2021;2;13;9;10;6;3
23/06/2021;3;13;9;7;4;3
22/06/2021;3;14;9;5;3;3
21/06/2021;4;19;12;9;3;3
20/06/2021;1;10;8;10;;3
19/06/2021;2;13;10;8;5;3
18/06/2021;5;25;17;13;9;3
17/06/2021;5;32;24;14;8;3
16/06/2021;3;26;21;19;13;3
15/06/2021;7;31;19;19;13;3
14/06/2021;4;26;20;24;15;3
13/06/2021;4;24;17;20;17;3
12/06/2021;2;9;7;11;10;3
11/06/2021;5;19;11;11;6;3
10/06/2021;7;29;18;15;9;4
09/06/2021;2;14;11;11;8;3
08/06/2021;8;31;18;20;14;3
07/06/2021;7;29;18;20;11;4
06/06/2021;2;11;8;10;6;3
05/06/2021;3;16;11;10;4;3
04/06/2021;3;15;11;6;2;3
03/06/2021;4;24;18;10;3;3
02/06/2021;4;29;23;25;18;3
01/06/2021;2;19;15;20;12;4
31/05/2021;11;53;36;24;15;4
30/05/2021;2;17;14;12;9;5
29/05/2021;1;14;12;16;9;3
28/05/2021;9;41;27;24;11;4
27/05/2021;10;40;25;26;14;6
